element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb,iter,year
Leak_228,leak,,513.9541202,8.920198452,0.85146933,0.572032406,0.492147149,0.612820507,0.582030791,0.169425854,164074.6798,16771.5,0.610053692,100,0.079801548,0.00015527,2,1
L466,pipe,0.05,1183.6335,8.819646022,0.852878277,0.589292004,0.492764223,0.615496217,0.58088728,0.173300458,157985.2602,16772.51563,0.612614497,,0.180353978,0.000152373,2,1
L1707,pipe,0.075,946.283,8.856123487,0.851089837,0.589644241,0.496832429,0.60995848,0.583527064,0.173300458,158047.9408,16767.33008,0.605783287,,0.143876513,0.000152044,2,1
Leak_3154,leak,,1147.369664,8.825759906,0.852291216,0.589644241,0.493747879,0.614429646,0.582041799,0.174357168,157981.9628,16771.48047,0.611088548,32,0.174240094,0.00015186,2,1
L1975,pipe,0.075,9.877896,8.979465705,0.87107298,0.587178584,0.427519743,0.652361079,0.637745255,0.178584008,159501.5162,16662.07227,0.658268027,,0.020534295,0.002078813,3,1
Leak_188,leak,,573.2709684,8.767121242,0.880528858,0.607960549,0.436769914,0.663066714,0.654703461,0.183163086,152577.1573,16644.09961,0.674549644,100,0.232878758,0.000406228,3,1
L163,pipe,0.063,572.609854,8.913044894,0.852127677,0.572736879,0.492648362,0.612962818,0.58339508,0.169425854,164053.1371,16769.34375,0.609370105,,0.086955106,0.000151858,3,1
L565,pipe,0.1,155.961,8.976894866,0.850404234,0.571680169,0.492732881,0.607514549,0.57770436,0.168721381,164208.8313,16773.33398,0.600553739,,0.023105134,0.000148147,3,1
L2727,pipe,0.075,1226.70375,8.820024697,0.853146648,0.589644241,0.497217175,0.613934888,0.583537337,0.173300458,157986.5768,16769.01172,0.610651874,,0.179975303,0.000146715,3,1
L1153,pipe,0.075,1153.91275,8.832658347,0.853450662,0.589996478,0.498407706,0.610585596,0.584141905,0.174357168,157656.8488,16771.39648,0.605988282,,0.167341653,0.000145021,3,1
L1425,pipe,0.075,119.7105,8.983010266,0.849884265,0.571680169,0.494279621,0.606138978,0.580097788,0.168721381,164207.263,16769.47656,0.599332314,,0.016989734,0.000141924,3,1
L3073,pipe,0.075,201.49075,8.971695444,0.850553095,0.571680169,0.494849709,0.607071458,0.580622945,0.168369144,164224.4267,16770.46094,0.60071535,,0.028304556,0.000140476,3,1
L2451,pipe,0.45,269.05,8.963469581,0.851056291,0.571680169,0.49430004,0.608442556,0.579497203,0.168369144,164227.0065,16772.38086,0.602390266,,0.036530419,0.000135776,3,1
L2433,pipe,0.075,126.7265,8.983212875,0.849882168,0.571680169,0.494230307,0.606136517,0.580100408,0.168369144,164273.1323,16769.46875,0.59933259,,0.016787125,0.000132467,3,1
Leak_1062,leak,,546.8242694,8.928466016,0.847858904,0.573441353,0.486495666,0.613041214,0.573337254,0.170482564,164135.2625,16775.33594,0.60925071,75,0.071533984,0.000130817,3,1
Leak_204,leak,,1146.627433,8.850472113,0.851471427,0.589644241,0.490088798,0.612255237,0.576794206,0.173652695,157984.9133,16775.57617,0.607086632,90,0.149527887,0.000130407,3,1
L1765,pipe,0.125,1209.47125,8.844041839,0.853261963,0.581895033,0.493262411,0.617863542,0.579553603,0.172595985,161472.6509,16763.63867,0.61652328,,0.155958161,0.000128947,3,1
Leak_2243,leak,,1464.047431,8.812144773,0.853136165,0.591053188,0.493077366,0.61583888,0.580217401,0.173300458,157734.8886,16773.40234,0.613200915,110,0.187855227,0.000128312,3,1
L107,pipe,0.05,308.6905,8.960862611,0.851613999,0.571680169,0.493778076,0.608744399,0.578805414,0.168721381,164187.6217,16773.32617,0.602204678,,0.039137389,0.000126785,3,1
L1545,pipe,0.1,303.831,8.962101373,0.85114435,0.571680169,0.494286228,0.608540747,0.579513871,0.168721381,164170.3584,16772.40039,0.602450908,,0.037898627,0.000124736,3,1
L2431,pipe,0.075,163.122,8.979927286,0.850140056,0.571680169,0.493139834,0.60705938,0.578737693,0.168721381,164171.4141,16771.41016,0.600209573,,0.020072714,0.000123053,3,1
L436,pipe,0.063,345.368174,8.95813981,0.85118209,0.571680169,0.494899712,0.60870179,0.580460193,0.168369144,164245.0585,16771.45508,0.603045107,,0.04186019,0.000121205,3,1
Leak_2147,leak,,750.5603268,8.911013593,0.852616196,0.571680169,0.493898306,0.614603997,0.58069161,0.168721381,164205.2999,16771.61719,0.611878907,63,0.088986407,0.00011856,3,1
L2291,pipe,0.075,1149.3085,8.864135995,0.850917912,0.589644241,0.494680008,0.610377526,0.580508049,0.173300458,158045.5803,16770.32422,0.605537965,,0.135864005,0.000118214,3,1
L52,pipe,0.2,560.452,8.934087195,0.854023046,0.571680169,0.497270329,0.609464841,0.581670273,0.168369144,164270.2616,16762.20117,0.602978872,,0.065912805,0.000117607,3,1
L35,pipe,0.05,146.7545,8.982866004,0.849903135,0.571680169,0.491837313,0.606899009,0.576851601,0.168369144,164250.1553,16773.33984,0.599456711,,0.017133996,0.000116753,3,1
L2801,pipe,0.125,197.3925,8.977013728,0.850389557,0.571680169,0.492725482,0.607512312,0.57769524,0.168721381,164211.4367,16773.33008,0.600547745,,0.022986272,0.00011645,3,1
L339,pipe,0.1,237.429,8.972554231,0.850651638,0.571680169,0.494123157,0.607381353,0.57897713,0.168721381,164231.585,16772.88477,0.601402433,,0.027445769,0.000115596,3,1
L615,pipe,0.075,121.026,8.986236764,0.850152636,0.571680169,0.492900804,0.606351017,0.577777952,0.168369144,164225.254,16773.33984,0.598826116,,0.013763236,0.000113721,3,1
Leak_243,leak,,1009.501119,8.887456639,0.849477516,0.589292004,0.488587047,0.608227665,0.57503753,0.173652695,158023.4493,16774.83008,0.600823099,75,0.112543361,0.000111484,3,1
Leak_1867,leak,,1107.803974,8.877759282,0.849785723,0.589292004,0.486784515,0.608993679,0.574454662,0.173300458,158011.5822,16776.35938,0.601793556,63,0.122240718,0.000110345,3,1
L1963,pipe,0.125,856.7825,8.905892747,0.849555091,0.589644241,0.494404547,0.605488713,0.580284809,0.173300458,157997.0641,16769.30664,0.597411297,,0.094107253,0.000109838,3,1
L1975,pipe,0.1,25.27425,8.989838766,0.880874805,0.588587531,0.426547778,0.662647668,0.6639166,0.180697429,158350.528,16619.82617,0.668918866,,0.010161234,0.000402039,4,1
L163,pipe,0.075,68.257896,8.98649958,0.885541941,0.61007397,0.431699837,0.669345805,0.669911752,0.184219796,151515.1901,16618.12695,0.680522877,,0.01350042,0.000197785,4,1
Leak_3310,leak,,1628.332805,8.826166064,0.852255573,0.589644241,0.493437639,0.614923454,0.581265935,0.173300458,157998.6249,16770.39258,0.611787162,63,0.173833936,0.000106756,4,1
L244,pipe,0.063,45.644234,8.995203913,0.849167212,0.571680169,0.49409098,0.604445571,0.580201886,0.168721381,164237.2002,16768.51758,0.596900345,,0.004796087,0.000105075,4,1
Leak_2408,leak,,1148.565058,8.879407799,0.855199265,0.571680169,0.496945976,0.615494987,0.583899323,0.169073617,164129.1969,16761.44727,0.61313223,32,0.120592201,0.000104994,4,1
L116,pipe,0.125,2037.24625,8.788957484,0.879625203,0.607960549,0.435455136,0.661216179,0.652642928,0.183515322,152577.8194,16645.24609,0.672509661,,0.211042516,0.000103592,4,1
L1146,pipe,0.05,352.6645,8.963621122,0.851295309,0.571680169,0.496205787,0.60697282,0.582540906,0.168369144,164215.2378,16768.24414,0.600174688,,0.036378878,0.000103154,4,1
L115,pipe,0.15,36.52825,8.996233738,0.884309113,0.61007397,0.429354424,0.666628996,0.665768725,0.184219796,151500.0359,16621.2207,0.677728518,,0.003766262,0.000103105,4,1
L3120,pipe,0.05,37.1685,8.996231885,0.848498381,0.571680169,0.491193055,0.603688895,0.5764947,0.168369144,164301.8756,16771.39844,0.594712402,,0.003768115,0.000101379,4,1
L377,pipe,0.05,663.1,8.934910359,0.853444372,0.571327932,0.495739273,0.610589733,0.579708912,0.168369144,164224.977,16764.34375,0.604941867,,0.065089641,9.82E-05,4,1
Leak_1703,leak,,1953.792745,8.808638736,0.853364699,0.589644241,0.494265623,0.616349407,0.581271176,0.173300458,157881.7054,16771.57422,0.614160716,250,0.191361264,9.79E-05,4,1
L1156,pipe,0.1,838.674,8.918544513,0.844869085,0.58436069,0.478791187,0.605407856,0.567446619,0.171891511,161332.979,16943.2207,0.588007593,,0.081455487,9.71E-05,4,1
L1016,pipe,0.05,238.1925,8.976927729,0.85041262,0.571680169,0.492731774,0.607520588,0.577705042,0.168369144,164226.8615,16773.33594,0.600555227,,0.023072271,9.69E-05,4,1
L165,pipe,0.05,780.364,8.92551949,0.854230614,0.571327932,0.495827471,0.611233736,0.579974872,0.169073617,164172.0634,16764.33594,0.605410395,,0.07448051,9.54E-05,4,1
Leak_763,leak,,675.6386759,8.935651943,0.853368892,0.571680169,0.495988842,0.609277852,0.582766872,0.168721381,164186.2177,16761.38867,0.603094343,90,0.064348057,9.52E-05,4,1
Leak_525,leak,,1172.959571,8.88900648,0.841585736,0.589644241,0.480516615,0.596137792,0.568569007,0.173300458,157977.2715,16774.11914,0.581168967,110,0.11099352,9.46E-05,4,1
L639,pipe,0.063,1570.906062,8.852629219,0.851232409,0.589644241,0.495884674,0.610867532,0.582404519,0.173652695,158043.6085,16768.38477,0.606799634,,0.147370781,9.38E-05,4,1
L380,pipe,0.05,1209.8085,8.887781176,0.851073064,0.589644241,0.49420752,0.607104673,0.57924136,0.173300458,157998.2451,16772.19922,0.600050264,,0.112218824,9.28E-05,4,1
Leak_1273,leak,,439.1842116,8.960222553,0.849309784,0.571327932,0.491079322,0.609980848,0.578721024,0.168721381,164181.9932,16771.7793,0.605499602,110,0.039777447,9.06E-05,4,1
Leak_790,leak,,810.7223013,8.926944119,0.852502977,0.568510039,0.493609486,0.610960075,0.584211409,0.169073617,166247.8814,16769.20703,0.605971237,60,0.073055881,9.01E-05,4,1
Leak_435,leak,,872.4375836,8.921754763,0.852941176,0.572032406,0.493897673,0.612035817,0.582214038,0.169073617,164127.2424,16771.07617,0.607142133,32,0.078245237,8.97E-05,4,1
L1151,pipe,0.1,14.51925,8.976905943,0.884319596,0.642831983,0.414025916,0.673745732,0.670221374,0.221909123,144461.207,16768.43359,0.677926357,,0.023094057,0.001590582,5,1
L2451,pipe,0.5,58.45,8.947810485,0.886447693,0.642831983,0.41756709,0.674452865,0.674090841,0.221909123,144443.5692,16768.66211,0.679223923,,0.052189515,0.000892892,5,1
L1156,pipe,0.125,224.6985,8.856278175,0.888948993,0.650228954,0.418379081,0.675950224,0.678230828,0.244100035,142710.4743,16883.22656,0.676473035,,0.143721825,0.000639621,5,1
L326,pipe,0.25,86.2035,8.954223616,0.885466462,0.642831983,0.416238025,0.675230062,0.672693059,0.221909123,144441.6151,16768.6543,0.680506267,,0.045776384,0.000531027,5,1
L317,pipe,0.25,72.5475,8.976691885,0.884330079,0.642831983,0.414030057,0.673762731,0.670231805,0.221909123,144458.1134,16768.40039,0.677946025,,0.023308115,0.000321281,5,1
L322,pipe,0.2,177.02,8.962765997,0.885906758,0.64318422,0.417211891,0.673066669,0.67375066,0.22120465,144439.0746,16767.91602,0.677251765,,0.037234003,0.000210338,5,1
L1975,pipe,0.125,31.61925,8.996553075,0.883803821,0.64318422,0.414577621,0.668483668,0.670676294,0.22226136,144439.2747,16767.44141,0.670069823,,0.003446925,0.000109014,5,1
L1153,pipe,0.1,314.46425,8.96629693,0.883940103,0.643536456,0.413458956,0.674621456,0.669424806,0.222965833,144438.7912,16769.97461,0.679317271,,0.03370307,0.000107176,5,1
Leak_320,leak,,878.5604042,8.921289244,0.851760764,0.571327932,0.491893443,0.613942157,0.579254307,0.169073617,164173.9322,16773.56445,0.61088179,90,0.078710756,8.96E-05,5,1
L2838,pipe,0.075,112.6945,8.990154953,0.84898061,0.571680169,0.492962925,0.605910722,0.578890433,0.168721381,164247.8046,16769.53125,0.599057477,,0.009845047,8.74E-05,5,1
L2292,pipe,0.075,103.26675,8.991015932,0.849358007,0.571680169,0.490958947,0.60587829,0.575984428,0.168369144,164222.8472,16773.33789,0.59771928,,0.008984068,8.70E-05,5,1
L422,pipe,0.125,291.84375,8.974680165,0.850267951,0.571680169,0.493794991,0.607291102,0.57969282,0.168721381,164177.9122,16770.45703,0.600826279,,0.025319835,8.68E-05,5,1
Leak_1638,leak,,848.3147072,8.926724166,0.851785924,0.571680169,0.493823299,0.612823415,0.580504327,0.168721381,164188.9878,16770.89063,0.609711867,63,0.073275834,8.64E-05,5,1
L2865,pipe,0.1,705.312,8.939507006,0.851536423,0.571680169,0.495256087,0.611192077,0.580057427,0.168369144,164272.7255,16772.58984,0.607451972,,0.060492994,8.58E-05,5,1
L65,pipe,0.063,504.829146,8.957787055,0.851190476,0.571680169,0.494894524,0.608714595,0.580482837,0.168369144,164213.5392,16771.29492,0.603066496,,0.042212945,8.36E-05,5,1
L118,pipe,0.05,505.003,8.957949803,0.851203056,0.571680169,0.494935774,0.608753625,0.580477386,0.168369144,164245.5569,16771.39258,0.60299607,,0.042050197,8.33E-05,5,1
L1030,pipe,0.1,2809.251,8.768124309,0.855488603,0.589292004,0.491802929,0.620534387,0.580867414,0.174004931,157955.6447,16775.89063,0.620073871,,0.231875691,8.25E-05,5,1
L3144,pipe,0.05,47.9875,8.996039178,0.849353813,0.571680169,0.493362843,0.604957776,0.579234598,0.168369144,164261.3489,16769.48047,0.597399385,,0.003960822,8.25E-05,5,1
L2447,pipe,0.1,2104.218,8.83154267,0.852565877,0.589644241,0.497264951,0.612683509,0.58370444,0.173300458,157995.8103,16768.01758,0.608679405,,0.16845733,8.01E-05,5,1
Leak_3128,leak,,1026.57176,8.918788072,0.851991395,0.572032406,0.493551954,0.612734898,0.581412543,0.169778091,163875.6415,16767.05469,0.609877883,32,0.081211928,7.91E-05,5,1
L828,pipe,0.063,735.009296,8.94223229,0.851580453,0.571680169,0.493384209,0.611503035,0.57934876,0.168721381,164168.4574,16771.37305,0.606423246,,0.05776771,7.86E-05,5,1
Leak_762,leak,,2149.415364,8.831474137,0.852645549,0.589644241,0.496596422,0.612726175,0.583391515,0.173300458,158005.4418,16768.94336,0.60879519,90,0.168525863,7.84E-05,5,1
Leak_176,leak,,2427.3542,8.810166803,0.853438082,0.589996478,0.496929279,0.615126938,0.583504315,0.173300458,157980.8292,16768.99414,0.612314886,63,0.189833197,7.82E-05,5,1
L51,pipe,0.075,19.405512,8.888357224,0.887995018,0.651990137,0.409464517,0.679381324,0.679481898,0.246213455,142219.8549,16868.4082,0.679634331,,0.111642776,0.005753148,6,1
L1151,pipe,0.125,18.16425,8.914871523,0.885598551,0.651990137,0.407309818,0.674820522,0.676505655,0.246213455,142240.7904,16869.68359,0.673320614,,0.085128477,0.004686595,6,1
