,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L118,2.680932e-06,6.476075e-07,8.007555e-07,6.5426866e-07,5.2958057e-08,1.3767567e-07,1.0375516e-08,2.4195833e-07,6.229311e-08,4.1942258e-08,1.2496457e-08,2.9540388e-09,6.675691e-09,4.0381565e-10,2.8740033e-10,5.504262e-09,2.0008883e-10,1.4551915e-10,2.9009243e-08,2.9074727e-08,4.7293724e-11,2.9111106e-08,3.092282e-10
L174,2.240864e-06,1.3526151e-06,1.2953897e-06,5.448819e-07,2.747547e-07,1.6277045e-07,5.243055e-08,2.0302323e-06,5.15749e-07,3.7594145e-07,6.5678614e-07,3.0864612e-07,8.638599e-07,3.5448465e-08,1.07625965e-07,3.5666744e-08,4.2433385e-08,1.6028935e-08,1.3015233e-07,6.7593646e-08,1.70985e-09,1.4217221e-07,3.1234958e-07
L175,2.614921e-06,1.5784608e-06,1.5112528e-06,6.356713e-07,3.2041135e-07,1.8978608e-07,6.1154424e-08,2.36724e-06,6.012706e-07,4.3809996e-07,7.6540164e-07,3.5959238e-07,1.006636e-06,4.132744e-08,1.2545934e-07,4.1567546e-08,4.946196e-08,1.868466e-08,1.5168189e-07,7.873314e-08,2.0008883e-09,1.6568083e-07,3.6407437e-07
L183,1.4951365e-07,1.9201252e-08,1.0091753e-08,2.309389e-08,2.8376235e-10,1.6734703e-10,5.4569682e-11,1.9572326e-09,4.9112714e-10,3.3469405e-10,6.0754246e-10,2.8012437e-10,7.566996e-10,3.274181e-11,1.05501385e-10,4.0017767e-11,4.7293724e-11,1.8189894e-11,1.3096724e-10,6.548362e-11,0.0,1.4915713e-10,6.002665e-10
L192,3.5945122e-06,6.8166482e-06,1.9090585e-06,9.715877e-07,4.3979526e-07,2.6026828e-07,8.492498e-08,3.9218867e-06,9.1340917e-07,7.546114e-07,1.2398305e-06,5.809561e-07,1.5699552e-06,1.7898856e-09,1.8155697e-07,6.006303e-08,6.863411e-08,1.7527782e-08,2.1930464e-07,1.1357042e-07,2.8885552e-09,2.3710163e-07,5.1131065e-07
L2041,0.00019983709,1.2292352e-05,9.518815e-06,1.0944961e-05,7.009163e-06,4.790636e-06,8.175848e-07,0.002624155,0.00055307406,0.0012244936,0.0018235198,0.001066654,0.0016315598,2.9936433e-05,5.67995e-05,2.3706816e-05,2.393499e-05,1.0184012e-05,7.509906e-05,4.617218e-05,1.1418015e-06,4.4113956e-05,6.013643e-05
L2042,0.00040835602,2.4055713e-05,1.83378e-05,2.1181011e-05,1.4443533e-05,9.764277e-06,1.6770209e-06,0.0024903503,0.0004907772,0.001264875,0.0018049534,0.0010053441,0.0016468978,3.024377e-05,5.739834e-05,2.3964792e-05,2.4159439e-05,1.0291114e-05,7.590465e-05,4.6668574e-05,1.1529773e-06,4.4617802e-05,6.0851686e-05
L2043,0.00019876525,1.2798933e-05,9.944808e-06,1.1172466e-05,6.897957e-06,4.718895e-06,7.9584424e-07,0.00013167123,6.12751e-05,3.9416962e-05,1.8940933e-05,6.0830767e-05,1.5740065e-05,2.6966882e-07,4.932008e-07,2.2306631e-07,2.3448956e-07,9.40272e-08,6.6786015e-07,4.2169995e-07,7.610652e-09,3.809837e-07,5.1191455e-07
L2084,1.2763499e-05,5.7302277e-06,5.182177e-06,2.6913258e-06,2.5504341e-06,1.4354446e-06,2.2644963e-07,8.452793e-06,1.8948049e-06,8.034767e-07,1.9352738e-06,8.051138e-07,2.143075e-06,7.786002e-08,4.693211e-07,2.1490268e-07,1.6576087e-07,5.3543772e-08,6.4976484e-07,4.465619e-07,3.950845e-09,7.536364e-07,1.2427845e-06
L2093,9.086711e-06,1.1455704e-06,1.7694692e-06,1.7208222e-06,8.622301e-07,5.473412e-07,1.2623786e-07,1.3055251e-06,2.2366294e-07,3.202149e-07,2.4883775e-09,1.8652645e-07,1.3213139e-08,6.6967914e-08,2.0940206e-07,7.104245e-08,3.7325663e-08,3.351306e-08,2.6285124e-07,1.4543184e-07,3.448804e-09,2.4959445e-07,5.013717e-07
L213,4.2744796e-07,7.034032e-08,7.899871e-08,9.8105374e-08,1.0353688e-08,7.748895e-10,5.0931703e-11,2.3501343e-09,5.638867e-10,5.16593e-10,8.1490725e-10,3.8562575e-10,1.036824e-09,2.1827873e-11,1.09139364e-10,3.6379788e-11,4.0017767e-11,6.91216e-11,1.3460522e-10,7.2759576e-11,7.275958e-12,1.382432e-10,2.9831426e-10
L214,4.2212996e-06,2.3459652e-06,1.8676219e-06,1.0831427e-06,4.418398e-07,2.5478948e-07,8.440111e-08,4.0249433e-06,9.69354e-07,8.781644e-07,1.3938334e-06,6.563132e-07,1.7786952e-06,4.058529e-08,1.861481e-07,6.148912e-08,6.746268e-08,1.2216333e-07,2.2538734e-07,1.1666998e-07,2.9467628e-09,2.4130713e-07,5.103575e-07
L274,1.7620514e-06,4.2086322e-07,5.892798e-07,3.6511483e-07,2.5966074e-07,1.2233431e-07,1.05537765e-08,7.6087963e-07,1.3320096e-07,4.1782187e-08,6.310802e-08,3.8198777e-09,8.683855e-09,7.566996e-10,2.4374458e-10,4.4165063e-09,1.5643309e-10,3.4197e-10,2.8267095e-08,2.8314389e-08,4.3655746e-11,2.8339855e-08,2.8012437e-10
L311,5.9886806e-06,2.6395392e-06,2.4453511e-06,1.5084079e-06,8.1001053e-07,4.320027e-07,7.116614e-08,4.5800844e-06,1.0517542e-06,8.012212e-07,1.3329045e-06,6.342816e-07,1.6495687e-06,4.9483788e-08,1.7536513e-07,6.319897e-08,6.3584594e-08,2.8914656e-08,2.4332985e-07,1.4164107e-07,2.8157956e-09,2.584202e-07,4.771864e-07
L3114,3.765439e-06,1.2762757e-07,3.0280207e-06,8.098345e-06,5.1476018e-06,2.2260465e-06,5.1950337e-09,7.1612885e-07,8.22547e-08,9.45729e-08,1.47229e-08,9.975299e-05,3.349851e-08,3.7442078e-08,6.2791514e-08,3.544992e-06,4.278263e-09,1.4391844e-08,2.9605872e-07,3.156456e-07,5.7771103e-09,3.3291872e-07,1.811859e-07
L3118,4.0633677e-07,2.2082531e-08,5.099355e-08,1.6278136e-07,6.4028427e-10,3.3105607e-10,1.1641532e-10,1.0040822e-09,1.4915713e-10,1.7826096e-10,3.274181e-11,9.458745e-11,4.0017767e-11,5.0931703e-11,1.2732926e-10,4.3655746e-11,5.4569682e-11,1.0913936e-11,1.6734703e-10,9.458745e-11,7.275958e-12,1.9645086e-10,3.1650416e-10
L3119,1.7683415e-06,2.7168426e-08,3.9265433e-07,8.4462226e-07,2.8303475e-08,6.693881e-10,2.0372681e-10,2.044544e-09,3.1286618e-10,3.7107384e-10,5.820766e-11,2.0372681e-10,8.0035534e-11,5.820766e-11,2.5465852e-10,9.458745e-11,1.0186341e-10,2.1827873e-11,3.3469405e-10,1.8189894e-10,7.275958e-12,3.8562575e-10,6.475602e-10
L3120,1.8345163e-06,5.066977e-08,8.242205e-07,1.7749699e-06,9.1371476e-08,1.3533281e-09,4.5110937e-10,4.0308805e-09,6.2573235e-10,7.1304385e-10,1.1641532e-10,4.0745363e-10,1.6007107e-10,1.0186341e-10,5.0931703e-10,2.3283064e-10,1.7462298e-10,4.3655746e-11,6.4028427e-10,3.4924597e-10,1.4551915e-11,7.566996e-10,1.2805685e-09
L3144,2.1293163e-06,5.3260374e-07,6.896553e-07,4.84637e-07,1.0398107e-06,1.1112934e-07,1.0746589e-08,4.0112354e-07,4.7581125e-08,3.3509423e-08,8.774805e-09,4.76939e-09,1.060107e-08,6.184564e-10,2.728484e-10,5.0858944e-09,1.7826096e-10,2.7866918e-09,3.5142875e-09,3.5724952e-09,4.3655746e-11,3.601599e-09,3.0195224e-10
L319,8.806437e-06,3.3035903e-06,3.2443568e-06,1.9046747e-06,1.5353726e-06,8.9131936e-07,1.1497468e-07,4.482812e-06,1.0108051e-06,3.1969103e-07,9.505384e-07,3.816167e-07,1.1650336e-06,5.5966666e-08,2.4725887e-07,1.10158e-07,1.01899786e-07,3.279274e-08,3.8897997e-07,2.6379712e-07,2.7139322e-09,4.3361797e-07,7.213239e-07
L352,4.06057e-06,6.119117e-07,1.1134871e-06,1.5548867e-06,1.2034725e-06,4.0551822e-07,6.7593646e-09,4.010435e-07,1.33914e-07,1.6951526e-07,3.0180672e-08,2.9060175e-08,3.47718e-08,7.734343e-09,2.7517672e-08,6.376649e-08,4.5038178e-09,7.057679e-10,1.4767284e-07,1.3986573e-07,9.1677066e-10,1.5804108e-07,1.3135286e-07
L360,1.0342337e-05,2.3040266e-06,2.7059505e-06,1.466542e-06,2.3380926e-06,1.4264224e-06,1.682929e-07,4.195441e-06,5.1582174e-07,7.1182876e-07,7.361086e-08,3.2937533e-07,7.746712e-08,7.216295e-08,3.9715815e-07,1.9487197e-07,6.36428e-08,4.4288754e-08,5.776892e-07,4.0984742e-07,3.4779077e-09,5.9251033e-07,9.668584e-07
L361,5.0404706e-06,7.781782e-07,1.408036e-06,1.5236546e-06,1.4631842e-06,7.012095e-07,6.4683263e-09,7.491435e-07,2.0597508e-07,2.3488974e-07,3.697278e-08,2.6859198e-08,8.72933e-08,2.253364e-08,7.504059e-08,8.0934115e-08,2.3028406e-09,1.7498678e-09,2.1320011e-07,2.127781e-07,1.0768417e-09,2.2672248e-07,2.32616e-07
L362,8.35993e-06,1.778848e-06,2.2046952e-06,1.4749894e-06,2.0051666e-06,1.1228476e-06,1.1535303e-07,3.0110095e-06,3.944515e-07,5.371039e-07,5.7953002e-08,2.2391032e-07,6.4661435e-08,4.6667992e-08,2.7414353e-07,1.4371471e-07,4.2309694e-08,3.1162926e-08,4.4021e-07,3.2398384e-07,2.401066e-09,4.4004264e-07,6.984483e-07
L363,3.892801e-06,5.645379e-07,1.0802432e-06,1.448363e-06,1.2046985e-06,4.4048284e-07,1.48575054e-08,3.5368794e-07,1.4377292e-07,1.6614285e-07,2.2024324e-08,1.2369128e-08,4.562753e-08,1.1092197e-08,3.1399395e-08,5.509355e-08,1.4770194e-09,1.2805685e-09,1.505432e-07,1.5016485e-07,1.0695658e-09,1.6053673e-07,1.3676981e-07
L366,8.230054e-06,1.8469582e-06,2.152221e-06,1.6168851e-06,1.7738348e-06,8.809875e-07,1.5510886e-07,1.7292041e-06,3.3562537e-07,5.914335e-07,1.6146805e-07,3.4253026e-07,1.4084799e-07,7.834751e-08,2.6859925e-07,1.2572855e-07,6.66987e-08,4.168396e-08,4.12394e-07,2.607194e-07,3.8562575e-09,4.152389e-07,6.7597284e-07
L367,3.1886484e-06,4.5833076e-07,8.8124216e-07,1.291126e-06,9.783653e-07,3.1287345e-07,1.19252945e-08,3.9931183e-07,3.889727e-08,4.6897185e-08,7.672497e-09,4.8603397e-09,6.668415e-09,1.1386874e-09,5.020411e-10,1.169974e-08,3.274181e-10,3.237801e-10,5.1881216e-08,5.209222e-08,1.05501385e-10,5.2059477e-08,3.2014214e-10
L372,5.7336365e-06,1.0993826e-06,1.5255282e-06,1.6216218e-06,1.3985264e-06,5.750917e-07,5.806214e-08,8.927891e-07,2.15834e-07,3.265086e-07,3.9586303e-07,1.481676e-07,4.5962224e-08,3.2501703e-08,1.2233068e-07,7.95917e-08,3.0515366e-08,1.8437277e-08,2.3770554e-07,1.6896229e-07,1.4479156e-09,2.4181645e-07,3.1886884e-07
L377,3.380188e-06,4.1264502e-07,9.526084e-07,1.6043705e-06,9.534342e-07,2.9738658e-07,1.5908881e-08,1.7650746e-07,1.05126674e-07,1.2827877e-07,2.5986083e-08,1.4657417e-08,1.7051207e-08,1.0935764e-08,3.601599e-10,5.5770215e-08,1.022272e-09,8.221832e-10,1.15040166e-07,1.1528027e-07,5.2023097e-10,1.2013697e-07,6.414484e-08
L378,4.65216e-06,8.6336513e-07,1.2788951e-06,2.0976586e-06,1.0501462e-06,3.7251448e-07,3.2989192e-08,6.537739e-07,1.8199353e-07,1.8318678e-07,6.170012e-09,5.977199e-08,3.6226993e-08,1.949229e-08,7.748895e-08,6.193295e-08,2.8172508e-08,1.1503289e-08,1.6787817e-07,1.2424425e-07,1.0768417e-09,1.7524872e-07,1.9984145e-07
L379,2.8443428e-06,3.2602475e-07,8.1490725e-07,1.5624864e-06,6.7864676e-07,1.5490878e-07,7.832568e-09,1.00731995e-07,6.736809e-08,7.129347e-08,9.029463e-09,1.0095391e-08,4.0781742e-09,3.0377123e-09,5.1113602e-09,2.1973392e-08,2.0954758e-09,4.8748916e-10,6.9361704e-08,6.6676876e-08,1.7462298e-10,6.995106e-08,1.3358658e-08
L407,1.4859288e-06,5.173206e-09,2.7867645e-07,5.9280865e-07,5.6632416e-08,3.5652192e-10,7.6397555e-11,8.440111e-10,1.4188117e-10,2.0372681e-10,7.275958e-12,1.200533e-10,1.4551915e-11,4.7293724e-11,1.382432e-10,4.3655746e-11,2.1827873e-11,1.8189894e-11,1.6734703e-10,9.458745e-11,7.275958e-12,1.6007107e-10,3.2014214e-10
L408,1.3141216e-06,8.523784e-09,2.1967571e-07,4.4889748e-07,1.2758392e-08,3.5652192e-10,8.367351e-11,8.367351e-10,1.4188117e-10,2.0372681e-10,0.0,1.1641532e-10,7.275958e-12,4.7293724e-11,1.3460522e-10,5.0931703e-11,2.1827873e-11,2.1827873e-11,1.6370905e-10,8.731149e-11,0.0,1.6007107e-10,3.274181e-10
L425,1.3943827e-06,1.5526894e-08,3.845853e-07,7.267263e-07,2.1543383e-07,1.7123966e-08,1.2914825e-09,7.421477e-10,9.586074e-09,1.4446414e-08,4.44561e-09,2.8667273e-09,3.2414391e-09,1.4551915e-09,4.3291948e-10,9.596988e-09,2.764864e-10,6.9485395e-10,1.2638338e-08,1.27947715e-08,8.731149e-11,1.27947715e-08,3.1286618e-10
L427,2.0277294e-06,1.777953e-07,5.201e-07,7.4382115e-07,3.085952e-07,1.01361366e-07,2.2795575e-08,2.1968299e-07,4.0563464e-08,5.5966666e-08,1.3606041e-09,2.951856e-08,2.764864e-09,2.9758667e-09,3.2785465e-08,2.0707375e-08,7.763447e-09,2.910383e-09,4.8050424e-08,2.9962393e-08,6.1118044e-10,4.9025402e-08,7.8624e-08
L55,1.9967709e-05,7.219933e-08,1.9542073e-05,1.3159122e-05,7.8164085e-06,6.469316e-06,1.8699211e-08,2.7031638e-06,6.6138455e-08,5.1863026e-08,1.6290869e-08,2.8670816e-05,2.8721843e-08,1.5003025e-08,7.152994e-08,6.0973944e-06,1.1496013e-09,8.192728e-09,3.2410753e-08,5.6399585e-08,4.8821676e-09,4.5925844e-08,4.5693014e-08
L56,1.2623786e-09,2.9467628e-10,1.713488e-09,4.944013e-09,2.592642e-07,3.8940198e-07,1.504668e-08,4.114554e-07,1.1869997e-07,1.3754834e-07,1.8164428e-08,1.3082172e-08,2.6499038e-08,1.0317308e-08,1.3838871e-08,1.8128048e-07,1.5825208e-09,1.3351382e-09,1.8176434e-07,1.8139326e-07,1.1823431e-09,1.9203071e-07,1.8762512e-07
L636,7.020826e-07,1.685039e-07,1.8838182e-07,2.8884824e-07,6.367918e-08,7.1122486e-09,5.711627e-10,4.3801265e-09,3.7107384e-09,2.7212081e-09,4.656613e-10,2.1100277e-10,1.4588295e-09,1.2405508e-09,1.05501385e-10,3.6379788e-11,5.4569682e-11,1.8189894e-11,1.3460522e-10,7.2759576e-11,3.637979e-12,1.5279511e-10,2.8740033e-10
L663,1.4860416e-06,2.7198257e-07,4.274043e-07,5.2495307e-07,2.529123e-07,6.857226e-08,1.7145794e-08,2.1485539e-07,5.000402e-08,2.4625479e-08,2.0965672e-08,7.355993e-09,3.5124685e-08,8.025381e-09,2.4472683e-08,1.4228135e-08,1.7160346e-08,3.430614e-09,3.189416e-08,1.8073479e-08,4.4383341e-10,4.0956365e-08,6.891787e-08
L664,1.0016447e-06,8.986535e-08,2.939414e-07,4.919675e-07,1.6741251e-07,1.0521035e-08,8.403731e-10,1.8590072e-09,5.496986e-09,6.7557266e-09,1.6007107e-09,1.02591e-09,3.8926373e-10,1.3096724e-10,3.092282e-10,6.0681487e-09,2.8376235e-10,1.70985e-10,3.3032848e-09,3.3833203e-09,5.820766e-11,3.43789e-09,3.3833203e-10
L694,2.634788e-06,6.190421e-07,8.362258e-07,7.115377e-07,5.479451e-07,1.9408981e-07,4.3961336e-08,5.771544e-07,1.4637772e-07,7.22539e-08,1.1995278e-05,1.036824e-09,3.3105607e-10,2.3646862e-10,3.237801e-10,6.3919288e-09,2.6921043e-10,1.7826096e-10,1.6796548e-08,1.6880222e-08,5.820766e-11,1.6927515e-08,3.3469405e-10
L723,1.1850098e-06,8.676943e-08,3.613568e-07,5.6079443e-07,2.7921124e-07,4.1211024e-08,1.9499566e-09,1.0091753e-08,2.78269e-08,2.995148e-08,2.230081e-09,1.4370016e-09,1.207809e-09,4.76939e-09,3.1650416e-10,6.2282197e-09,2.5102054e-10,2.2191671e-10,2.357774e-08,2.3657776e-08,5.4569682e-11,2.3708708e-08,3.3833203e-10
L753,6.600967e-07,6.208913e-06,2.3101165e-09,1.1059456e-08,4.802132e-10,2.9831426e-10,7.6397555e-11,9.640644e-10,2.0008883e-10,1.3096724e-10,6.548362e-11,6.184564e-11,1.1641532e-10,5.4569682e-11,1.2369128e-10,4.3655746e-11,6.184564e-11,1.8189894e-11,1.5643309e-10,8.367351e-11,0.0,1.7826096e-10,3.3833203e-10
L759,2.2362728e-06,2.5283225e-07,2.503075e-07,2.9988587e-07,1.8480205e-07,1.688386e-07,3.0559022e-08,3.3427932e-07,5.0924427e-08,5.881884e-08,7.414201e-09,3.281457e-08,1.3802492e-08,2.6266207e-09,4.2600732e-08,1.4981197e-08,1.3271347e-08,1.166336e-08,5.331094e-08,2.9162038e-08,6.91216e-10,5.84987e-08,1.0612712e-07
L760,2.431152e-07,1.3278623e-08,3.3251126e-09,6.262053e-08,5.275069e-10,5.020411e-10,8.367351e-11,9.822543e-10,1.4915713e-10,1.70985e-10,2.1827873e-11,9.458745e-11,4.0017767e-11,1.0913936e-11,1.200533e-10,4.3655746e-11,4.0017767e-11,3.274181e-11,1.6007107e-10,8.731149e-11,0.0,1.7826096e-10,3.092282e-10
L764,9.39297e-07,5.842594e-09,7.471317e-08,2.2624954e-07,7.927156e-09,4.947651e-10,9.458745e-11,9.968062e-10,1.5643309e-10,1.7826096e-10,2.1827873e-11,1.0186341e-10,4.0017767e-11,1.0913936e-11,1.2732926e-10,4.3655746e-11,3.6379788e-11,3.6379788e-11,1.4915713e-10,7.6397555e-11,0.0,1.70985e-10,3.1286618e-10
L765,1.4614488e-06,4.5456545e-08,2.4740075e-07,4.7347567e-07,7.241033e-08,8.556526e-09,9.094947e-11,1.0004442e-09,1.4915713e-10,1.70985e-10,2.1827873e-11,1.0186341e-10,4.3655746e-11,0.0,1.3460522e-10,4.0017767e-11,3.6379788e-11,4.0017767e-11,1.6007107e-10,8.731149e-11,0.0,8.913048e-10,3.1286618e-10
L789,1.6264312e-07,1.3344106e-08,3.1541276e-09,1.0022268e-07,5.456968e-10,3.274181e-10,9.094947e-11,1.0004442e-09,1.5279511e-10,1.7462298e-10,2.1827873e-11,1.0186341e-10,4.3655746e-11,7.275958e-12,1.2732926e-10,4.0017767e-11,3.6379788e-11,5.820766e-11,1.5279511e-10,8.731149e-11,3.637979e-12,1.7462298e-10,3.092282e-10
L804,4.5174602e-07,1.4941179e-08,5.4205884e-08,1.8839637e-07,5.3842086e-10,3.3469405e-10,8.731149e-11,9.531504e-10,1.5643309e-10,1.7826096e-10,2.1827873e-11,9.822543e-11,4.3655746e-11,3.637979e-12,1.2732926e-10,4.7293724e-11,3.6379788e-11,1.8189894e-11,1.5643309e-10,8.367351e-11,0.0,1.70985e-10,3.092282e-10
L805,2.1445958e-06,4.4670014e-07,3.8964936e-07,3.1858508e-07,3.17581e-07,1.9422441e-07,5.394395e-08,1.564121e-05,1.4915713e-10,1.70985e-10,2.1827873e-11,9.822543e-11,4.3655746e-11,1.0913936e-11,1.200533e-10,4.7293724e-11,3.274181e-11,2.1827873e-11,1.5643309e-10,9.094947e-11,0.0,1.7826096e-10,3.1650416e-10
L815,1.1757256e-06,1.8681021e-08,3.1393938e-07,6.225164e-07,1.2205783e-07,1.26347e-08,9.094947e-11,9.1677066e-10,1.4551915e-10,2.3283064e-10,4.2527972e-09,2.732122e-09,3.0559022e-09,1.8408173e-09,4.2200554e-10,7.948984e-09,4.0017767e-11,6.039045e-10,1.6007107e-10,8.367351e-11,7.275958e-12,1.6734703e-10,3.1650416e-10
L981,2.7286696e-06,2.7340138e-07,7.564631e-07,1.4294201e-06,7.2671173e-07,1.1735392e-07,5.493348e-10,5.4045813e-08,2.7866918e-08,3.40915e-08,5.700713e-09,3.7143764e-09,4.2418833e-09,1.2587407e-09,5.5661076e-10,1.27874955e-08,3.2014214e-10,3.6379788e-10,3.250534e-08,3.2734533e-08,1.1277734e-10,3.2694516e-08,3.274181e-10
L982,2.2669847e-06,1.9929212e-07,6.5286804e-07,1.2445053e-06,5.530892e-07,6.1223545e-08,1.4661055e-09,2.1427695e-09,2.6986527e-08,3.2840035e-08,5.3769327e-09,3.4924597e-09,3.9981387e-09,1.1823431e-09,5.2023097e-10,1.2052624e-08,2.9831426e-10,3.45608e-10,3.1341187e-08,3.1559466e-08,1.1277734e-10,3.151945e-08,3.274181e-10
L983,2.2195345e-06,1.9598156e-07,6.5215863e-07,1.2102864e-06,5.645488e-07,7.155177e-08,2.6011548e-09,1.6298145e-09,3.3294782e-08,3.929381e-08,5.511538e-09,3.5470293e-09,4.1582098e-09,1.0695658e-09,5.0567905e-10,1.1528755e-08,2.910383e-10,3.1286618e-10,3.8802682e-08,3.8999133e-08,1.05501385e-10,3.897003e-08,3.2014214e-10
L984,3.1068485e-06,4.130925e-07,8.5146894e-07,1.3838508e-06,7.4143463e-07,1.5627302e-07,2.0489097e-08,1.8833816e-07,6.410846e-08,8.382631e-08,5.0931703e-09,3.0515366e-08,1.9717845e-09,8.825737e-09,3.131572e-08,2.2839231e-08,5.340553e-09,4.612957e-09,7.585186e-08,5.884067e-08,6.184564e-10,7.370545e-08,7.348717e-08
L1016,3.8724102e-07,1.0133954e-07,8.774805e-08,3.7505706e-06,6.730261e-10,3.3105607e-10,1.200533e-10,9.895302e-10,1.5279511e-10,1.70985e-10,2.910383e-11,9.094947e-11,4.0017767e-11,7.6397555e-11,1.2732926e-10,5.0931703e-11,6.184564e-11,1.8189894e-11,1.6370905e-10,9.094947e-11,0.0,2.0008883e-10,3.2014214e-10
L1139,1.3489007e-06,1.7636921e-08,3.5471385e-07,7.1321483e-07,1.429471e-07,8.392817e-09,1.0186341e-10,9.677024e-10,1.4551915e-10,1.7826096e-10,2.1827873e-11,1.1459633e-09,3.2232492e-09,1.8480932e-09,4.5838533e-10,2.1791493e-09,4.3655746e-11,1.0913936e-11,1.6734703e-10,9.822543e-11,3.637979e-12,4.5110937e-10,3.2014214e-10
L1684,1.8388237e-06,1.059132e-06,1.3833924e-06,1.7449202e-07,6.945629e-08,6.761693e-07,5.9971353e-07,6.5317727e-07,1.7511775e-07,1.4510588e-06,1.7440325e-06,6.418559e-07,4.3734326e-07,8.968782e-07,6.388582e-07,1.0762742e-06,6.767077e-07,1.9466097e-07,6.913615e-07,7.5018033e-07,1.4377292e-08,9.624637e-07,1.477616e-06
