,time,evaluations,actions,cost,used budget,1,2,3,4,5,6,7,8,9
0,1333.7776618003845,37,8,16106.879367487878,191075.1532559029,0.9386,0.7858,0.2639,0.7842,0.8038,0.5326,94234.7305,16402.5195,0.8061
0,1273.7695055007935,35,8,15899.815544790252,206974.96880069314,0.9416,0.788,0.2666,0.7928,0.8088,0.5336,93540.1049,16379.2588,0.8177
0,1299.5502984523773,36,4,15960.966352048394,222935.93515274153,0.9398,0.7925,0.2642,0.7871,0.8064,0.5333,91541.2085,16391.2812,0.8092
0,1313.0983974933624,36,4,14547.16295234653,237483.09810508805,0.9438,0.7985,0.2677,0.7911,0.8132,0.5322,90356.1218,16412.0,0.8144
0,1259.8507857322693,35,3,12117.95025,249601.04835508805,0.9445,0.7985,0.2687,0.7962,0.8152,0.534,90131.7281,16378.4531,0.8208
0,1259.7155299186707,35,3,14529.632,264130.680355088,0.941,0.7985,0.2653,0.7904,0.8115,0.5326,90035.7628,16391.0566,0.8121
0,10545.958216190338,37,7,13370.584468266226,277501.26482335426,0.9401,0.801,0.2638,0.7908,0.8101,0.5347,89451.5172,16379.4424,0.8123
0,1269.767808675766,35,4,12511.638749999998,290012.90357335424,0.9428,0.7992,0.2662,0.7948,0.8144,0.535,89916.0882,16389.1719,0.8183
0,1260.3771517276764,35,6,16065.482901622301,306078.38647497655,0.9435,0.7996,0.2654,0.7986,0.8173,0.535,89950.6607,16368.623,0.8214
0,1248.5068736076355,35,6,14738.903689924795,320817.29016490135,0.9457,0.801,0.2677,0.8007,0.8211,0.5372,89711.9715,16365.9512,0.8243
0,1247.6973946094513,35,18,46645.67986066663,367462.970025568,0.946,0.7999,0.2667,0.8005,0.822,0.5358,90118.124,16343.0791,0.8241
0,1302.9417889118195,37,12,14399.707413513046,381862.677439081,0.946,0.8003,0.2656,0.8022,0.8225,0.5365,89847.6008,16376.1055,0.8266
0,1239.9109044075012,35,12,15918.095089214341,397780.77252829535,0.9437,0.7999,0.2625,0.7976,0.8181,0.5368,89730.9976,16344.0508,0.8205
0,1233.9727334976196,35,4,8410.994336611857,406191.76686490723,0.9449,0.802,0.2645,0.7989,0.8205,0.5365,89450.6901,16330.8418,0.8225
0,1235.8115911483765,35,5,11376.156500000001,417567.9233649072,0.9449,0.8017,0.264,0.8021,0.8208,0.5354,89493.2764,16332.2861,0.8261
0,1472.4780232906342,35,5,13928.87031,431496.79367490724,0.9397,0.7802,0.2585,0.7908,0.8123,0.3702,99968.4171,16346.3174,0.8114
0,1506.508800983429,35,6,14035.56194885767,445532.3556237649,0.9437,0.802,0.2625,0.7965,0.8197,0.5354,89449.9915,16311.2578,0.8175
0,1322.0857322216034,35,3,14483.344250000002,460015.69987376494,0.9441,0.8024,0.2631,0.7953,0.8207,0.5358,89253.6037,16352.6299,0.8161
0,1470.2410645484924,35,6,13944.050384101498,473959.75025786646,0.9416,0.8017,0.2607,0.7926,0.817,0.5354,89568.6953,16342.6621,0.8122
0,1466.7988021373749,35,4,13174.67825,487134.42850786645,0.9464,0.8024,0.2649,0.799,0.8243,0.5361,89231.1553,16330.7119,0.821
0,2243.926501274109,35,6,13075.9045,500210.33300786646,0.9445,0.802,0.262,0.7961,0.821,0.5368,89292.7973,16409.3789,0.8166
0,2226.432909965515,35,6,16261.093,516471.42600786645,0.9453,0.7791,0.2637,0.7979,0.822,0.3709,99863.2395,16363.3262,0.8206
0,2230.9657497406006,35,5,15463.556749999998,531934.9827578665,0.9427,0.8024,0.261,0.7953,0.818,0.5365,89382.0608,16376.4102,0.8163
0,5291.1263692379,35,4,11324.93575,543259.9185078664,0.9455,0.802,0.2636,0.7982,0.8227,0.5365,89256.163,16364.6455,0.8195
0,1554.9337677955627,35,5,9618.10125,552878.0197578664,0.9457,0.802,0.2638,0.798,0.8231,0.5361,89454.8934,16342.3125,0.8197
0,1513.3830699920654,36,6,10560.553346818428,563438.5731046848,0.9491,0.8038,0.2672,0.8054,0.8283,0.5379,89094.196,16348.5059,0.8291
0,1325.4419448375702,35,5,22003.96824767699,585442.5413523618,0.9454,0.8027,0.2642,0.8011,0.8233,0.5375,89223.2648,16327.3428,0.8239
0,1306.5062811374664,35,4,14920.698499999999,600363.2398523618,0.9434,0.8027,0.2621,0.7967,0.8205,0.5375,89321.746,16361.0312,0.818
0,9421.993348360062,35,6,11333.649987875211,611696.8898402371,0.9424,0.8027,0.2594,0.7977,0.8188,0.5403,89188.0033,16388.0664,0.8188
0,1130.9395866394043,35,5,15173.24464743607,626870.1344876732,0.9434,0.8024,0.262,0.7995,0.8206,0.5372,89289.6587,16361.5059,0.8224
0,1143.0155155658722,35,4,12202.27375183406,639072.4082395072,0.9413,0.7813,0.2583,0.795,0.8175,0.372,99554.9839,16353.2061,0.8153
0,1144.4824409484863,35,6,14551.997338447238,653624.4055779545,0.9409,0.8031,0.2579,0.7939,0.8179,0.5375,89068.0694,16363.7051,0.8131
0,1141.6212747097015,35,3,11223.690952000012,664848.0965299545,0.9407,0.8031,0.2584,0.7941,0.8175,0.5365,89095.7151,16338.9941,0.8139
0,1144.01216506958,35,2,4620.918638097668,669469.0151680522,0.9409,0.8042,0.2585,0.795,0.8182,0.5396,89048.6015,16339.4238,0.815
