,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L361,1.8189894e-11,7.275958e-12,4.0017767e-11,2.5465852e-11,0.0,1.0913936e-11,0.0,1.0913936e-11,1.4551915e-11,2.1827873e-11,0.0,2.1827873e-11,4.0017767e-11,1.0913936e-11,2.5465852e-11,7.275958e-12,1.0913936e-11,2.1827873e-11,1.8189894e-11,2.5465852e-11,3.6379788e-11,5.820766e-11,1.8189894e-11,3.637979e-12,0.0,3.637979e-12,1.0913936e-11,7.275958e-12,1.6360354e-07,1.6362537e-07,1.0913936e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,1.6386912e-07,1.6384729e-07,0.0,2.1827873e-11,4.3655746e-11,2.1827873e-11,1.0913936e-11,1.4551915e-11,3.274181e-11,1.635126e-07,1.6357444e-07,1.0913936e-11,1.0913936e-11
L363,1.4551915e-11,1.4551915e-11,4.7293724e-11,2.910383e-11,7.275958e-12,0.0,3.637979e-12,1.0913936e-11,1.8189894e-11,1.8189894e-11,0.0,2.910383e-11,4.7293724e-11,1.0913936e-11,2.5465852e-11,0.0,1.0913936e-11,2.5465852e-11,1.4551915e-11,2.5465852e-11,3.6379788e-11,5.820766e-11,2.1827873e-11,0.0,0.0,0.0,1.0913936e-11,1.0913936e-11,1.2027522e-07,1.2028613e-07,2.1827873e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,1.2051896e-07,1.2049713e-07,0.0,2.910383e-11,4.3655746e-11,1.4551915e-11,1.0913936e-11,1.0913936e-11,3.274181e-11,1.201879e-07,1.2024248e-07,1.0913936e-11,0.0
L372,1.6014383e-08,7.021299e-09,3.9464794e-08,2.7437636e-08,5.7189027e-09,5.820766e-09,6.8394e-10,1.3547833e-08,2.1391315e-08,2.0911102e-08,8.731149e-10,2.9525836e-08,4.7621143e-08,1.2158125e-08,2.6906491e-08,7.48696e-09,1.4428224e-08,2.12749e-08,1.1517841e-08,2.1704182e-08,3.239984e-08,5.5901182e-08,1.8029823e-08,1.1787051e-09,3.2305252e-09,1.1350494e-09,1.3897079e-08,6.5920176e-09,1.5522528e-07,1.7519051e-07,1.8095307e-08,2.2293534e-08,8.250936e-09,1.22745405e-08,2.1237065e-07,1.8890569e-07,3.3469405e-10,2.75395e-08,4.420872e-08,1.774606e-08,1.3424142e-08,1.6785634e-08,3.3629476e-08,1.2059172e-07,1.798544e-07,9.393261e-09,8.309144e-09
L760,1.4551915e-10,1.4551915e-11,4.7293724e-11,2.910383e-11,0.0,1.0913936e-11,0.0,1.0913936e-11,1.8189894e-11,2.1827873e-11,0.0,2.5465852e-11,4.0017767e-11,1.0913936e-11,2.1827873e-11,3.637979e-12,1.0913936e-11,2.5465852e-11,1.4551915e-11,1.8189894e-11,2.910383e-11,4.7293724e-11,1.0913936e-11,1.4551915e-11,7.275958e-12,0.0,1.0913936e-11,1.0913936e-11,7.2759576e-11,8.731149e-11,1.8189894e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,1.2369128e-10,1.0186341e-10,0.0,2.1827873e-11,3.6379788e-11,1.4551915e-11,1.0913936e-11,1.0913936e-11,2.910383e-11,3.6379788e-11,9.094947e-11,1.4551915e-11,0.0
L765,1.0913936e-11,0.0,2.5465852e-11,2.1827873e-11,7.275958e-12,0.0,0.0,7.275958e-12,1.8189894e-11,1.8189894e-11,3.637979e-12,2.1827873e-11,4.3655746e-11,1.0913936e-11,2.910383e-11,7.275958e-12,1.0913936e-11,1.4551915e-11,3.637979e-12,1.0913936e-11,2.1827873e-11,4.7293724e-11,1.4551915e-11,1.4551915e-11,7.275958e-12,7.275958e-12,1.8189894e-11,1.0913936e-11,7.2759576e-11,9.458745e-11,1.0913936e-11,2.1827873e-11,7.275958e-12,1.4551915e-11,1.2732926e-10,1.05501385e-10,0.0,2.1827873e-11,3.274181e-11,1.0913936e-11,1.0913936e-11,1.0913936e-11,2.910383e-11,3.6379788e-11,8.731149e-11,3.637979e-12,1.0913936e-11
L454,1.1608645e-06,3.637979e-12,4.0017767e-11,3.6379788e-11,1.0913936e-11,7.275958e-12,3.637979e-12,1.4551915e-11,1.4551915e-11,1.4551915e-11,0.0,2.910383e-11,4.3655746e-11,1.0913936e-11,2.5465852e-11,3.637979e-12,1.0913936e-11,2.1827873e-11,1.0913936e-11,2.1827873e-11,3.274181e-11,5.0931703e-11,1.8189894e-11,0.0,0.0,0.0,1.0913936e-11,1.4551915e-11,2.4079418e-07,2.4080873e-07,1.8189894e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,2.411798e-07,2.4115798e-07,0.0,2.910383e-11,4.0017767e-11,1.0913936e-11,1.0913936e-11,1.0913936e-11,3.6379788e-11,2.4067776e-07,2.4073597e-07,7.275958e-12,1.0913936e-11
L1929,3.0769152e-06,9.421419e-07,1.2452801e-06,5.724796e-07,3.487141e-06,4.2458123e-07,5.3785334e-07,7.3219417e-07,8.620045e-07,8.7864464e-07,3.2089883e-07,6.1605533e-07,1.3131648e-07,3.9523e-08,4.5881825e-06,3.1830496e-06,2.0976295e-06,2.6841299e-06,3.448229e-06,4.4098852e-07,1.6908525e-06,1.0096046e-06,1.5478945e-06,2.4003384e-07,7.496128e-07,2.3492976e-06,8.3236955e-07,1.4364487e-06,6.105991e-06,3.4432305e-06,7.407507e-07,1.4232573e-06,3.2218086e-06,1.1889788e-06,3.088644e-08,5.5704004e-07,1.9332874e-06,1.0021031e-06,4.0971136e-06,2.5315676e-06,2.437846e-06,4.775866e-07,9.508003e-07,2.5140107e-06,5.046677e-07,7.365452e-08,1.1546581e-06
L3179,5.780166e-07,7.000199e-08,3.557143e-07,4.80577e-08,1.0673539e-06,7.663766e-08,6.872069e-07,9.2872506e-07,1.0202348e-07,6.530099e-07,4.969479e-09,2.664019e-07,3.3127435e-07,2.206798e-08,1.0650692e-06,6.8695954e-07,9.913128e-07,3.494788e-07,8.739298e-07,4.004687e-08,9.147989e-07,2.5217014e-07,6.734699e-07,7.778872e-07,2.3614848e-07,3.322053e-05,5.2692485e-08,1.7898856e-08,8.578354e-09,1.4370016e-08,6.526534e-09,1.5279511e-10,3.5652192e-10,3.76167e-08,2.955494e-08,4.663889e-08,5.7683792e-08,2.8696377e-08,2.233719e-09,1.5308615e-08,4.6929927e-09,2.9998773e-08,3.5433914e-09,2.8376235e-10,2.647721e-08,6.7811925e-09,2.2919266e-08
L932,7.242488e-08,5.0858944e-08,2.3841858e-07,1.8713763e-07,2.568413e-08,7.5946446e-08,4.8501533e-08,3.7252903e-09,9.7206794e-08,1.622102e-07,5.7087163e-08,1.7898856e-07,2.8975774e-07,8.01374e-08,1.7444836e-07,1.1525117e-08,6.047776e-08,1.2188684e-07,4.976755e-08,8.306233e-08,1.6696868e-07,3.3520337e-07,1.7884304e-07,1.07320375e-07,2.7779606e-08,2.3414032e-08,1.8495484e-08,1.17506715e-07,1.2457749e-06,1.385386e-06,2.8972863e-08,8.6205546e-08,5.69853e-08,4.505273e-08,1.5624246e-06,1.484761e-06,3.0500814e-08,1.2182863e-07,2.0653533e-07,3.8315193e-08,6.405753e-08,4.2666215e-08,1.7504499e-07,1.1422526e-06,1.4495017e-06,5.0436938e-08,5.197944e-08
L1791,5.4399425e-07,1.9597792e-07,2.4420297e-07,3.8097642e-07,7.502458e-07,2.2527092e-07,1.7303682e-07,5.3406984e-07,1.8093124e-07,2.220986e-07,3.501773e-07,1.6945705e-08,5.7737634e-07,3.813766e-07,1.20818e-06,9.0004323e-07,1.0832446e-06,3.8456346e-07,1.1557495e-06,1.2548844e-07,7.0474925e-07,5.69853e-07,1.1258599e-06,2.0606967e-07,1.5456317e-07,8.127754e-07,8.190109e-07,1.2978126e-07,2.1231172e-06,1.1280426e-06,3.0373485e-07,6.0252205e-07,1.1775264e-06,6.915725e-07,7.107883e-07,1.0332078e-06,8.8748493e-07,2.8894283e-07,1.6899285e-06,8.730931e-07,6.182745e-07,1.0878139e-06,1.386572e-06,1.196684e-06,6.222399e-08,3.7808786e-07,2.5264308e-07
L1959,7.3976116e-07,3.853347e-08,5.342881e-07,2.932211e-08,1.4065881e-06,1.9594154e-07,6.072951e-07,8.4553176e-07,7.532799e-08,1.18838216e-07,8.03484e-08,3.2382377e-07,6.810151e-07,6.9703674e-08,1.2544042e-06,6.6951907e-07,9.351643e-07,4.289468e-07,7.385679e-07,3.0049705e-08,9.46442e-07,4.3470936e-07,6.750488e-07,1.208391e-07,3.2542448e-07,7.930503e-07,4.6080095e-07,1.6088597e-07,1.2280361e-06,8.9507375e-07,2.9604416e-07,6.513437e-07,1.206834e-06,5.562033e-07,5.029433e-07,8.624047e-07,6.677001e-07,1.7450657e-07,1.0350195e-06,8.645584e-07,4.2347529e-07,2.0937296e-07,4.2615284e-07,6.1048195e-07,2.2996392e-07,9.869109e-08,1.382723e-07
L2328,1.5017577e-07,1.0768417e-09,2.6921043e-09,5.0931703e-10,9.0221874e-10,1.877197e-09,5.296897e-09,7.625204e-09,2.1682354e-09,3.6816346e-09,9.7061275e-09,7.712515e-10,1.6880222e-09,1.4551915e-09,2.1100277e-09,2.9685907e-09,3.6961865e-09,1.542503e-09,2.415618e-09,4.3946784e-09,8.2945917e-10,7.1304385e-10,5.5442797e-09,3.167952e-07,3.3066317e-07,1.0400545e-06,9.593205e-07,7.6097785e-07,1.9116851e-07,1.4719262e-07,7.785275e-09,7.697963e-09,1.6734703e-09,3.448804e-09,1.5443948e-07,1.4646503e-07,2.73576e-09,6.5920176e-09,9.997166e-09,3.6379788e-09,3.2159733e-09,6.9412636e-09,8.20728e-09,1.3344106e-07,1.4588295e-07,1.877197e-09,1.3766112e-08
L373,1.8189894e-11,7.275958e-12,3.274181e-11,2.1827873e-11,0.0,1.0913936e-11,0.0,1.4551915e-11,2.1827873e-11,1.8189894e-11,0.0,3.274181e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,3.637979e-12,1.0913936e-11,1.8189894e-11,7.275958e-12,1.8189894e-11,3.274181e-11,5.4569682e-11,1.4551915e-11,7.275958e-12,7.275958e-12,0.0,1.4551915e-11,0.0,3.028981e-08,3.031164e-08,1.8189894e-11,2.1827873e-11,3.637979e-12,1.0913936e-11,3.054447e-08,3.0522642e-08,0.0,2.1827873e-11,4.0017767e-11,1.8189894e-11,1.0913936e-11,1.0913936e-11,2.1827873e-11,3.0213414e-08,3.025707e-08,0.0,1.0913936e-11
L587,6.282062e-08,6.4028427e-09,3.5608537e-08,2.4680048e-08,5.136826e-09,5.2095857e-09,7.566996e-10,1.2412784e-08,1.9339495e-08,1.868466e-08,8.8766683e-10,2.658635e-08,4.285539e-08,1.0928488e-08,2.4141627e-08,6.8102963e-09,1.3111276e-08,1.9179424e-08,1.03900675e-08,1.9717845e-08,2.9278453e-08,5.0320523e-08,1.6138074e-08,2.590241e-09,7.916242e-09,9.26957e-09,1.9557774e-08,1.14232535e-08,2.9156217e-07,3.1042146e-07,1.641456e-08,2.0198058e-08,7.4360287e-09,1.1204975e-08,3.442401e-07,3.22907e-07,3.929017e-10,2.4956535e-08,3.995956e-08,1.6094418e-08,1.2179953e-08,1.5250407e-08,3.039895e-08,2.6088674e-07,3.1443778e-07,8.51287e-09,7.858034e-09
L59,3.274181e-11,3.637979e-12,3.274181e-11,2.1827873e-11,0.0,1.0913936e-11,0.0,1.0913936e-11,2.1827873e-11,2.1827873e-11,0.0,2.910383e-11,4.0017767e-11,1.0913936e-11,2.1827873e-11,1.0913936e-11,1.8189894e-11,1.8189894e-11,7.275958e-12,1.8189894e-11,3.274181e-11,5.4569682e-11,1.8189894e-11,0.0,7.275958e-12,1.0913936e-11,1.0913936e-11,1.0913936e-11,3.1641684e-07,3.1643503e-07,1.4551915e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,3.1689706e-07,3.1687523e-07,0.0,2.1827873e-11,4.0017767e-11,1.8189894e-11,1.0913936e-11,1.0913936e-11,2.1827873e-11,3.1631134e-07,3.16355e-07,3.637979e-12,7.275958e-12
L75,3.651803e-08,1.27838575e-08,7.1377144e-08,4.93892e-08,1.0266376e-08,1.0411895e-08,1.7607817e-09,2.5225745e-08,3.8853614e-08,3.7180143e-08,2.1391315e-09,5.3281838e-08,8.5790816e-08,2.1806045e-08,4.8232323e-08,1.3780664e-08,2.6506314e-08,3.849709e-08,2.0867446e-08,3.9734005e-08,5.873153e-08,1.0077201e-07,3.213063e-08,1.1823431e-08,2.3181201e-08,4.679896e-08,6.020127e-08,3.9493898e-08,1.4038233e-07,1.7714774e-07,3.320747e-08,4.0745363e-08,1.4886609e-08,2.26064e-08,2.4407927e-07,2.0106381e-07,9.094947e-10,5.0138624e-08,8.0341124e-08,3.2385287e-08,2.4534529e-08,3.0784577e-08,6.112532e-08,7.76854e-08,1.8526771e-07,1.7083948e-08,1.5454134e-08
L809,2.6499038e-08,1.4464604e-08,8.220377e-08,5.727634e-08,1.1918019e-08,1.2165401e-08,1.0622898e-09,2.7750502e-08,4.438334e-08,4.3641194e-08,1.7462298e-09,6.184564e-08,9.9564204e-08,2.5436748e-08,5.6286808e-08,1.5701517e-08,3.032619e-08,4.451431e-08,2.39379e-08,4.5314664e-08,6.779737e-08,1.1685188e-07,3.7864083e-08,2.795423e-08,1.3431418e-08,6.2427716e-09,3.3716788e-08,1.7389539e-08,1.6822014e-07,2.127199e-07,3.783498e-08,4.6624336e-08,1.7374987e-08,2.5494955e-08,2.9012153e-07,2.4121255e-07,5.529728e-10,5.743641e-08,9.2433766e-08,3.7776772e-08,2.81143e-08,3.4982804e-08,7.0169335e-08,9.908399e-08,2.2289169e-07,1.9615982e-08,2.0445441e-08
L1020,1.0106305e-08,5.464244e-09,3.13521e-08,2.1864253e-08,4.5620254e-09,4.612957e-09,3.0559022e-10,1.0455551e-08,1.6887498e-08,1.6647391e-08,6.8394e-10,2.370507e-08,3.8096914e-08,9.742507e-09,2.1515007e-08,6.031769e-09,1.169974e-08,1.706212e-08,9.124051e-09,1.736771e-08,2.5996997e-08,4.471076e-08,1.45009835e-08,1.382432e-09,5.2823452e-09,1.5133992e-09,1.3176759e-08,6.7666406e-09,6.471964e-08,8.104689e-08,1.45082595e-08,1.7862476e-08,6.679329e-09,9.720679e-09,1.1071825e-07,9.202631e-08,1.7462298e-10,2.1937012e-08,3.5375706e-08,1.4486432e-08,1.0790245e-08,1.3395038e-08,2.681918e-08,3.7696736e-08,8.503412e-08,7.479684e-09,7.887138e-09
L106,4.48199e-08,1.3889803e-08,7.752533e-08,5.3682015e-08,1.1161319e-08,1.132139e-08,1.8480932e-09,2.7306669e-08,4.2178726e-08,4.0432496e-08,2.240995e-09,5.7916623e-08,9.324867e-08,2.3719622e-08,5.2437827e-08,1.4966645e-08,2.8776412e-08,4.1822204e-08,2.267916e-08,4.314643e-08,6.3795596e-08,1.0950316e-07,3.49537e-08,1.0142685e-08,2.230081e-08,4.6195055e-08,5.705806e-08,3.621244e-08,2.1676533e-07,2.5710324e-07,3.6030542e-08,4.4230546e-08,1.6189006e-08,2.4512701e-08,3.2994285e-07,2.8325303e-07,9.749783e-10,5.443144e-08,8.7216904e-08,3.5164703e-08,2.663728e-08,3.3411197e-08,6.635673e-08,1.4912075e-07,2.6592897e-07,1.8546416e-08,1.6909325e-08
L1343,1.8189894e-11,3.637979e-12,3.274181e-11,2.1827873e-11,3.637979e-12,7.275958e-12,0.0,1.0913936e-11,1.8189894e-11,1.8189894e-11,0.0,2.5465852e-11,4.3655746e-11,1.0913936e-11,2.910383e-11,7.275958e-12,1.0913936e-11,1.8189894e-11,7.275958e-12,1.4551915e-11,2.5465852e-11,4.7293724e-11,1.4551915e-11,3.637979e-12,1.0913936e-11,2.910383e-11,2.910383e-11,1.8189894e-11,6.91216e-11,8.367351e-11,1.4551915e-11,1.4551915e-11,7.275958e-12,7.275958e-12,1.1641532e-10,9.822543e-11,3.637979e-12,2.910383e-11,4.0017767e-11,1.4551915e-11,1.4551915e-11,1.8189894e-11,3.274181e-11,3.6379788e-11,9.094947e-11,7.275958e-12,1.0913936e-11
L1344,2.1827873e-11,7.275958e-12,3.274181e-11,2.5465852e-11,3.637979e-12,7.275958e-12,0.0,1.0913936e-11,1.8189894e-11,1.8189894e-11,0.0,2.910383e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,7.275958e-12,1.4551915e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,2.1827873e-11,4.3655746e-11,1.0913936e-11,3.637979e-12,1.0913936e-11,2.1827873e-11,3.274181e-11,1.8189894e-11,6.548362e-11,8.367351e-11,1.4551915e-11,1.4551915e-11,3.637979e-12,1.0913936e-11,1.200533e-10,9.822543e-11,3.637979e-12,2.910383e-11,4.3655746e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,3.6379788e-11,3.6379788e-11,9.458745e-11,1.0913936e-11,7.275958e-12
L1355,3.938476e-08,1.3060344e-08,7.300696e-08,5.0546078e-08,1.0521035e-08,1.0630174e-08,1.7680577e-09,2.5727786e-08,3.9719453e-08,3.8075086e-08,2.1536835e-09,5.4511474e-08,8.778443e-08,2.2329914e-08,4.9381924e-08,1.4100806e-08,2.7102942e-08,3.9392035e-08,2.1369488e-08,4.0628947e-08,6.006303e-08,1.0311487e-07,3.288733e-08,1.2165401e-08,2.3712346e-08,4.7773938e-08,6.161281e-08,4.042522e-08,1.4370016e-07,1.8133142e-07,3.3956894e-08,4.1676685e-08,1.5243131e-08,2.3086614e-08,2.4982728e-07,2.0582956e-07,9.240466e-10,5.128095e-08,8.218922e-08,3.313471e-08,2.5094778e-08,3.149762e-08,6.252958e-08,7.961353e-08,1.8967694e-07,1.7462298e-08,1.580338e-08
L171,2.0622858e-05,9.19681e-09,1.6996637e-08,1.0360964e-08,2.3283064e-10,3.958121e-09,3.0267984e-09,1.1292286e-08,1.268927e-08,4.1909516e-09,2.7939677e-09,1.3504177e-08,2.0721927e-08,4.656613e-09,8.1490725e-09,4.307367e-09,9.662472e-09,7.916242e-09,2.561137e-09,1.3969839e-08,1.8277206e-08,2.339948e-08,8.1490725e-09,6.1432365e-07,6.11064e-07,4.9883965e-07,1.8270221e-06,1.4726538e-06,5.2829273e-07,4.323665e-07,2.2118911e-09,2.7939677e-09,1.8626451e-09,9.080395e-09,4.278263e-07,4.3702312e-07,3.1432137e-09,7.916242e-09,6.170012e-09,5.355105e-09,5.122274e-09,4.4237822e-09,6.2864274e-09,4.4878107e-07,4.3876935e-07,3.1432137e-09,3.5157427e-08
L18,1.7200364e-08,9.19681e-09,5.227048e-08,3.639434e-08,7.552444e-09,7.727067e-09,7.566996e-10,1.7753337e-08,2.825982e-08,2.7706847e-08,1.1641532e-09,3.9319275e-08,6.330083e-08,1.6152626e-08,3.5768608e-08,9.997166e-09,1.9324943e-08,2.8332579e-08,1.5264959e-08,2.8871e-08,4.3117325e-08,7.430208e-08,2.3996108e-08,0.00013622378,2.4709349e-05,5.5661076e-10,2.0918378e-09,2.3283064e-10,2.589927e-05,2.3926987e-08,4.314643e-09,5.329639e-09,1.9790605e-09,2.9504008e-09,3.2730895e-08,2.7099304e-08,1.1641532e-10,6.5920176e-09,1.0521035e-08,4.278263e-09,3.2123353e-09,4.0054147e-09,8.021743e-09,1.0910298e-08,2.5032932e-08,2.2591848e-09,2.3064786e-09
