Link,Length,Coef,aux,Link_id,Length_,Leak_id
L1264,59.82,0.00061,0,L1264,59.82,Leak_321
L1264,79.97,0.00063,1,L1264_1,20.15,Leak_322
L1264,91.51,0.00068,2,L1264_2,11.54,Leak_323
L1264,123.06,0.00062,3,L1264_3,31.55,Leak_324
L1265,30.85,0.00096,0,L1265,30.85,Leak_325
L1267,5.02,0.00025,0,L1267,5.02,Leak_326
L1268,8.89,0.000051,0,L1268,8.89,Leak_327
L1268,93.35,0.00005,1,L1268_1,84.46,Leak_328
L1268,103.2,0.000057,2,L1268_2,9.85,Leak_329
L1271,7.6,0.00052,0,L1271,7.6,Leak_330
L1272,28.63,0.00081,0,L1272,28.63,Leak_331
L1273,3.66,0.00014,0,L1273,3.66,Leak_332
L1279,22.93,0.00194,0,L1279,22.93,Leak_333
L128,59.92,0.00146,0,L128,59.92,Leak_334
L1280,106.35,0.00124,0,L1280,106.35,Leak_335
L1280,114.01,0.00124,1,L1280_1,7.66,Leak_336
L1280,115.58,0.00125,2,L1280_2,1.57,Leak_337
L1280,181.96,0.00524,3,L1280_3,66.38,Leak_338
L1281,64.26,0.00123,0,L1281,64.26,Leak_339
L1282,3.15,0.00171,0,L1282,3.15,Leak_340
L1282,378.68,0.0017,1,L1282_1,375.53,Leak_341
L1282,416.11,0.00188,2,L1282_2,37.43,Leak_342
L1282,462.94,0.00202,3,L1282_3,46.83,Leak_343
L1282,503.89,0.00197,4,L1282_4,40.95,Leak_344
L1282,526.26,0.00194,5,L1282_5,22.37,Leak_345
L1282,559.96,0.00204,6,L1282_6,33.7,Leak_346
L1282,593.02,0.00172,7,L1282_7,33.06,Leak_347
L1283,22.53,0.00067,0,L1283,22.53,Leak_348
L1283,42.87,0.00065,1,L1283_1,20.34,Leak_349
L1284,4.63,0.00081,0,L1284,4.63,Leak_350
L1284,10.65,0.00083,1,L1284_1,6.02,Leak_351
L1284,126.93,0.00075,2,L1284_2,116.28,Leak_352
L1288,7.07,0.00011,0,L1288,7.07,Leak_353
L1288,12.32,0.00013,1,L1288_1,5.25,Leak_354
L129,60.83,0.00058,0,L129,60.83,Leak_355
L1290,3.92,0.000003,0,L1290,3.92,Leak_356
L1291,41.1,0.00152,0,L1291,41.1,Leak_357
L1292,1.33,0.00017,0,L1292,1.33,Leak_358
L1292,6.96,0.01374,1,L1292_1,5.63,Leak_359
L1294,16.78,0.00133,0,L1294,16.78,Leak_360
L1294,121,0.00141,1,L1294_1,104.22,Leak_361
L1295,1.43,0.000052,0,L1295,1.43,Leak_362
L1296,59.23,0.00064,0,L1296,59.23,Leak_363
L1296,88.16,0.00057,1,L1296_1,28.93,Leak_364
L1296,133.58,0.00057,2,L1296_2,45.42,Leak_365
L1297,76.84,0.00139,0,L1297,76.84,Leak_366
L1298,7.49,0.00024,0,L1298,7.49,Leak_367
L1298,18,0.00028,1,L1298_1,10.51,Leak_368
L13,9.29,0.00169,0,L13,9.29,Leak_369
L13,27.22,0.00163,1,L13_1,17.93,Leak_370
L130,15.52,0.03332,0,L130,15.52,Leak_371
L1300,35.56,0.00091,0,L1300,35.56,Leak_372
L1301,1.18,0.01642,0,L1301,1.18,Leak_373
L1302,5.56,0.00012,0,L1302,5.56,Leak_374
L1303,3.4,0.0014,0,L1303,3.4,Leak_375
L1303,40.12,0.00122,1,L1303_1,36.72,Leak_376
L1304,87.81,0.00155,0,L1304,87.81,Leak_377
L1305,28.83,0.00053,0,L1305,28.83,Leak_378
L1305,67.58,0.00056,1,L1305_1,38.75,Leak_379
L1305,100.55,0.00047,2,L1305_2,32.97,Leak_380
L1308,0.53,0.00044,0,L1308,0.53,Leak_381
L131,10.28,0.00193,0,L131,10.28,Leak_382
L1311,82.25,0.00026,0,L1311,82.25,Leak_383
L1311,186.47,0.00025,1,L1311_1,104.22,Leak_384
L1312,63.05,0.00256,0,L1312,63.05,Leak_385
L1312,89.87,0.00245,1,L1312_1,26.82,Leak_386
L1312,153.83,0.00261,2,L1312_2,63.96,Leak_387
L1313,112.61,0.0028,0,L1313,112.61,Leak_388
L1314,55.44,0.00167,0,L1314,55.44,Leak_389
L1315,25.14,0.00044,0,L1315,25.14,Leak_390
L1315,25.43,0.00046,1,L1315_1,0.29,Leak_391
L1315,93.23,0.00045,2,L1315_2,67.8,Leak_392
L1316,233.37,0.00262,0,L1316,233.37,Leak_393
L1316,351.29,0.00298,1,L1316_1,117.92,Leak_394
L1316,434.25,0.00292,2,L1316_2,82.96,Leak_395
L1316,454.73,0.00274,3,L1316_3,20.48,Leak_396
L1316,691.53,0.00271,4,L1316_4,236.8,Leak_397
L1316,708.34,0.00312,5,L1316_5,16.81,Leak_398
L1318,1.19,0.000042,0,L1318,1.19,Leak_399
L1319,275.85,0.04022,0,L1319,275.85,Leak_400
L132,1.96,0.00016,0,L132,1.96,Leak_401
L1320,4.84,0.00034,0,L1320,4.84,Leak_402
L1324,64.43,0.000005,0,L1324,64.43,Leak_403
L1328,29.83,0.00242,0,L1328,29.83,Leak_404
L1329,17.19,0.00191,0,L1329,17.19,Leak_405
L133,5.45,0.0004,0,L133,5.45,Leak_406
L1331,7.74,0.00262,0,L1331,7.74,Leak_407
L1331,89.37,0.0024,1,L1331_1,81.63,Leak_408
L1332,65.63,0.00021,0,L1332,65.63,Leak_409
L1332,76.78,0.0002,1,L1332_1,11.15,Leak_410
L1332,127.41,0.00024,2,L1332_2,50.63,Leak_411
L1332,151.16,0.00024,3,L1332_3,23.75,Leak_412
L1332,262.47,0.00021,4,L1332_4,111.31,Leak_413
L1333,6.16,0.00105,0,L1333,6.16,Leak_414
L1333,83.36,0.00119,1,L1333_1,77.2,Leak_415
L1333,119.78,0.00108,2,L1333_2,36.42,Leak_416
L1333,121.86,0.0012,3,L1333_3,2.08,Leak_417
L1335,24.22,0.00036,0,L1335,24.22,Leak_418
L1335,25.81,0.0004,1,L1335_1,1.59,Leak_419
L1335,66.36,0.00037,2,L1335_2,40.55,Leak_420
L1335,81.95,0.00039,3,L1335_3,15.59,Leak_421
L1336,27.9,0.00063,0,L1336,27.9,Leak_422
L1337,50.21,0.00146,0,L1337,50.21,Leak_423
L1338,5.33,0.00046,0,L1338,5.33,Leak_424
L1339,2.79,0.00016,0,L1339,2.79,Leak_425
L134,16.58,0.00066,0,L134,16.58,Leak_426
L134,91.29,0.00072,1,L134_1,74.71,Leak_427
L1340,12.93,0.00107,0,L1340,12.93,Leak_428
L1340,122.91,0.00117,1,L1340_1,109.98,Leak_429
L1343,89.4,0.00116,0,L1343,89.4,Leak_430
L1343,95.32,0.0012,1,L1343_1,5.92,Leak_431
L1344,42.58,0.00119,0,L1344,42.58,Leak_432
L1345,7.5,0.00013,0,L1345,7.5,Leak_433
L1346,9.07,0.000075,0,L1346,9.07,Leak_434
L1347,4.05,0.03975,0,L1347,4.05,Leak_435
L1347,4.77,0.00018,1,L1347_1,0.72,Leak_436
L1347,10.33,0.00021,2,L1347_2,5.56,Leak_437
L1348,55.79,0.00114,0,L1348,55.79,Leak_438
L1349,3.77,0.00225,0,L1349,3.77,Leak_439
L135,41.58,0.00027,0,L135,41.58,Leak_440
L1352,7.98,0.00544,0,L1352,7.98,Leak_441
L1353,20.44,0.00051,0,L1353,20.44,Leak_442
L1353,35.91,0.00051,1,L1353_1,15.47,Leak_443
L1355,42.39,0.00161,0,L1355,42.39,Leak_444
L1356,1.34,0.000012,0,L1356,1.34,Leak_445
L1357,1.58,0.000036,0,L1357,1.58,Leak_446
L1358,5,0.00024,0,L1358,5,Leak_447
L1360,27.1,0.00097,0,L1360,27.1,Leak_448
L1360,114.26,0.00093,1,L1360_1,87.16,Leak_449
L1362,6.56,0.00022,0,L1362,6.56,Leak_450
L1363,2.73,0.00836,0,L1363,2.73,Leak_451
L1363,5.44,0.00014,1,L1363_1,2.71,Leak_452
L1364,4.2,0.000006,0,L1364,4.2,Leak_453
L1367,27.34,0.0018,0,L1367,27.34,Leak_454
L1367,190.72,0.00593,1,L1367_1,163.38,Leak_455
L1369,15.97,0.00401,0,L1369,15.97,Leak_456
L137,61.81,0.00045,0,L137,61.81,Leak_457
L137,68.22,0.00052,1,L137_1,6.41,Leak_458
L1370,32.63,0.00079,0,L1370,32.63,Leak_459
L1370,43.46,0.00083,1,L1370_1,10.83,Leak_460
L1371,79.43,0.00197,0,L1371,79.43,Leak_461
L1371,108.31,0.00224,1,L1371_1,28.88,Leak_462
L1373,2.49,0.00034,0,L1373,2.49,Leak_463
L1376,0.62,0.00018,0,L1376,0.62,Leak_464
L1376,33.38,0.0002,1,L1376_1,32.76,Leak_465
L1377,15.39,0.00219,0,L1377,15.39,Leak_466
L1378,76.6,0.00147,0,L1378,76.6,Leak_467
L1379,50.68,0.00114,0,L1379,50.68,Leak_468
L1379,148.77,0.00111,1,L1379_1,98.09,Leak_469
L1380,96.53,0.00035,0,L1380,96.53,Leak_470
L1380,131.8,0.00035,1,L1380_1,35.27,Leak_471
