,mean_head_loss,length,diameter,current_cost,evaluate_flag
L1334,0.008668433,160.74,0.125,0.0,0
L363,0.008664665,61.05,0.02,0.0,0
L794,0.008646507,95.48,0.032,0.0,0
L2890,0.00853764,161.71,0.075,0.0,0
L1374,0.008523486,638.33,0.35000000000000003,0.0,0
L372,0.008504827,2.37,0.02,0.0,0
L2623,0.008394281,4.76,0.04,0.0,0
L1063,0.008306357,89.97,0.075,0.0,0
L1211,0.008259279,444.95,0.075,0.0,0
L760,0.008204644,16.87,0.02,0.0,0
L1209,0.008190619,163.55,0.2,0.0,0
L1752,0.008189268,9.16,0.075,0.0,0
L2449,0.008159911,45.28,0.11,0.0,1
L2455,0.008144684,2.02,0.35000000000000003,0.0,1
L644,0.008138053,98.71,0.025,0.0,0
L1512,0.0081142895,50.68,0.075,0.0,0
L1481,0.008098197,70.67,0.125,0.0,0
L2515,0.008094861,182.61,0.35000000000000003,0.0,0
L789,0.00806313,53.91,0.02,0.0,0
L2851,0.008053226,3.52,0.11,0.0,0
L231,0.008025438,1.14,0.032,0.0,0
L6,0.008009654,158.89,0.1,0.0,0
L1543,0.008002331,158.89,0.09,0.0,0
L1443,0.007969898,25.65,0.35000000000000003,0.0,0
L2201,0.0079339435,64.39,0.04,0.0,0
L1594,0.007904386,6.58,0.125,0.0,0
L10,0.0078776395,127.27,0.02,0.0,0
L811,0.0078679845,67.1,0.08,0.0,0
L616,0.007858448,34.72,0.063,0.0,0
L473,0.007854526,28.91,0.06,0.0,0
L1441,0.007845527,83.52,0.35000000000000003,0.0,0
L2728,0.007815938,36.41,0.063,0.0,0
L757,0.0078027705,73.91,0.032,0.0,0
L2459,0.007765196,320.14,0.35000000000000003,0.0,0
L2291,0.007717261,10.5,0.075,0.0,0
L1442,0.007707406,85.04,0.35000000000000003,0.0,0
L1475,0.007705843,46.68,0.14,0.0,0
L439,0.0076888776,46.37,0.032,0.0,0
L361,0.007687868,115.89,0.02,0.0,0
L1454,0.007681362,132.81,0.35000000000000003,0.0,0
L1448,0.007627014,158.6,0.063,0.0,0
L1684,0.007616903,13.5,0.025,0.0,0
L1438,0.007614698,21.56,0.35000000000000003,0.0,0
L1654,0.00760809,16.01,0.11,0.0,0
L1449,0.0076048714,42.11,0.35000000000000003,0.0,0
L1363,0.00758884,2.73,0.032,138.02949999999998,0
L1198,0.007578661,61.62,0.11,0.0,0
L983,0.007568422,63.1,0.02,0.0,0
L1461,0.0075557446,10.91,0.35000000000000003,0.0,0
L21,0.007548277,78.83,0.1,0.0,0
L2468,0.0074745934,28.36,0.063,0.0,0
L1447,0.0074711926,22.44,0.35000000000000003,0.0,0
L1453,0.007434609,30.43,0.35000000000000003,0.0,0
L1036,0.0074273474,9.82,0.06,0.0,0
L1437,0.007421905,12.39,0.35000000000000003,0.0,0
L391,0.007384468,45.53,0.06,0.0,0
L813,0.007334384,9.11,0.063,253.453,0
L890,0.0073289643,17.42,0.06,0.0,0
L1199,0.0073161153,29.92,0.2,0.0,0
L286,0.007314037,4.69,0.063,206.75275000000002,0
L1474,0.007279364,91.09,0.075,0.0,0
L2095,0.00727079,95.33,0.35000000000000003,0.0,0
L1085,0.007206565,118.51,0.02,0.0,0
L659,0.007179344,11.0,0.063,509.9755,0
L1522,0.007136728,153.48,0.125,0.0,0
L1439,0.007095779,208.2,0.35000000000000003,0.0,0
L2517,0.00708582,95.45,0.35000000000000003,0.0,0
L183,0.007074966,15.7,0.02,0.0,0
L43,0.0070421626,29.09,0.06,0.0,0
L1500,0.0070412867,7.99,0.063,0.0,0
L3115,0.007013147,43.94,0.06,0.0,0
L1230,0.007003459,19.79,0.075,0.0,0
L1471,0.0069762617,4.9,0.14,0.0,0
L1452,0.0069430918,134.9,0.35000000000000003,0.0,0
L2447,0.0068970583,11.39,0.125,0.0,1
L2085,0.0068585603,6.67,0.35000000000000003,0.0,0
L343,0.0068495236,40.28,0.02,0.0,0
L1957,0.0067401356,100.72,0.11,0.0,0
L2847,0.006739749,23.32,0.125,1034.242,0
L2314,0.0067391573,27.28,0.09,0.0,0
L641,0.0067139706,30.56,0.06,0.0,0
L1528,0.0066882614,1.91,0.11,0.0,0
L2500,0.00667442,25.83,0.35000000000000003,0.0,0
L3164,0.0065832273,104.79,0.06,0.0,0
L1525,0.0065752068,33.17,0.125,0.0,0
L664,0.006569865,7.72,0.02,173.2785,0
L1200,0.0065602264,4.71,0.11,383.81875,0
L1079,0.0065377722,47.79,0.02,0.0,0
L2619,0.0064964034,98.47,0.14,0.0,0
L2518,0.006465584,444.88,0.35000000000000003,0.0,0
L1440,0.0064194486,198.9,0.35000000000000003,0.0,0
L2798,0.006331021,35.35,0.11,0.0,0
L1384,0.0063268207,93.11,0.063,0.0,0
L1224,0.0063016987,78.76,0.075,0.0,0
L485,0.0062898835,19.98,0.075,0.0,0
L2848,0.0062752636,2.03,0.15,243.15200000000004,0
L709,0.00626763,112.84,0.06,0.0,0
L2617,0.0062442166,52.74,0.11,0.0,0
L1228,0.006226463,116.44,0.09,0.0,0
L649,0.0062264325,188.75,0.06,0.0,0
L440,0.0062226965,43.16,0.032,0.0,0
L1333,0.0061447946,37.32,0.063,0.0,0
L425,0.006134972,65.45,0.02,0.0,0
L2035,0.0060739433,61.81,0.032,0.0,0
L2022,0.006050912,17.55,0.06,0.0,0
L1863,0.0060453443,77.7,0.032,0.0,0
L1784,0.0060408576,10.55,0.06,0.0,0
L2293,0.0060114064,9.3,0.11,0.0,0
L1229,0.006005229,90.49,0.075,0.0,0
L1225,0.0059910067,58.27,0.075,0.0,0
L2950,0.0059736157,19.53,0.063,0.0,0
L1644,0.0059666405,136.02,0.075,0.0,0
L895,0.0059095197,4.44,0.063,0.0,0
L1368,0.005863279,47.01,0.11,0.0,1
L1527,0.0058607114,104.42,0.11,0.0,0
L2845,0.0058539296,65.43,0.11,0.0,0
L2856,0.0058520073,17.53,0.11,0.0,0
L2891,0.0058501456,15.78,0.075,0.0,0
L347,0.005796863,5.31,0.06,188.06207999999998,0
L2015,0.0057736593,42.27,0.032,0.0,0
L2363,0.005772367,33.12,0.063,0.0,0
L3077,0.0057254285,49.25,0.063,0.0,0
L1033,0.0057206163,70.07,0.02,0.0,0
L1196,0.00571597,87.45,0.2,0.0,0
L305,0.0057090027,5.42,0.063,0.0,0
L2129,0.005708214,16.75,0.075,0.0,0
L257,0.005707629,55.57,0.063,0.0,0
L1139,0.005706515,4.7,0.025,0.0,0
L1477,0.00564106,54.45,0.15,0.0,0
L13,0.00563687,74.84,0.032,0.0,0
L1688,0.0055739917,72.6,0.075,0.0,0
L1783,0.005573101,134.56,0.06,0.0,0
L982,0.0055628633,53.9,0.02,0.0,0
L333,0.005562402,73.45,0.032,0.0,0
L56,0.0055540055,55.48,0.02,0.0,0
L3171,0.0055462457,171.22,0.315,0.0,1
L419,0.005504834,26.21,0.06,0.0,0
L1759,0.005491249,1.41,0.063,0.0,0
L408,0.0054732347,36.7,0.02,0.0,0
L2087,0.0054390067,93.67,0.075,0.0,0
L1770,0.0054148016,0.92,0.063,0.0,0
L828,0.005400841,12.55,0.063,0.0,0
L165,0.005393273,27.85,0.05,0.0,0
L3036,0.005379502,107.61,0.063,0.0,0
L2189,0.0053567463,112.86,0.063,0.0,0
L3172,0.0053538447,17.16,0.315,0.0,1
L1708,0.0053174417,214.35,0.075,0.0,0
L812,0.0052930107,24.46,0.032,0.0,0
L1150,0.0052709063,71.85,0.063,0.0,0
L2888,0.005240289,62.46,0.075,0.0,0
L814,0.005237185,96.93,0.06,0.0,0
L1226,0.0052324766,63.98,0.09,0.0,0
L19,0.005223745,30.83,0.032,0.0,0
L1767,0.0052120984,88.41,0.063,0.0,0
L1643,0.0052102725,78.84,0.063,0.0,0
L1523,0.005186873,33.78,0.075,0.0,0
L1465,0.005157602,14.68,0.2,0.0,0
L1051,0.0051197954,2.95,0.11,0.0,0
L1466,0.005093472,35.99,0.2,0.0,0
L1232,0.0050874217,69.87,0.075,0.0,0
L1460,0.005079688,295.67,0.35000000000000003,0.0,0
L1593,0.0050784326,93.17,0.125,0.0,0
L2927,0.0050741294,20.33,0.11,0.0,0
L2462,0.0049953423,3.74,0.11,0.0,1
L481,0.0049862196,5.59,0.063,0.0,0
L1353,0.0049857637,20.44,0.032,0.0,0
L1761,0.0049666543,145.89,0.063,0.0,0
L2837,0.0049657547,47.37,0.063,0.0,0
L1865,0.0049592387,182.69,0.032,0.0,0
L1446,0.00494212,155.76,0.075,0.0,0
L2745,0.004938314,115.03,0.063,0.0,0
L2088,0.004898914,29.86,0.063,0.0,0
L2421,0.0048821177,12.79,0.16,0.0,0
L2881,0.0048775184,111.16,0.16,0.0,0
L1195,0.0048745433,0.53,0.2,0.0,0
L893,0.004860719,59.45,0.06,0.0,0
L2842,0.004853558,47.39,0.11,0.0,0
L187,0.004797388,75.28,0.1,0.0,0
L1518,0.0047942703,86.55,0.063,0.0,0
L2017,0.0047865845,18.25,0.02,0.0,0
L1840,0.0047832807,1.9,0.063,124.0955,0
L1024,0.0047570625,72.34,0.08,0.0,0
L2836,0.004755276,0.38,0.11,150.34375,0
L2292,0.0047434173,0.82,0.075,131.409,0
L607,0.004710202,33.79,0.063,0.0,0
L2315,0.0047038873,7.44,0.09,237.15000000000003,0
L393,0.0047007,35.06,0.032,0.0,0
L1574,0.0046995645,35.39,0.11,0.0,0
L1955,0.0046847463,173.93,0.075,0.0,0
L2852,0.0046664285,46.86,0.063,0.0,0
L770,0.0046581062,99.77,0.08,0.0,0
L1547,0.0046513667,43.49,0.075,0.0,0
L2799,0.0045847283,12.87,0.11,0.0,0
L2138,0.0045832926,142.62,0.075,0.0,0
L1197,0.0045670676,1.02,0.2,0.0,0
L1757,0.0045375824,119.0,0.125,0.0,0
L274,0.004510624,88.59,0.02,0.0,0
L1078,0.004496845,7.98,0.075,0.0,0
L2304,0.0044865026,2.79,0.11,0.0,0
L2452,0.0044463812,12.07,0.4,0.0,1
L2453,0.0044326102,6.33,0.4,0.0,1
L2935,0.004424916,135.55,0.11,0.0,0
L2901,0.00442087,10.22,0.11,0.0,0
L186,0.004416731,12.86,0.1,0.0,0
L2807,0.0043993182,30.15,0.063,661.0387499999999,0
L1380,0.0043946947,96.53,0.11,0.0,1
L827,0.0043671685,35.39,0.06,0.0,0
L802,0.0043653916,70.29,0.06,0.0,0
L1391,0.0043523866,81.35,0.11,0.0,0
L315,0.00434913,6.04,0.02,210.09799999999998,0
L1769,0.0043482576,89.42,0.063,0.0,0
L723,0.004346617,95.55,0.02,0.0,0
L219,0.0043214145,50.42,0.04,0.0,0
L3236,0.004318468,4.31,0.075,0.0,0
L2007,0.004305511,2.2,0.032,0.0,0
L213,0.00429708,148.93,0.02,0.0,0
L3179,0.0042900452,13.66,0.025,0.0,0
L2864,0.004286219,131.2,0.063,0.0,0
L1631,0.0042752796,67.08,0.063,0.0,0
L457,0.00424849,9.38,0.075,0.0,0
L341,0.004219654,131.07,0.06,0.0,0
L1595,0.004211702,246.5,0.125,0.0,0
L663,0.0041685305,1.83,0.02,0.0,0
L275,0.004167882,107.65,0.063,0.0,0
L1773,0.0041677244,122.66,0.4,0.0,1
L769,0.0041442653,0.01,0.1,0.0,0
L1369,0.0041402485,181.35,0.063,0.0,0
L1076,0.0041141,13.8,0.16,0.0,0
L588,0.0040799463,12.3,0.02,0.0,0
L334,0.0040796367,1.39,0.032,0.0,0
L277,0.0040544593,0.5,0.063,85.72675000000001,0
L280,0.0040466553,30.89,0.063,1652.268,0
L258,0.0040432164,63.07,0.06,0.0,0
L2894,0.0040217577,111.28,0.11,0.0,0
L2320,0.0040137987,167.49,0.09,0.0,0
L2882,0.003989821,64.5,0.16,0.0,0
L48,0.003983079,23.16,0.075,0.0,0
L1367,0.0039419043,27.34,0.11,0.0,0
L1545,0.003938177,10.89,0.1,0.0,0
L2829,0.0039191805,2.03,0.11,0.0,0
L1771,0.0039145784,31.21,0.4,0.0,1
L2119,0.0039055836,17.05,0.075,0.0,0
L195,0.003894654,14.24,0.1,0.0,0
L2625,0.003888114,154.7,0.063,0.0,0
L1546,0.0038842629,123.92,0.075,0.0,0
L388,0.0038826615,138.02,0.2,0.0,0
L624,0.0038722828,87.42,0.04,0.0,0
L790,0.003826638,65.24,0.032,0.0,0
L2460,0.0038240552,74.33,0.11,0.0,1
L1123,0.003818954,15.72,0.075,0.0,0
L344,0.0038180854,21.97,0.02,0.0,0
L1940,0.0038165634,110.73,0.04,0.0,0
L345,0.0038010837,47.39,0.02,0.0,0
L2613,0.0037977675,14.56,0.125,0.0,0
L384,0.0037941316,72.18,0.2,0.0,0
L386,0.0037876437,28.73,0.25,0.0,0
L1436,0.0037760884,296.31,0.063,0.0,0
L348,0.003764997,0.01,0.063,0.0,0
L2435,0.0037354466,5.68,0.063,133.304,0
L2850,0.003728356,61.15,0.11,0.0,0
L2905,0.0037185638,42.87,0.063,0.0,0
L1736,0.003703397,174.03,0.15,0.0,0
L2859,0.0036622297,73.95,0.063,0.0,0
L1429,0.0036596628,37.12,0.075,0.0,0
L638,0.0036590993,70.92,0.032,0.0,0
L2727,0.0036543778,55.95,0.075,0.0,0
L3277,0.0036351532,25.14,0.063,0.0,0
L1925,0.0036034638,105.94,0.075,0.0,0
L2827,0.0035966528,53.45,0.11,0.0,0
L1686,0.003591605,14.09,0.075,0.0,0
L2033,0.0035825933,14.69,0.02,0.0,0
L2846,0.0035806124,13.05,0.11,0.0,0
L2821,0.003579479,21.79,0.11,0.0,0
L475,0.0035755674,104.34,0.06,0.0,0
L1515,0.0035663808,2.82,0.075,0.0,0
L2913,0.0035568515,58.68,0.11,0.0,0
L1373,0.0035194282,6.81,0.4,0.0,0
L225,0.0035132926,4.83,0.06,0.0,0
L2025,0.0035069808,1.69,0.032,115.6935,0
L737,0.0034967158,78.9,0.08,0.0,0
L1625,0.0034815278,7.89,0.063,0.0,0
L2130,0.0034700225,71.18,0.075,0.0,0
L3069,0.0034673966,0.04,0.1,310.94625,0
L113,0.0034395084,15.11,0.032,272.7435,0
L1377,0.0034331577,92.09,0.11,0.0,1
L1396,0.0034279944,34.75,0.075,0.0,0
L2839,0.003403491,10.14,0.11,0.0,0
L1513,0.0034033586,29.52,0.075,0.0,0
L1488,0.0034030485,94.02,0.35000000000000003,0.0,0
L1415,0.0033930547,108.22,0.11,0.0,1
L2832,0.0033881147,9.76,0.11,0.0,0
L60,0.0033761677,7.03,0.063,0.0,0
L2898,0.0033685463,26.39,0.09,0.0,0
L2013,0.0033682813,33.87,0.06,0.0,0
L1776,0.0033670021,104.57,0.063,0.0,0
L2833,0.003347288,38.27,0.063,0.0,0
L2310,0.0033469328,2.13,0.11,198.8075,0
L609,0.003336712,29.57,0.063,648.32225,0
L2080,0.0033202854,25.06,0.032,0.0,0
L1348,0.0033091726,55.79,0.06,0.0,0
L2012,0.003298537,3.53,0.06,0.0,0
L459,0.0032919957,57.04,0.075,0.0,0
L2865,0.0032581505,17.95,0.125,0.0,0
L1516,0.00325553,18.86,0.063,0.0,0
L3128,0.0032457446,92.38,0.06,0.0,0
L2294,0.0032430657,8.14,0.11,0.0,0
L18,0.0032265256,5.16,0.032,0.0,0
L988,0.0032222758,88.58,0.1,0.0,0
L617,0.003214399,11.98,0.063,442.008,0
L2902,0.0032116573,65.61,0.11,0.0,0
L1720,0.0032034565,139.67,0.15,0.0,0
L1425,0.0031952965,3.31,0.125,242.151,1
L1014,0.0031905046,66.38,0.08,0.0,0
L2853,0.0031783823,102.39,0.063,0.0,0
L2899,0.0031473495,16.4,0.125,0.0,0
L2932,0.0031462468,28.01,0.063,0.0,0
L2835,0.0031436812,56.44,0.11,0.0,0
L1389,0.003136622,30.48,0.11,0.0,0
L1838,0.0031360616,307.62,0.35000000000000003,0.0,0
L1542,0.0031262373,11.73,0.16,0.0,0
L1929,0.0031250375,100.5,0.025,0.0,0
L2487,0.0030966836,65.52,0.063,0.0,0
L3078,0.0030966408,14.61,0.063,0.0,0
L1780,0.0030957318,121.72,0.05,0.0,0
L2744,0.0030918014,200.58,0.063,0.0,0
L3113,0.0030909437,31.03,0.06,0.0,0
L736,0.0030875402,31.06,0.08,0.0,0
L894,0.0030805354,5.44,0.063,0.0,0
L771,0.0030656946,27.49,0.08,0.0,0
L792,0.0030613225,4.54,0.032,134.1905,0
L1496,0.0030567865,534.38,0.35000000000000003,0.0,0
L2737,0.0030520703,83.15,0.063,0.0,0
L236,0.0030512419,13.54,0.06,0.0,0
L2819,0.0030384138,3.93,0.11,239.48875,0
L2813,0.0030355493,34.34,0.063,0.0,0
L2147,0.00303382,78.62,0.075,0.0,0
L433,0.0030333588,63.77,0.06,0.0,0
L1073,0.0030275527,9.18,0.16,0.0,0
L1413,0.0030173552,64.21,0.11,0.0,1
L1411,0.0030137063,18.86,0.11,0.0,1
L1612,0.0030084024,250.89,0.063,0.0,0
