,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L175,5.7044963e-07,4.800677e-08,1.6648846e-07,8.363713e-08,1.7671118e-07,1.0577787e-07,3.9628598e-05,7.2759576e-11,3.637979e-12,2.1827873e-11,8.0035534e-11,1.4551915e-11,4.3655746e-11,3.637979e-12,1.5279511e-10,1.2732926e-10,2.1827873e-11,6.548362e-11,7.2759576e-11,1.7826096e-10,8.367351e-11,2.0008883e-10,4.1836756e-10,1.9645086e-10,2.1827873e-11,0.0,1.0186341e-10,1.2732926e-10,3.6379788e-11,8.367351e-11,2.5465852e-11,1.8189894e-11,5.4569682e-11,1.0186341e-10,4.3655746e-11,6.184564e-11,7.275958e-12,1.0186341e-10,1.8189894e-11,3.274181e-11,1.0913936e-11,1.6734703e-10
L183,4.984031e-10,3.6379788e-11,1.382432e-10,6.91216e-11,1.4188117e-10,8.367351e-11,6.91216e-11,8.0035534e-11,3.637979e-12,2.5465852e-11,8.367351e-11,1.0913936e-11,4.7293724e-11,7.275958e-12,1.6007107e-10,1.2732926e-10,2.5465852e-11,6.184564e-11,8.0035534e-11,1.7462298e-10,8.731149e-11,1.6007107e-10,3.4197e-10,1.5643309e-10,1.4551915e-11,0.0,9.458745e-11,1.200533e-10,4.0017767e-11,8.367351e-11,3.274181e-11,1.8189894e-11,5.0931703e-11,1.0186341e-10,4.3655746e-11,6.184564e-11,7.275958e-12,1.05501385e-10,1.4551915e-11,3.274181e-11,1.0913936e-11,1.6007107e-10
L192,7.9689926e-07,8.13161e-08,2.404122e-07,1.209919e-07,2.5609916e-07,1.5291153e-07,1.3831595e-08,1.3638055e-07,5.16593e-10,3.8882717e-08,1.4223042e-07,2.2148015e-08,8.006464e-08,1.14087015e-08,2.664965e-07,2.1466258e-07,4.356116e-08,1.1664815e-07,1.2829696e-07,3.0894444e-07,1.4794932e-07,3.774694e-07,7.7698496e-07,3.7049904e-07,3.848254e-08,7.566996e-10,1.694134e-07,2.1540473e-07,6.461778e-08,1.4947727e-07,5.079346e-08,3.6146957e-08,8.967618e-08,1.8242281e-07,8.347706e-08,1.0343501e-07,1.23473e-08,1.8406718e-07,3.218156e-08,5.3012627e-08,1.8641003e-08,2.8142676e-07
L2017,4.961439e-07,4.166577e-08,1.7146158e-07,1.0174699e-07,2.3692337e-07,4.402682e-08,8.006464e-08,1.6545891e-07,8.6154614e-08,2.2468157e-08,8.263305e-08,1.3111276e-08,4.6802597e-08,6.9412636e-09,1.5515252e-07,1.2919918e-07,2.5465852e-08,6.8317604e-08,7.46295e-08,2.0899824e-07,1.14625436e-07,2.8070644e-07,5.612783e-07,2.742163e-07,2.7284841e-08,4.8748916e-10,1.0002259e-07,1.2702367e-07,3.7965947e-08,1.0110671e-07,4.1567546e-08,6.6895154e-08,8.3382474e-08,1.2137025e-07,4.9782102e-08,6.0485036e-08,5.6024874e-09,1.208391e-07,4.038884e-08,3.1439413e-08,1.0950316e-08,2.004017e-07
L2033,2.477209e-07,2.010347e-08,8.398274e-08,5.0011295e-08,1.4360558e-07,4.2651664e-08,6.8961526e-08,1.098997e-07,7.167182e-08,1.07211235e-08,3.9497536e-08,6.199116e-09,2.2522727e-08,3.448804e-09,7.461858e-08,6.161281e-08,1.2394594e-08,3.2767275e-08,3.5863195e-08,1.0080839e-07,5.545371e-08,1.4693433e-07,2.9585863e-07,1.4585385e-07,1.4068064e-08,2.401066e-10,4.8228685e-08,6.115806e-08,1.8175342e-08,4.2487954e-08,1.4042598e-08,3.855166e-08,5.185575e-08,5.3070835e-08,2.4552719e-08,2.8783688e-08,2.9831426e-09,5.2132236e-08,1.0910298e-08,1.5032128e-08,5.4096745e-09,8.211646e-08
L2041,9.408314e-05,7.826835e-06,7.1540475e-05,3.8577244e-05,6.126519e-05,5.0674193e-05,1.0843389e-05,5.39124e-05,1.3543293e-05,1.1247583e-05,3.952626e-05,5.4351985e-06,2.0431355e-05,3.632158e-06,7.558148e-05,6.223377e-05,1.1623837e-05,3.0382536e-05,3.4149736e-05,8.7116845e-05,4.490465e-05,0.0007188739,0.0012983335,0.0006446233,1.5402213e-05,8.1025064e-08,5.9533864e-05,7.5412914e-05,2.1162443e-05,5.7540834e-05,1.2973323e-06,3.8281083e-05,3.3383258e-05,7.524341e-05,3.5329722e-05,3.457535e-05,4.440546e-06,6.986689e-05,1.952611e-05,1.6902573e-05,6.204471e-06,0.00011339411
L2042,9.4898045e-05,7.891096e-06,7.22995e-05,3.89833e-05,6.19404e-05,5.120691e-05,1.0961667e-05,5.448982e-05,1.36923045e-05,1.1368655e-05,3.9949082e-05,5.493872e-06,2.0652078e-05,3.6703423e-06,7.638708e-05,6.289873e-05,1.174584e-05,3.0705705e-05,3.4516677e-05,8.804444e-05,4.5380555e-05,0.0007260116,0.0012622913,0.00062342174,1.5466474e-05,8.288771e-08,5.9775077e-05,7.571746e-05,2.1250919e-05,5.7772733e-05,1.3150275e-06,3.8421713e-05,3.3513643e-05,7.5547956e-05,3.547035e-05,3.4719706e-05,4.4526532e-06,7.014815e-05,1.9601546e-05,1.6971491e-05,6.2314793e-06,0.00011384953
L2043,9.618234e-07,6.64586e-08,6.308037e-07,3.2700336e-07,5.3630356e-07,4.3815817e-07,1.1178781e-07,4.707108e-07,1.276203e-07,9.7672455e-08,3.3967808e-07,4.882895e-08,1.8063292e-07,2.975139e-08,6.5311906e-07,5.392867e-07,9.949872e-08,2.6588532e-07,2.9125658e-07,7.568233e-07,3.9606675e-07,6.800423e-06,3.5964084e-05,2.0273394e-05,7.840208e-08,1.0877557e-09,1.4375837e-07,1.8608262e-07,4.848698e-08,1.4491889e-07,2.2591848e-09,1.10991095e-07,7.696144e-08,2.0916559e-07,9.318683e-08,9.5980795e-08,9.848009e-09,1.7919956e-07,5.2456016e-08,3.1435775e-08,1.884473e-08,2.8968498e-07
L2084,1.9041763e-06,1.2601231e-07,6.106129e-07,3.5918492e-07,7.3489355e-07,3.11411e-07,2.145025e-07,5.7298166e-07,2.3756729e-07,7.0387614e-08,3.007517e-07,4.3604814e-08,1.4806574e-07,2.2708264e-08,6.1399624e-07,5.295733e-07,8.024654e-08,2.1849701e-07,2.7412898e-07,7.252456e-07,4.312169e-07,4.2949978e-07,8.104107e-07,3.8784492e-07,3.859168e-08,1.7389539e-09,3.4122058e-07,4.2441388e-07,1.169974e-07,3.8675353e-07,2.0807056e-07,2.2532186e-07,2.3804023e-07,5.2154064e-07,2.261877e-07,2.0715379e-07,7.2599505e-08,4.4963235e-07,1.8800347e-07,9.624637e-08,3.2872777e-08,7.5563e-07
L213,4.4019544e-10,4.3655746e-11,1.382432e-10,6.548362e-11,1.4915713e-10,8.731149e-11,0.0,8.0035534e-11,0.0,2.1827873e-11,8.0035534e-11,1.4551915e-11,4.3655746e-11,1.0913936e-11,1.5279511e-10,1.200533e-10,2.5465852e-11,6.184564e-11,8.0035534e-11,1.7462298e-10,8.367351e-11,2.3283064e-10,4.765752e-10,2.2191671e-10,2.5465852e-11,0.0,9.822543e-11,1.2369128e-10,3.6379788e-11,8.731149e-11,2.910383e-11,2.1827873e-11,5.0931703e-11,1.0186341e-10,4.7293724e-11,5.820766e-11,7.275958e-12,1.09139364e-10,1.8189894e-11,2.910383e-11,1.0913936e-11,1.6007107e-10
L214,7.9302845e-07,7.764902e-08,2.4687324e-07,1.2420787e-07,2.634406e-07,1.5665864e-07,5.9590093e-09,1.3986573e-07,5.0931703e-10,3.985042e-08,1.458393e-07,2.267916e-08,8.2101906e-08,1.1677912e-08,2.7327042e-07,2.2011955e-07,4.471076e-08,1.1964585e-07,1.3154204e-07,3.168825e-07,1.5177648e-07,4.18142e-07,8.456991e-07,4.0657324e-07,4.258618e-08,7.858034e-10,1.7432467e-07,2.2164022e-07,6.650953e-08,1.5387195e-07,5.098991e-08,3.8169674e-08,9.239011e-08,1.876615e-07,8.579809e-08,1.06476364e-07,1.2711098e-08,1.8943683e-07,3.3149263e-08,5.454058e-08,1.9172148e-08,2.8954673e-07
L274,1.8226274e-09,3.6670826e-09,1.364242e-09,1.3460522e-10,2.4632755e-08,8.0035534e-11,2.4643668e-08,2.471279e-08,2.4734618e-08,5.820766e-11,7.2759576e-11,7.275958e-12,1.6734703e-10,1.7462298e-10,1.8189894e-10,1.1132215e-09,2.0372681e-10,2.401066e-10,6.184564e-11,2.6193447e-10,1.1641532e-10,2.5320332e-09,5.125912e-09,2.3319444e-09,2.6193447e-10,1.4551915e-11,5.4569682e-11,5.0931703e-11,3.637979e-12,3.0195224e-10,1.4915713e-10,4.7293724e-11,1.1277734e-10,5.820766e-11,8.367351e-11,1.891749e-10,4.7293724e-11,2.910383e-11,2.910383e-11,4.7293724e-11,7.2759576e-11,1.4551915e-11
L311,7.4705895e-07,6.546907e-08,2.3235043e-07,1.1696102e-07,2.801753e-07,1.4706166e-07,2.2933818e-08,1.6434933e-07,3.250898e-08,3.7340214e-08,1.3678073e-07,2.1325832e-08,7.718336e-08,1.1175871e-08,2.5677582e-07,2.0805601e-07,4.2113243e-08,1.1246448e-07,1.2353848e-07,2.9784132e-07,1.4289253e-07,3.9810402e-07,7.960916e-07,3.7862628e-07,3.923924e-08,7.421477e-10,1.6362901e-07,2.0795414e-07,6.2376785e-08,1.4478428e-07,4.829053e-08,3.5775884e-08,8.659117e-08,1.7636194e-07,8.0537575e-08,1.00139005e-07,1.19325705e-08,1.7786078e-07,3.1206582e-08,5.1200914e-08,1.8109859e-08,2.7198257e-07
L3118,4.0381565e-10,4.0017767e-11,1.6007107e-10,8.367351e-11,1.7826096e-10,1.1277734e-10,0.0,9.822543e-11,1.0913936e-11,2.1827873e-11,9.458745e-11,1.0913936e-11,5.0931703e-11,1.0913936e-11,1.7826096e-10,1.4551915e-10,3.274181e-11,7.6397555e-11,9.094947e-11,2.0372681e-10,1.05501385e-10,5.4569682e-11,4.3655746e-11,1.8189894e-11,0.0,7.275958e-12,1.05501385e-10,1.2732926e-10,4.3655746e-11,8.731149e-11,2.5465852e-11,2.5465852e-11,5.4569682e-11,1.1641532e-10,5.4569682e-11,6.184564e-11,0.0,1.1641532e-10,2.910383e-11,2.1827873e-11,2.1827873e-11,1.7826096e-10
L315,6.809547e-06,4.278263e-09,8.2698534e-08,8.277493e-08,1.6234117e-07,2.2919266e-10,1.986009e-07,1.999033e-07,1.614535e-07,2.1827873e-11,1.5934347e-09,2.9831426e-10,2.9831426e-10,4.656613e-10,4.0778104e-08,4.661706e-08,1.6370905e-10,6.0754246e-10,9.094947e-11,7.978815e-08,7.903873e-08,6.148184e-09,1.9219442e-08,5.980837e-09,1.196895e-09,1.8189894e-10,2.401066e-10,9.458745e-10,2.8376235e-10,6.6749635e-08,6.9521775e-08,1.1242082e-07,4.4594344e-08,1.0019721e-07,3.265086e-08,9.313226e-10,6.7109795e-08,6.688788e-08,7.9548045e-08,2.5465852e-11,1.1532393e-09,1.4566831e-07
L319,1.1255834e-06,7.671042e-08,3.4835102e-07,2.0545849e-07,4.3020555e-07,1.8229184e-07,1.082517e-07,3.1563104e-07,1.2983219e-07,4.5991328e-08,1.6869308e-07,2.667366e-08,9.524956e-08,1.4006218e-08,3.4005643e-07,2.8361683e-07,5.1702955e-08,1.3883255e-07,1.5243859e-07,4.2638567e-07,2.3473694e-07,2.4087058e-07,5.207912e-07,2.3815664e-07,2.3355824e-08,9.895302e-10,1.9688741e-07,2.5092595e-07,7.478957e-08,2.2118184e-07,1.1937664e-07,1.2221426e-07,1.4252873e-07,2.783927e-07,1.15025614e-07,1.193257e-07,3.3687684e-08,2.6172347e-07,9.6144504e-08,6.15255e-08,2.0707375e-08,4.3313048e-07
L352,2.081797e-06,4.5147317e-09,4.677713e-08,4.6846253e-08,1.2853343e-07,1.6370905e-10,1.2756573e-07,1.2792952e-07,1.2834425e-07,2.8376235e-10,3.1286618e-10,3.7107384e-10,3.8926373e-10,6.002665e-10,3.0195224e-10,8.134521e-09,1.8189894e-10,7.858034e-10,1.5279511e-10,4.3572072e-08,4.2542524e-08,1.12413545e-08,1.4308171e-08,6.8175723e-09,1.2732926e-10,1.7826096e-10,5.311449e-10,1.0477379e-09,3.7107384e-10,4.019239e-08,1.4706893e-07,5.349284e-08,4.674439e-08,1.4220859e-08,7.566996e-10,8.0035534e-10,1.2722012e-08,1.1834345e-08,2.579327e-08,3.5652192e-10,3.274181e-11,3.9017323e-08
L360,1.1185475e-06,9.297946e-08,5.243055e-07,3.2241223e-07,6.283444e-07,2.5505142e-07,2.8385693e-07,5.231486e-07,2.302695e-07,6.0899765e-08,2.4816836e-07,3.6154233e-08,1.268927e-07,1.9055733e-08,5.219481e-07,4.4854096e-07,6.8153895e-08,1.8376886e-07,2.2602762e-07,6.2234176e-07,3.701207e-07,1.9495201e-07,2.867455e-07,9.66902e-08,6.388291e-09,1.4770194e-09,2.7279748e-07,3.3963443e-07,9.4252755e-08,3.389432e-07,7.730341e-07,6.483606e-08,1.8981518e-07,4.517351e-07,1.9282743e-07,1.532826e-07,9.347423e-08,3.849782e-07,1.7657294e-07,7.808558e-08,2.6288035e-08,6.574046e-07
L361,1.6858758e-07,5.176844e-09,1.16371666e-07,1.1643715e-07,2.1545202e-07,2.4738256e-10,2.722045e-07,2.7298665e-07,2.1489177e-07,7.275958e-12,5.358743e-09,3.6743586e-10,3.6379788e-10,5.675247e-10,6.4337655e-08,7.185372e-08,1.6734703e-10,7.421477e-10,3.1504896e-09,1.1299926e-07,1.120934e-07,1.1728844e-08,7.225026e-08,7.745257e-09,3.3469405e-10,3.2014214e-10,7.512426e-09,8.65839e-09,4.8748916e-10,1.0747317e-07,1.5240948e-07,1.3596946e-07,5.817128e-08,1.5128535e-07,5.1735697e-08,1.2150849e-09,9.9040335e-08,9.8752935e-08,1.1550583e-07,3.637979e-12,1.5133992e-09,2.1321466e-07
L362,7.83788e-07,6.231858e-08,3.7284917e-07,2.3969187e-07,4.6848436e-07,1.7043931e-07,2.4657493e-07,4.0623854e-07,1.9978324e-07,4.238973e-08,1.6322156e-07,2.4992914e-08,8.771167e-08,1.3227691e-08,3.562236e-07,3.0631782e-07,4.7199137e-08,1.2734381e-07,1.468652e-07,4.4255285e-07,2.6728958e-07,1.3544923e-07,2.0217703e-07,6.680784e-08,4.612957e-09,1.0186341e-09,1.8028368e-07,2.2759195e-07,6.5076165e-08,2.4922338e-07,5.5500277e-07,1.857552e-08,1.4254329e-07,3.2719254e-07,1.3459794e-07,1.0335498e-07,8.0050086e-08,2.7922215e-07,1.3862882e-07,5.4169504e-08,1.7862476e-08,4.8370566e-07
L363,1.0982694e-07,4.081812e-09,6.9288944e-08,6.924893e-08,1.5223486e-07,1.4188117e-10,1.7059574e-07,1.7094135e-07,1.5207843e-07,2.5102054e-10,2.6193447e-10,3.4924597e-10,3.4924597e-10,5.311449e-10,1.952867e-08,2.6731868e-08,1.4188117e-10,7.0940587e-10,1.2732926e-10,6.633854e-08,6.5290806e-08,9.138603e-09,3.0333467e-08,6.213668e-09,2.1100277e-10,2.1100277e-10,2.6921043e-10,1.1859811e-09,3.3469405e-10,6.1743776e-08,7.837298e-08,1.1364318e-07,5.0546078e-08,7.989365e-08,1.8979335e-08,1.1750672e-09,6.043774e-08,6.016489e-08,7.492781e-08,3.637979e-12,1.4624675e-09,1.3409954e-07
L366,9.2603295e-07,8.284405e-08,3.6542042e-07,1.8921128e-07,4.5577326e-07,2.2594031e-07,8.6569344e-08,2.9980583e-07,9.731593e-08,5.5952114e-08,2.062443e-07,3.2763637e-08,1.1589145e-07,1.7353159e-08,3.905443e-07,3.1868694e-07,6.2500476e-08,1.6773265e-07,1.876615e-07,4.5783963e-07,2.2704626e-07,2.3602479e-07,3.0145748e-07,1.4189573e-07,7.712515e-09,9.749783e-10,2.2532186e-07,2.859233e-07,8.5470674e-08,2.0548032e-07,6.816117e-08,1.08222594e-07,1.647204e-07,2.5325426e-07,1.1404336e-07,1.3641693e-07,8.993084e-09,2.5080226e-07,6.279879e-08,7.0351234e-08,2.4869223e-08,4.0200393e-07
L372,4.4449553e-07,3.889727e-08,1.7400453e-07,9.3314156e-08,2.5788177e-07,1.0299118e-07,9.009818e-08,1.8726132e-07,9.498763e-08,2.5356712e-08,9.373616e-08,1.497392e-08,5.2983523e-08,8.200004e-09,1.7813e-07,1.4695979e-07,2.8681825e-08,7.660128e-08,8.5594365e-08,2.1392043e-07,1.0848453e-07,9.842188e-08,1.1771772e-07,5.406764e-08,3.0049705e-09,4.656613e-10,1.0311487e-07,1.3071985e-07,3.891182e-08,9.865471e-08,3.711466e-08,8.142524e-08,1.0128133e-07,1.2160308e-07,5.291804e-08,6.1838364e-08,5.966285e-10,1.1877273e-07,4.0687155e-08,3.2312528e-08,1.1372322e-08,2.0081643e-07
L378,3.0706724e-07,2.5298505e-08,1.039225e-07,5.2787072e-08,1.808803e-07,6.558548e-08,7.1733666e-08,1.356384e-07,7.709605e-08,1.6087142e-08,5.956099e-08,9.5242285e-09,3.3869583e-08,5.347829e-09,1.13330316e-07,9.419455e-08,1.8437277e-08,4.89963e-08,5.448237e-08,1.3165845e-07,6.470509e-08,3.5230187e-08,2.355955e-08,9.946234e-09,2.764864e-10,2.5465852e-10,6.641494e-08,8.405914e-08,2.5138434e-08,5.9153535e-08,2.2577296e-08,5.4707925e-08,7.297058e-08,7.347262e-08,3.3272954e-08,4.067988e-08,3.921741e-09,7.2672265e-08,1.3940735e-08,2.0670996e-08,7.501512e-09,1.1243537e-07
L379,3.686e-08,2.0118023e-09,6.9412636e-09,3.6634447e-09,7.060953e-08,4.3582986e-09,6.3148036e-08,6.7397195e-08,6.3708285e-08,8.9858077e-10,3.6307028e-09,6.2573235e-10,2.5211193e-09,7.2759576e-10,7.621566e-09,8.458301e-09,1.6116246e-09,3.6416168e-09,3.601599e-09,8.96398e-09,4.3910404e-09,4.2527972e-09,3.8235157e-09,1.8299033e-09,5.4569682e-11,4.7293724e-11,4.329195e-09,5.2532414e-09,1.6079866e-09,4.4019544e-09,1.7971615e-09,3.007517e-08,3.1126547e-08,4.76939e-09,1.9681465e-09,2.9540388e-09,3.3833203e-10,4.7039066e-09,9.495125e-10,1.4078978e-09,6.148184e-10,7.206836e-09
L407,3.8926373e-10,7.0940587e-10,1.7826096e-10,8.731149e-11,1.7826096e-10,1.1277734e-10,1.0913936e-11,1.1277734e-10,1.0913936e-11,2.1827873e-11,9.094947e-11,1.8189894e-11,5.4569682e-11,7.275958e-12,1.8189894e-10,1.4915713e-10,2.5465852e-11,7.6397555e-11,8.731149e-11,2.2191671e-10,1.05501385e-10,6.91216e-11,6.91216e-11,3.6379788e-11,0.0,0.0,1.1277734e-10,1.382432e-10,4.3655746e-11,9.458745e-11,3.274181e-11,3.274181e-11,5.4569682e-11,1.200533e-10,5.4569682e-11,6.548362e-11,3.637979e-12,1.2369128e-10,2.1827873e-11,4.0017767e-11,1.0913936e-11,1.891749e-10
L408,3.965397e-10,3.6379788e-11,1.7826096e-10,8.367351e-11,1.7826096e-10,1.05501385e-10,1.0913936e-11,1.09139364e-10,1.0913936e-11,2.1827873e-11,8.731149e-11,2.1827873e-11,5.820766e-11,3.637979e-12,1.8189894e-10,1.4915713e-10,2.910383e-11,8.0035534e-11,8.731149e-11,2.2191671e-10,9.822543e-11,8.0035534e-11,7.2759576e-11,2.5465852e-11,0.0,0.0,1.09139364e-10,1.4188117e-10,4.0017767e-11,9.458745e-11,2.910383e-11,2.910383e-11,5.4569682e-11,1.2369128e-10,5.4569682e-11,6.91216e-11,0.0,1.2369128e-10,2.1827873e-11,3.274181e-11,2.1827873e-11,1.9281288e-10
