,mean_head_loss,length,diameter,current_cost,evaluate_flag
L2856,0.005801935,17.53,0.11,0,1
L2846,0.005783136,13.05,0.11,0,0
L1263,0.005774531,1.07,0.09,232.407,0
L1481,0.005763018,70.67,0.125,0,0
L2836,0.005753714,0.38,0.11,150.34375,0
L297,0.005718701,77.84,0.032,0,0
L2864,0.005718183,131.2,0.063,0,0
L383,0.00569941,46.15,0.2,0,1
L1522,0.00568101,153.48,0.125,0,0
L188,0.005674278,4.39,0.1,858.55125,0
L2745,0.005666441,115.03,0.063,0,0
L1767,0.005654709,88.41,0.063,0,0
L599,0.005642892,41.48,0.2,3950.97,1
L1843,0.005639869,30.26,0.063,0,0
L1761,0.005633578,145.89,0.063,0,0
L2821,0.005595506,21.79,0.11,0,0
L2927,0.005561559,20.33,0.11,0,0
L1079,0.005558022,47.79,0.02,0,0
L1123,0.005550122,15.72,0.075,0,0
L339,0.005542778,0.23,0.075,237.429,0
L1593,0.005533223,93.17,0.125,0,0
L1196,0.005531712,87.45,0.2,0,0
L1858,0.00552619,60.64,0.075,0,0
L2850,0.005513056,61.15,0.11,0,0
L2456,0.005486799,3.83,0.4,1372.155,0
L1686,0.005470915,14.09,0.075,0,0
L485,0.005462545,19.98,0.075,0,0
L1777,0.005459076,1.3,0.04,52.5245,0
L475,0.005440039,104.34,0.06,0,0
L2822,0.005402494,0.08,0.11,110.72375,0
L1226,0.005390558,63.98,0.09,0,0
L249,0.005390036,7.84,0.06,0,0
L2625,0.00537433,154.7,0.063,0,0
L1090,0.005374236,20.24,0.075,0,0
L2423,0.005360385,11.78,0.16,8645.8425,0
L664,0.005297586,7.72,0.02,173.2785,0
L2882,0.005284434,64.5,0.16,10974.675,0
L1319,0.005246182,275.85,0.063,0,0
L994,0.00520867,137.24,0.06,0,0
L2374,0.005196489,8.79,0.16,2168.166,0
L590,0.005194398,7.64,0.11,0,0
L183,0.005193887,15.7,0.02,0,0
L3251,0.005165341,0.97,0.3,621.3,1
L317,0.005146208,1.31,0.15,330.735,0
L584,0.0051373,75.66,0.15,0,0
L2468,0.005119356,28.36,0.063,0,0
L2853,0.005107933,102.39,0.063,0,0
L116,0.005106897,4.78,0.1,0,0
L2310,0.005094898,2.13,0.11,198.8075,0
L425,0.005079529,65.45,0.02,0,0
L1636,0.005064696,59.75,0.11,0,0
L736,0.00504157,31.06,0.08,0,0
L286,0.005033175,4.69,0.063,206.75275,0
L1380,0.005030979,96.53,0.11,0,0
L2198,0.0050172,3.62,0.06,114.208534,0
L3171,0.004987767,171.22,0.315,0,1
L2431,0.004979198,3.32,0.063,163.122,0
L1258,0.004970436,1.16,0.063,98.44325,0
L771,0.004959724,27.49,0.08,0,0
L109,0.004949668,23.34,0.1,0,0
L1528,0.004929442,1.91,0.11,139.3775,0
L2737,0.00491421,83.15,0.063,0,0
L512,0.004912715,9.74,0.032,1326.952,0
L343,0.004902136,40.28,0.02,0,0
L646,0.004891907,126.44,0.11,0,0
L854,0.004875922,53.31,0.06,0,0
L190,0.004874667,162.13,0.1,0,0
L2452,0.004863941,858.97,0.4,0,0
L440,0.004860126,43.16,0.032,0,0
L1865,0.004856225,182.69,0.032,0,0
L1757,0.004850689,119,0.125,0,0
L2453,0.004848716,20.34,0.4,8187.1915,0
L986,0.004843644,26.77,0.15,0,0
L1033,0.004834516,70.07,0.02,1222.7215,0
L3172,0.004814425,17.16,0.315,0,1
L617,0.004777619,11.98,0.06,394.930368,0
L2744,0.004774771,200.58,0.063,0,0
L2799,0.004759783,12.87,0.11,0,0
L1765,0.004756603,24.62,0.11,1209.47125,0
L1195,0.004720768,0.53,0.2,799.1475,0
L1769,0.004713888,89.42,0.063,0,0
L894,0.004688554,29.06,0.06,0,0
L1073,0.004679926,9.18,0.16,10526.76,1
L2858,0.004678492,10.2,0.063,223.635,0
L2083,0.00467338,3.99,0.15,792.467,0
L1065,0.004661634,13.57,0.063,0,0
L1332,0.004661408,101.38,0.075,0,0
L2838,0.00465169,3.72,0.063,112.6945,0
L311,0.0046504,36.27,0.02,0,0
L2294,0.004631497,8.14,0.11,0,0
L644,0.00462823,98.71,0.025,0,0
L1547,0.004627194,43.49,0.075,0,0
L788,0.004624705,3.41,0.05,76.008424,0
L1369,0.004606445,181.35,0.063,0,0
L1146,0.004597791,6.57,0.02,352.6645,0
L1595,0.004588994,246.5,0.125,0,0
L2460,0.004576131,74.33,0.11,0,0
L2934,0.004540361,13.27,0.11,469.42625,0
L2532,0.004518902,42.16,0.11,0,0
L328,0.004513358,24.5,0.15,0,0
L1500,0.004498743,7.99,0.063,0,0
L716,0.004496947,20.84,0.08,0,0
L2818,0.004489888,5.73,0.11,0,0
L408,0.004485924,36.7,0.02,0,0
L1139,0.004485465,4.7,0.025,0,0
L607,0.004479746,33.79,0.063,0,0
L2035,0.004471988,61.81,0.032,0,0
L1078,0.004469397,7.98,0.075,0,0
L2859,0.004442579,73.95,0.063,0,0
L1197,0.004405005,6.97,0.2,0,0
L3144,0.004368504,0.6,0.02,47.9875,0
L3069,0.004338744,0.04,0.1,0,0
L1527,0.00433701,104.42,0.11,0,0
L327,0.004318144,94.98,0.15,0,0
L2888,0.004316275,62.46,0.075,0,0
L802,0.004312857,82.4,0.06,0,0
L2898,0.004287252,26.39,0.09,0,0
L1523,0.004278301,33.78,0.075,0,0
L115,0.004271863,0.33,0.1,180.5045,0
L278,0.004270592,12.12,0.063,265.731,0
L1368,0.004261226,47.01,0.11,0,0
L314,0.004259549,54.14,0.15,0,0
L1574,0.004259185,35.39,0.11,0,0
L715,0.004255854,33.97,0.08,0,0
L2798,0.00424298,35.35,0.11,0,0
L1056,0.004226501,19.92,0.11,0,0
L56,0.004221194,55.48,0.02,0,0
L982,0.004204975,53.9,0.02,0,0
L2613,0.004194155,14.56,0.125,0,0
L2195,0.004175807,39.96,0.11,3295.6485,0
L1460,0.004146249,259.87,0.35,0,0
L583,0.004128867,4.66,0.15,2391.8545,0
L236,0.004122576,13.54,0.06,0,0
L1518,0.004121739,86.55,0.063,0,0
L1074,0.004120304,36.41,0.063,0,0
L2837,0.004108179,47.37,0.063,0,0
L766,0.004099675,31.72,0.06,0,0
L1367,0.004095542,27.34,0.11,0,0
L1030,0.004079573,60.35,0.075,0,0
L2224,0.004071659,65.25,0.063,0,0
L145,0.004065862,17.52,0.15,0,0
L2807,0.004048889,30.15,0.063,0,0
L821,0.004045366,2.36,0.06,134.973722,0
L13,0.00403805,74.84,0.032,1780.947,0
L1546,0.004037651,123.92,0.075,0,0
L386,0.004034373,28.73,0.25,0,1
L2844,0.004029411,2.46,0.11,161.31,0
L213,0.004024829,148.93,0.02,0,0
L2315,0.004023885,7.44,0.09,237.15,0
L1377,0.004019969,92.09,0.11,0,0
L895,0.004016477,4.44,0.063,0,0
L112,0.00400796,24.83,0.1,878.36125,0
L2366,0.004006234,2,0.063,205.6565,0
L717,0.004005306,15.84,0.08,0,0
L700,0.00398301,98.89,0.05,0,0
L1818,0.003965336,13.79,0.063,0,0
L2487,0.003964642,65.52,0.063,0,0
L326,0.00396086,0.08,0.15,815.2215,0
L2891,0.003950135,15.78,0.075,0,0
L110,0.003936836,10.3,0.1,0,0
L2913,0.003932058,58.68,0.11,0,0
L988,0.003929411,88.58,0.1,0,0
L19,0.003905865,30.83,0.032,0,0
L1773,0.003897099,122.66,0.4,0,1
L2835,0.003891333,56.44,0.11,0,0
L2834,0.003867311,55.12,0.063,0,0
L1612,0.003857315,250.89,0.063,0,0
L781,0.003853332,55.85,0.063,0,0
L1776,0.003838724,104.57,0.063,0,0
L637,0.003838593,33.11,0.06,0,0
L808,0.003835156,67.91,0.06,0,0
L812,0.003810348,24.46,0.032,0,0
L1875,0.003801909,37,0.16,0,1
L892,0.00379626,5.36,0.06,350.461522,0
L2894,0.003779721,111.28,0.11,0,0
L2933,0.003762436,63.87,0.063,0,0
L2839,0.00376153,10.14,0.11,0,0
L2545,0.003757371,23.25,0.16,3221.748,0
L1842,0.003749915,16.23,0.063,0,0
L768,0.003738271,41.64,0.08,0,0
L1803,0.003730848,5.25,0.2,4656.318,1
L304,0.003729452,43.46,0.063,0,0
L2935,0.003713842,135.55,0.11,0,0
L302,0.003709931,2.75,0.063,93.61975,0
L457,0.003709234,9.38,0.075,0,0
L2529,0.003703148,58.36,0.16,0,0
L3073,0.003683652,2.11,0.063,201.49075,0
L3247,0.00362469,2.99,0.4,4021,1
L2196,0.003622052,21.33,0.16,9361.653,1
L885,0.00361569,37.78,0.08,1600.902,0
L3246,0.00361329,0.45,0.4,4021,1
L2901,0.003602914,10.22,0.11,0,0
L1029,0.003598698,16.07,0.075,0,0
L324,0.003593729,28.43,0.15,0,0
L1771,0.00357095,31.21,0.4,0,1
L723,0.003569732,95.55,0.02,0,0
L2084,0.003540225,78.74,0.02,0,0
L330,0.003534602,113.25,0.15,0,0
L1346,0.003529896,9.07,0.032,166.822,0
L1353,0.00352847,20.44,0.032,0,0
L3148,0.003524819,16.91,0.15,0,0
L1446,0.003518334,155.76,0.075,0,0
L393,0.003495277,35.06,0.032,0,0
L1070,0.003465642,100.01,0.16,0,1
L322,0.003454647,1.71,0.15,343.705,0
L699,0.003445925,2.15,0.05,159.265074,0
L146,0.003443012,8.92,0.15,0,0
L337,0.003442482,51.2,0.075,0,0
L316,0.003439328,52.16,0.15,0,0
L274,0.003429033,88.59,0.02,0,0
L48,0.003423903,23.16,0.075,0,0
L2813,0.0034194,34.34,0.063,0,0
L3147,0.003415768,92.13,0.15,0,0
L1130,0.003400171,6.69,0.075,221.805,0
L886,0.003394833,19.06,0.08,0,0
L1136,0.003394112,149.25,0.1,0,0
L2899,0.003393551,16.4,0.125,0,0
L2129,0.003375317,16.75,0.075,467.325,0
L218,0.003371337,72.59,0.032,0,0
L663,0.003369558,1.83,0.02,173.802,0
L1217,0.003364448,89,0.075,0,0
L2320,0.003358277,167.49,0.09,0,0
L2862,0.003333344,56,0.063,0,0
L257,0.003309659,55.57,0.063,0,0
L1370,0.003308518,91.75,0.063,0,0
L3133,0.00328462,2.62,0.15,764.598,0
L1436,0.003276259,296.31,0.063,0,0
L1736,0.003274774,174.03,0.15,0,1
L3153,0.003273333,0.15,0.15,533.4,0
L107,0.003262095,2.82,0.02,0,0
L751,0.003261806,8.25,0.032,144.486,0
L869,0.003247769,28.54,0.1,0,0
L2854,0.003230579,24.75,0.11,0,0
L1610,0.003226579,321.06,0.063,0,0
L822,0.003221299,6.29,0.06,2259.68343,0
L118,0.003205562,5.73,0.02,0,0
L65,0.003196867,7.87,0.06,504.829146,0
L893,0.003192524,59.45,0.06,0,0
L1474,0.003190517,91.09,0.075,0,0
L798,0.003185127,6.06,0.06,146.9235,0
L1956,0.003172011,363.75,0.11,0,0
L1615,0.003171907,271.47,0.09,0,0
L318,0.003168432,2.7,0.15,390.397,0
L633,0.003164662,12.76,0.06,0,0
L1016,0.003155699,6.3,0.025,238.1925,0
L711,0.00314492,26.26,0.06,0,0
L2829,0.003142548,2.03,0.11,168.385,0
L694,0.003112152,3.71,0.02,0,0
L3179,0.003098352,13.66,0.025,1189.741,0
L3273,0.003090811,5.63,0.15,1208.065,0
L2905,0.003079244,42.87,0.063,0,0
L2534,0.003075799,74.65,0.11,0,0
L703,0.0030742,95.75,0.05,0,0
L1371,0.003072126,79.43,0.11,0,0
L3078,0.003064682,14.61,0.063,0,0
L2817,0.003042464,3.95,0.11,236.65875,0
L588,0.003040197,12.3,0.02,0,0
L609,0.003020198,29.57,0.063,0,0
L941,0.003008211,127.57,0.1,0,0
L807,0.00300259,4.67,0.08,170.19,0
