ID,Node1,Node2,Length,Diameter,Roughness,MinorLoss,Status
L1139,N1142,N1143,63.14,25,77.27,0,OPEN
L1684,N1667,N1673,110.2,25,116.37,0,OPEN
L1725,N1715,N1716,88.32,25,77.91,0,OPEN
L2045,N2036,N2037,71.63,25,83.52,0,OPEN
L323,N371,N372,34.04,25,93.85,0,OPEN
L36,N64,N65,9.79,25,77.4,0,OPEN
L421,N468,N469,8.92,25,118.69,0,OPEN
L452,N500,N501,13,25,94.79,0,OPEN
L453,N500,N502,6.33,25,90.28,0,OPEN
L454,N502,N503,4.95,25,91.05,0,OPEN
L455,N502,N504,14.11,25,103.39,0,OPEN
L644,N670,N671,170.46,25,89.77,0,OPEN
L725,N747,N748,26.58,25,98.4,0,OPEN
L902,N901,N902,60.11,25,101.68,0,OPEN
L933,N935,N934,11.44,25,112.48,0,OPEN
L934,N936,N934,20.72,25,115.96,0,OPEN
L973,N967,N968,12.1,25,87.04,0,OPEN
L1929,N1927,N1928,100.5,25,109.57,0,OPEN
L3179,N1610,N2833,68.18,25,114.64,0,OPEN
L1676,N1663,N1664,120.79,32,111.35,0,OPEN
L932,N932,N934,166.09,32,114.77,0,OPEN
L1015,N1000,N1009,63.63,32,109.2,0,OPEN
L1027,N1017,N1082,63.01,32,79.05,0,OPEN
L1111,N1116,N1117,124.55,32,100.84,0,OPEN
L1135,N981,N1138,34.16,32,78.75,0,OPEN
L1154,N1151,N1153,33.02,32,101.27,0,OPEN
L130,N169,N170,17.59,32,77.67,0,OPEN
L1341,N1324,N1325,73.25,32,113.89,0,OPEN
L1362,N592,N1341,8.5,32,101.16,0,OPEN
L1363,N591,N1342,7.91,32,91.69,0,OPEN
L1721,N1708,N1712,46.42,32,102.32,0,OPEN
L173,N220,N221,45.53,32,94.8,0,OPEN
L1791,N1295,N1789,127.92,32,108.84,0,OPEN
L1793,N1730,N1790,369.88,32,103.44,0,OPEN
L1830,N1823,N1824,83.67,32,106.32,0,OPEN
L1857,N1851,N1853,79.34,32,86.09,0,OPEN
L1930,N1919,N1929,112.52,32,114.08,0,OPEN
L1933,N1930,N1932,146.82,32,98.58,0,OPEN
L1935,N1074,N1934,140.24,32,115.93,0,OPEN
L1936,N1935,N1936,263.63,32,98.02,0,OPEN
L1937,N1937,N1938,159.72,32,88.15,0,OPEN
L1939,N1940,N1935,282.36,32,83.84,0,OPEN
L1959,N1672,N1959,63.5,32,95.79,0,OPEN
L1960,N1704,N1960,50.49,32,80.33,0,OPEN
L1967,N1072,N1964,116.39,32,85.5,0,OPEN
L2006,N1988,N2000,61.59,32,98.92,0,OPEN
L2007,N1323,N2001,17.03,32,84.72,0,OPEN
L2008,N2001,N2002,16.56,32,117.47,0,OPEN
L2009,N2001,N2003,10.3,32,89.61,0,OPEN
L2014,N2004,N2008,31.43,32,103.67,0,OPEN
L2034,N1325,N2027,116.99,32,91.56,0,OPEN
L218,N266,N268,72.59,32,94.05,0,OPEN
L2197,N2201,N2202,8.43,32,76.36,0,OPEN
L220,N270,N268,47.49,32,82.67,0,OPEN
L2326,N185,N2371,8.39,32,107.09,0,OPEN
L2327,N186,N2372,10.07,32,87.03,0,OPEN
L2328,N2372,N2373,39.97,32,109.83,0,OPEN
L2329,N2373,N2374,7.54,32,76.73,0,OPEN
L261,N310,N309,50.41,32,91.63,0,OPEN
L335,N382,N385,33.56,32,96.22,0,OPEN
L373,N424,N420,99.91,32,85.64,0,OPEN
L393,N444,N436,122.07,32,96.05,0,OPEN
L586,N616,N617,38.62,32,88.91,0,OPEN
L587,N613,N616,17.46,32,106.75,0,OPEN
L59,N97,N86,70.68,32,87.67,0,OPEN
L665,N688,N685,32.31,32,109.13,0,OPEN
L666,N689,N690,42.79,32,112.41,0,OPEN
L667,N691,N692,9.01,32,104.49,0,OPEN
L718,N738,N739,18.28,32,111.51,0,OPEN
L719,N740,N737,38.08,32,99.13,0,OPEN
L75,N114,N115,109.98,32,116.48,0,OPEN
L8,N15,N16,59.67,32,103.97,0,OPEN
L809,N29,N818,104.22,32,89.26,0,OPEN
L810,N29,N819,81.16,32,81.87,0,OPEN
L901,N899,N900,110.01,32,88.02,0,OPEN
L94,N132,N133,21.97,32,101.04,0,OPEN
L1000,N988,N993,35.13,32,99.32,0,OPEN
L1003,N996,N989,136.5,32,80.51,0,OPEN
L1005,N998,N906,49.69,32,101.78,0,OPEN
L1020,N1008,N1014,49.75,32,83.43,0,OPEN
L1032,N1023,N1001,91.06,32,86.83,0,OPEN
L106,N146,N147,76.75,32,102.45,0,OPEN
L108,N150,N151,97.33,32,85.58,0,OPEN
L1112,N1118,N1119,39.37,32,82.86,0,OPEN
L1116,N1121,N1122,64.13,32,86.29,0,OPEN
L1117,N1120,N1123,63.51,32,112.57,0,OPEN
L113,N155,N148,15.63,32,98.59,0,OPEN
L114,N148,N156,10.05,32,110.59,0,OPEN
L1144,N85,N483,28.68,32,106.76,0,OPEN
L1145,N1146,N483,45.72,32,99.83,0,OPEN
L122,N161,N162,8.56,32,116.06,0,OPEN
L124,N163,N164,33.18,32,104.46,0,OPEN
L129,N165,N168,158.17,32,102.01,0,OPEN
L13,N24,N25,102.06,32,82.33,0,OPEN
L134,N173,N174,93.56,32,77.08,0,OPEN
L1343,N1327,N1328,102.28,32,86.73,0,OPEN
L1344,N1329,N1328,44.31,32,76.7,0,OPEN
L1345,N347,N1330,8.22,32,110.19,0,OPEN
L1346,N1330,N1328,9.56,32,107.71,0,OPEN
L1347,N1330,N1331,14.32,32,78.72,0,OPEN
L1353,N1335,N1336,47.05,32,115.26,0,OPEN
L1354,N1336,N1337,17.78,32,98.98,0,OPEN
L1355,N1336,N1338,69.5,32,102.29,0,OPEN
L1364,N213,N1343,6.95,32,99.83,0,OPEN
L147,N192,N189,63.88,32,87.68,0,OPEN
L148,N192,N193,51.78,32,112.98,0,OPEN
L151,N196,N197,79.64,32,90.03,0,OPEN
L152,N196,N198,99.62,32,109.89,0,OPEN
L162,N209,N210,36.26,32,86.82,0,OPEN
L164,N212,N213,8.76,32,118.62,0,OPEN
L165,N214,N215,44.72,32,113.67,0,OPEN
L166,N214,N213,41.61,32,106.23,0,OPEN
L167,N215,N216,80.17,32,110,0,OPEN
L17,N31,N32,44.38,32,103.05,0,OPEN
L171,N210,N214,8.15,32,118.18,0,OPEN
L172,N208,N219,64.33,32,101.18,0,OPEN
L18,N32,N33,8.19,32,98.67,0,OPEN
L182,N229,N230,36.93,32,101.11,0,OPEN
L1863,N1858,N1859,83.39,32,114.06,0,OPEN
L1865,N1860,N1861,182.69,32,106.65,0,OPEN
L19,N34,N35,96.38,32,115.63,0,OPEN
L191,N239,N240,90.01,32,79.43,0,OPEN
L193,N241,N243,12.4,32,106,0,OPEN
L194,N239,N241,24.51,32,92.03,0,OPEN
L199,N247,N249,63.97,32,97.5,0,OPEN
L2,N3,N4,8.34,32,105.59,0,OPEN
L2002,N1984,N1996,29.36,32,78.74,0,OPEN
L2003,N1985,N1997,45.15,32,80.09,0,OPEN
L2015,N2005,N2009,53.74,32,97.99,0,OPEN
L2016,N2009,N2010,41.09,32,102.09,0,OPEN
L2025,N2016,N2018,6.63,32,105.12,0,OPEN
L2026,N2018,N2019,40.49,32,98.11,0,OPEN
L2027,N2018,N2020,60.29,32,81.56,0,OPEN
L2028,N2016,N2021,91.61,32,89.16,0,OPEN
L2031,N2022,N2024,11.4,32,115.16,0,OPEN
L2032,N2024,N2025,34.6,32,96.55,0,OPEN
L2035,N2028,N2029,203.75,32,93.13,0,OPEN
L204,N253,N254,29.58,32,78.95,0,OPEN
L2067,N349,N2056,78.42,32,116.8,0,OPEN
L2072,N2060,N2061,159.11,32,93.79,0,OPEN
L2080,N2068,N2069,32.05,32,95.98,0,OPEN
L2081,N2069,N2070,34.3,32,109.97,0,OPEN
L2082,N2069,N2071,26.51,32,91.18,0,OPEN
L211,N260,N261,35.13,32,91.65,0,OPEN
L212,N260,N262,8.39,32,104.18,0,OPEN
L215,N259,N265,143.75,32,108.99,0,OPEN
L231,N191,N282,64.31,32,119.29,0,OPEN
L234,N227,N285,58.82,32,77.07,0,OPEN
L239,N3,N289,18.74,32,89.58,0,OPEN
L245,N294,N295,87.26,32,107.58,0,OPEN
L268,N314,N316,29.25,32,78.17,0,OPEN
L270,N1,N318,92.27,32,107.69,0,OPEN
L276,N324,N325,62.1,32,84.52,0,OPEN
L288,N323,N333,57.82,32,106.65,0,OPEN
L297,N342,N341,77.84,32,108.37,0,OPEN
L298,N343,N341,80.9,32,117.85,0,OPEN
L299,N342,N344,59.8,32,116.68,0,OPEN
L3,N5,N6,43.55,32,88.72,0,OPEN
L300,N342,N343,3.36,32,103.72,0,OPEN
L301,N345,N343,69.97,32,97.76,0,OPEN
L309,N352,N354,35.62,32,85.1,0,OPEN
L3134,N383,N2820,54.47,32,109.69,0,OPEN
L3135,N383,N2821,119.36,32,115.14,0,OPEN
L32,N58,N59,53.64,32,79.23,0,OPEN
L320,N362,N368,111.96,32,86.69,0,OPEN
L333,N381,N383,150.4,32,115.15,0,OPEN
L334,N376,N384,230.68,32,107.15,0,OPEN
L349,N399,N400,45.9,32,88.47,0,OPEN
L35,N62,N63,8.41,32,84.49,0,OPEN
L350,N401,N399,64.93,32,95.66,0,OPEN
L351,N402,N400,67.87,32,101.08,0,OPEN
L37,N66,N67,31.27,32,115.75,0,OPEN
L370,N421,N422,22.18,32,113.99,0,OPEN
L371,N420,N421,57.5,32,97.16,0,OPEN
L380,N430,N433,69.33,32,84.53,0,OPEN
L381,N429,N434,25.71,32,118.81,0,OPEN
L382,N429,N426,112.06,32,76.37,0,OPEN
L392,N443,N441,57.65,32,82.04,0,OPEN
L4,N7,N8,45.96,32,118.35,0,OPEN
L409,N451,N457,63.62,32,85.32,0,OPEN
L410,N449,N458,187.75,32,81.27,0,OPEN
L411,N459,N449,139.79,32,102.7,0,OPEN
L412,N448,N460,76.84,32,102.86,0,OPEN
L417,N463,N465,5.44,32,112.72,0,OPEN
L423,N470,N471,61.3,32,80.8,0,OPEN
L424,N39,N472,67.3,32,89.58,0,OPEN
L429,N83,N477,32.63,32,112.86,0,OPEN
L432,N480,N479,73.46,32,115.27,0,OPEN
L438,N486,N487,260.22,32,114.34,0,OPEN
L439,N486,N488,219.89,32,79.49,0,OPEN
L440,N486,N489,166.63,32,79.61,0,OPEN
L465,N514,N512,59.63,32,113.32,0,OPEN
L466,N513,N515,67.83,32,105.89,0,OPEN
L467,N511,N516,9.86,32,89.97,0,OPEN
L468,N517,N512,19.63,32,86.89,0,OPEN
L476,N521,N523,74.83,32,106.02,0,OPEN
L479,N53,N524,9.19,32,82.81,0,OPEN
L480,N525,N522,123.51,32,99.37,0,OPEN
L50,N84,N85,69.76,32,76.56,0,OPEN
L512,N552,N553,29.92,32,119.14,0,OPEN
L581,N608,N611,95.16,32,113.97,0,OPEN
L582,N612,N610,39.81,32,103.62,0,OPEN
L597,N439,N629,62.27,32,91.94,0,OPEN
L601,N632,N630,116.82,32,103.79,0,OPEN
L61,N98,N99,102.04,32,77.79,0,OPEN
L614,N643,N644,50.77,32,106.47,0,OPEN
L623,N651,N648,39.1,32,103.79,0,OPEN
L63,N98,N102,36.79,32,86.7,0,OPEN
L634,N661,N659,120.95,32,92.53,0,OPEN
L638,N664,N665,164.52,32,82.69,0,OPEN
L691,N714,N63,115.54,32,91.94,0,OPEN
L692,N63,N715,64.89,32,89.69,0,OPEN
L693,N716,N62,46.06,32,109.15,0,OPEN
L708,N442,N731,30.5,32,96.1,0,OPEN
L722,N743,N741,129.54,32,89.37,0,OPEN
L751,N768,N764,8.28,32,115.52,0,OPEN
L752,N764,N770,47.58,32,87.54,0,OPEN
L754,N770,N772,24.71,32,96.77,0,OPEN
L757,N774,N775,73.91,32,89.01,0,OPEN
L758,N773,N776,51.43,32,101.8,0,OPEN
L776,N788,N790,6.5,32,104.52,0,OPEN
L777,N790,N791,48.89,32,94.6,0,OPEN
L778,N790,N792,14.64,32,91.8,0,OPEN
L790,N802,N803,127.53,32,81.5,0,OPEN
L791,N804,N805,16.38,32,118.12,0,OPEN
L792,N805,N806,7.69,32,103.54,0,OPEN
L793,N806,N33,17.88,32,109.14,0,OPEN
L794,N806,N807,97.6,32,105.79,0,OPEN
L795,N32,N808,82.13,32,104.58,0,OPEN
L796,N807,N808,7.77,32,113.16,0,OPEN
L797,N809,N808,28.63,32,115.43,0,OPEN
L812,N821,N29,209.93,32,101.19,0,OPEN
L816,N823,N453,144.17,32,114.11,0,OPEN
L817,N824,N453,81.72,32,102.67,0,OPEN
L824,N831,N828,20.39,32,112.7,0,OPEN
L834,N838,N842,14.47,32,85.1,0,OPEN
L837,N845,N833,51.01,32,91.69,0,OPEN
L838,N846,N837,138.07,32,91.2,0,OPEN
L841,N848,N850,41.52,32,115.72,0,OPEN
L842,N848,N851,58.12,32,79.32,0,OPEN
L873,N875,N876,14.55,32,106.59,0,OPEN
L889,N887,N885,32.95,32,106.42,0,OPEN
L903,N903,N878,25.38,32,104.75,0,OPEN
L904,N878,N904,87.54,32,104.87,0,OPEN
L956,N956,N957,10.28,32,102.66,0,OPEN
L979,N152,N972,82.6,32,112.72,0,OPEN
L998,N986,N991,65.14,32,97.91,0,OPEN
L1775,N1751,N1769,49.28,32,110.81,0,OPEN
L1876,N1812,N1873,242.8,32,76.07,0,OPEN
L1887,N1841,N1884,159.17,32,110.4,0,OPEN
L1987,N296,N1980,48.9,32,75.98,0,OPEN
L2203,N1002,N2204,69.49,32,96.67,0,OPEN
L928,N929,N930,199.43,40,86.51,0,OPEN
L1067,N1068,N1077,146.97,40,102.78,0,OPEN
L1142,N1141,N1145,14.77,40,118.79,0,OPEN
L1308,N1288,N1285,16.51,40,116.71,0,OPEN
L1589,N1570,N1571,133.03,40,107.15,0,OPEN
L1614,N1548,N1595,338.83,40,100.14,0,OPEN
L1750,N1028,N1742,99.82,40,85.62,0,OPEN
L1777,N1754,N1771,3.01,40,95.19,0,OPEN
L1778,N1771,N1772,101.68,40,87.57,0,OPEN
L1779,N1771,N1773,96.14,40,100.75,0,OPEN
L1782,N1778,N1779,189.76,40,107.88,0,OPEN
L1788,N1781,N1786,88.42,40,119.68,0,OPEN
L1828,N1821,N1822,95.63,40,100.9,0,OPEN
L1833,N1826,N1827,110.3,40,103.56,0,OPEN
L1905,N1903,N1901,132.69,40,102.4,0,OPEN
L1938,N1935,N1939,324.45,40,83.65,0,OPEN
L1940,N1938,N1935,292.81,40,97.54,0,OPEN
L1983,N1975,N1977,44.03,40,115.38,0,OPEN
L2004,N1986,N1998,105.03,40,87.34,0,OPEN
L2005,N1987,N1999,119.33,40,98.72,0,OPEN
L2018,N2006,N2012,75.85,40,80.91,0,OPEN
L2058,N2046,N2049,56.44,40,96.44,0,OPEN
L209,N258,N259,8.14,40,112.57,0,OPEN
L216,N259,N266,50.91,40,101.78,0,OPEN
L217,N266,N267,69.08,40,77.44,0,OPEN
L219,N268,N269,50.42,40,106.52,0,OPEN
L2201,N1157,N1938,332.02,40,110.94,0,OPEN
L227,N277,N278,38.72,40,87.91,0,OPEN
L248,N233,N297,23.93,40,101.12,0,OPEN
L263,N308,N312,101.73,40,115.33,0,OPEN
L566,N597,N593,49.05,40,90.71,0,OPEN
L62,N100,N101,8.76,40,96.99,0,OPEN
L624,N650,N652,190.08,40,78.26,0,OPEN
L640,N666,N667,251.39,40,85.43,0,OPEN
L991,N982,N984,8.44,40,118.77,0,OPEN
L997,N983,N990,8.49,40,107.77,0,OPEN
L1137,N1139,N1140,56.88,40,86.69,0,OPEN
L1290,N1276,N1277,7.34,40,106.87,0,OPEN
L1292,N1278,N1279,8.33,40,111.38,0,OPEN
L1342,N1326,N186,70.71,40,104.73,0,OPEN
L232,N283,N282,61.33,40,98.77,0,OPEN
L428,N476,N26,68.5,40,94.44,0,OPEN
L750,N763,N767,8.16,40,108.16,0,OPEN
L86,N125,N126,77.28,40,85.1,0,OPEN
L888,N886,N885,48.79,40,106.64,0,OPEN
L1647,N1636,N1638,81.98,40,90.08,0,OPEN
L2356,N1636,N1638,81.98,40,80.9,0,OPEN
L2623,N1838,N1840,88.22,40,106.51,0,OPEN
L2624,N1838,N2612,325.4,40,76.92,0,OPEN
L471,N518,N58,68.51,50,86.18,0,OPEN
L698,N718,N721,60.37,50,119.84,0,OPEN
L699,N722,N718,8.13,50,112.31,0,OPEN
L700,N723,N722,98.89,50,92.08,0,OPEN
L701,N722,N724,89.09,50,112.79,0,OPEN
L702,N725,N723,49.77,50,117.03,0,OPEN
L703,N723,N677,95.75,50,98.68,0,OPEN
L1072,N1081,N1084,8,50,110.45,0,OPEN
L1120,N1126,N1088,83.93,50,115.47,0,OPEN
L1149,N1148,N1150,100.92,50,78.17,0,OPEN
L1349,N234,N1332,83.99,50,100.85,0,OPEN
L135,N175,N176,45.49,50,87.85,0,OPEN
L1552,N1525,N1531,98.57,50,78.93,0,OPEN
L1562,N1540,N1541,73.59,50,81.87,0,OPEN
L1563,N1540,N1542,104.95,50,87.49,0,OPEN
L1755,N1519,N1746,61.86,50,91.8,0,OPEN
L1789,N1787,N1788,188.35,50,117.3,0,OPEN
L181,N228,N229,95.4,50,111.25,0,OPEN
L1852,N1846,N1848,99.75,50,81.15,0,OPEN
L1969,N1192,N1966,299,50,84.31,0,OPEN
L1976,N1971,N1297b,110.43,50,113.98,0,OPEN
L201,N251,N248,33.16,50,100.87,0,OPEN
L2070,N2032,N2059,55.13,50,97.16,0,OPEN
L2074,N2060,N2063,41.7,50,96.39,0,OPEN
L2075,N2063,N2064,24.06,50,103.45,0,OPEN
L2076,N2063,N2065,68.14,50,99.52,0,OPEN
L233,N235,N284,110.06,50,108.57,0,OPEN
L2330,N2373,N971,52,50,87.45,0,OPEN
L237,N288,N3,70.43,50,103.47,0,OPEN
L29,N53,N54,75.11,50,106.65,0,OPEN
L3109,N1155,N2814,272.11,50,90.46,0,OPEN
L44,N77,N53,6,50,116.66,0,OPEN
L627,N654,N655,120.07,50,88.83,0,OPEN
L76,N114,N116,23.52,50,80.94,0,OPEN
L9,N17,N18,14.12,50,101.16,0,OPEN
L1002,N995,N992,61.87,50,107.73,0,OPEN
L1128,N1133,N1132,91.55,50,100.95,0,OPEN
L1141,N1141,N1144,26.47,50,117.71,0,OPEN
L1245,N1229,N1228,58.94,50,79.21,0,OPEN
L1265,N1248,N1249,74.16,50,99.58,0,OPEN
L1273,N1256,N1257,8.22,50,115.31,0,OPEN
L1274,N1258,N1257,191.11,50,109.77,0,OPEN
L1275,N1256,N1259,134.03,50,88.84,0,OPEN
L1280,N1263,N1264,211.98,50,116.66,0,OPEN
L1281,N1265,N1261,176.56,50,89.18,0,OPEN
L1283,N1268,N1269,103.3,50,110.03,0,OPEN
L1293,N1280,N1080,133.22,50,99.09,0,OPEN
L1294,N1079,N1281,132.41,50,104.81,0,OPEN
L1295,N1281,N1280,11.07,50,119.66,0,OPEN
L1296,N1282,N1280,204.58,50,91.95,0,OPEN
L1305,N1285,N1286,103.69,50,81.83,0,OPEN
L131,N169,N171,52.08,50,79.67,0,OPEN
L1629,N1612,N1614,64.46,50,77.55,0,OPEN
L1917,N1918,N1264,55.63,50,83.56,0,OPEN
L1918,N1264,N1246,147.55,50,81.91,0,OPEN
L1977,N1915,N1916,345.79,50,99.7,0,OPEN
L1978,N1266,N1972,57.2,50,97.16,0,OPEN
L2021,N2013,N2015,74.84,50,115.81,0,OPEN
L2359,N2413,N2414,157.22,50,111.09,0,OPEN
L31,N54,N57,222.84,50,94.26,0,OPEN
L340,N389,N390,31.4,50,98.34,0,OPEN
L420,N60,N467,41.75,50,116.47,0,OPEN
L458,N506,N507,156.44,50,114.5,0,OPEN
L478,N56,N54,81.13,50,110.15,0,OPEN
L493,N534,N535,30.71,50,99.36,0,OPEN
L54,N90,N91,27.92,50,81.76,0,OPEN
L613,N637,N642,24.94,50,78.62,0,OPEN
L648,N668,N673,48.12,50,111.06,0,OPEN
L677,N703,N704,37.52,50,84.77,0,OPEN
L678,N701,N704,8.43,50,97.53,0,OPEN
L679,N704,N705,23.2,50,94.68,0,OPEN
L747,N766,N765,57.01,50,100.12,0,OPEN
L767,N784,N759,39.75,50,85.79,0,OPEN
L782,N793,N795,28.5,50,84.17,0,OPEN
L783,N794,N796,60.38,50,109.87,0,OPEN
L787,N795,N800,9.21,50,119.23,0,OPEN
L788,N795,N781,3.88,50,91.36,0,OPEN
L866,N873,N872,91.55,50,85.92,0,OPEN
L896,N891,N894,7.66,50,110.15,0,OPEN
L897,N894,N895,6.64,50,111.68,0,OPEN
L898,N896,N894,29.43,50,89.5,0,OPEN
L1043,N1039,N1040,436.96,50,99.9,0,OPEN
L1326,N1302,N1304,217.63,50,93.21,0,OPEN
L1560,N1537,N1539,124.13,50,113.76,0,OPEN
L1645,N1634,N1636,33.55,50,85.59,0,OPEN
L1646,N1636,N1637,20.56,50,93.74,0,OPEN
L1651,N1641,N1642,78.52,50,100.22,0,OPEN
L1796,N1791,N1793,122.8,50,108.14,0,OPEN
L1821,N1803,N1815,67.08,50,79.28,0,OPEN
L1848,N1837,N1843,79.13,50,110.32,0,OPEN
L1911,N1910,N1911,61.19,50,80.49,0,OPEN
L1968,N1065,N1965,80.84,50,97.31,0,OPEN
L2357,N1636,N1637,20.56,50,104.71,0,OPEN
L2358,N1634,N1636,33.55,50,109.8,0,OPEN
L2622,N1907,N2611,152.96,50,115.48,0,OPEN
L3168,N1066,N1302,28.5,50,102.74,0,OPEN
L1008,N906,N1002,37.98,60,106.59,0,OPEN
L1017,N1007,N1010,71.29,60,83.69,0,OPEN
L1036,N1028,N1029,50.74,60,84.93,0,OPEN
L105,N145,N139,225.14,60,102.17,0,OPEN
L1113,N1116,N1118,37.13,60,90.34,0,OPEN
L1114,N1115,N1116,13.14,60,114.13,0,OPEN
L1115,N1120,N1121,3.95,60,102.57,0,OPEN
L1118,N1102,N1120,13.79,60,114.53,0,OPEN
L1143,N94,N1129,80.82,60,85.4,0,Closed
L1150,N86,N96,72.86,60,110.37,0,OPEN
L12,N22,N23,155.5,60,106.1,0,OPEN
L1339,N1320,N1322,6.96,60,87.65,0,OPEN
L1340,N1323,N1320,178.49,60,112.73,0,OPEN
L1348,N343,N6,94.18,60,91.97,0,OPEN
L1356,N353,N359,2.03,60,95.13,0,OPEN
L1357,N357,N359,2.46,60,84.01,0,OPEN
L1358,N355,N357,22.14,60,111.49,0,OPEN
L1359,N282,N355,28.39,60,119.77,0,OPEN
L14,N26,N27,63.14,60,115.17,0,OPEN
L163,N210,N211,29.23,60,88.79,0,OPEN
L1663,N1029,N1651,174.04,60,105.48,0,OPEN
L1669,N1653,N1657,86.02,60,97.34,0,OPEN
L1670,N1653,N1658,97.05,60,107.81,0,OPEN
L168,N217,N128,100.24,60,84.11,0,OPEN
L169,N217,N218,48.76,60,109.42,0,OPEN
L170,N215,N217,14.2,60,83.27,0,OPEN
L177,N218,N225,95.4,60,115.45,0,OPEN
L1783,N1703,N1780,164.01,60,117.56,0,OPEN
L1784,N1780,N1781,69.59,60,117.74,0,OPEN
L1824,N1802,N1818,168.95,60,82.93,0,OPEN
L1826,N1800,N1820,96.96,60,113.63,0,OPEN
L1996,N1983,N1990,117.4,60,97.55,0,OPEN
L1997,N1990,N1991,11.74,60,98.58,0,OPEN
L1998,N1991,N1992,44.81,60,104.54,0,OPEN
L2000,N1991,N1994,101.39,60,113.75,0,OPEN
L2010,N1323,N2004,58.4,60,86.93,0,OPEN
