Leak_id,avg_pressure,total_water_loss,Link,Coef,Link_id,ID,Diameter,detect_cost,repair_cost,total_cost,evaluate_flag,rank
Leak_1729,31.102468,39.2264,L2365,0.00666,L2365_1,L2365,140,1991.7003822925385,312.62437697176586,2304.3247592643042,1,0.01702294709559137
Leak_456,49.07725,38.18388,L1369,0.00401,L1369,L1369,63,2145.105504363651,141.92014367863777,2287.025648042289,1,0.016695868664604006
Leak_1782,63.206577,37.327393,L2416,0.00304,L2416,L2416,63,2204.1649668968475,140.40149645286937,2344.5664633497167,1,0.01592080803066457
Leak_880,5.7886467,36.28832,L1715,0.03556,L1715,L1715,75,886.7330833498974,171.26239002417012,1057.9954733740674,1,0.034299124662892595
Leak_2561,9.904159,35.364918,L3086,0.02007,L3086,L3086,90,1368.2174173093656,194.36547122409627,1562.5828885334618,1,0.0226323467475816
Leak_1728,28.148144,34.69546,L2365,0.00653,L2365,L2365,140,1998.9633823248237,312.390831585184,2311.3542139100077,1,0.015010880229603884
Leak_1851,43.386738,34.016376,L2480,0.00403,L2480_1,L2480,110,2143.9045815709733,225.058207023745,2368.9627885947184,1,0.014359185656748973
Leak_2914,21.933504,33.872623,L437,0.00799,L437,L437,140,1918.8935374633593,314.7814761396857,2233.675013603045,1,0.015164526279481026
Leak_3438,18.199835,33.571457,L877,0.00963,L877,L877,60,1832.7704650265814,143.15827585737426,1975.9287408839557,1,0.01699021640535533
Leak_3143,31.644236,33.114044,L624,0.00543,L624,L624,40,2061.489412552981,122.58114216296777,2184.0705547159487,1,0.0151616183451362
Leak_441,31.077444,32.626762,L1352,0.00544,L1352,L1352,75,2060.912276320309,159.80450353800867,2220.7167798583178,1,0.01469199615460118
Leak_504,52.099007,32.455048,L1406,0.00321,L1406,L1406,90,2193.6980726256684,181.4059019275513,2375.10397455322,1,0.01366468498017102
Leak_2148,11.502444,32.0847,L2734,0.01545,L2734,L2734,63,1557.1679229442946,149.3167810715999,1706.4847040158945,1,0.018801634414056308
Leak_1833,49.98369,31.7161,L2463,0.00327,L2463_2,L2463,110,2190.015753877487,223.2412460082589,2413.2569998857457,1,0.013142446367813542
Leak_1831,47.477783,31.590267,L2463,0.00343,L2463,L2463,110,2180.22642776358,223.65658828325624,2403.883016046836,1,0.013141349629128956
Leak_1853,41.547577,30.710817,L2480,0.0038,L2480_3,L2480,110,2157.7558803865745,224.54726760426857,2382.303147990843,1,0.012891229801268842
Leak_2692,45.74782,30.577093,L3181,0.00345,L3181_2,L3181,75,2179.0058427597314,157.02520283351717,2336.0310455932486,1,0.013089335084853044
Leak_1852,43.010807,30.37369,L2480,0.00363,L2480_2,L2480,110,2168.0512819939563,224.14933063322297,2392.2006126271795,1,0.012696965919648374
Leak_2139,11.808565,30.316107,L2728,0.01419,L2728,L2728,63,1613.085391594285,148.85026650920196,1761.935658103487,1,0.017206137271151157
Leak_3267,28.664696,29.27645,L736,0.00529,L736_1,L736,80,2069.5863106020192,167.44373660579865,2237.030047207818,1,0.013087195337422062
Leak_2421,15.970745,28.9132,L2989,0.00973,L2989_2,L2989,200,1827.645885483925,554.9525069944111,2382.598392478336,1,0.012135154824956874
Leak_2422,17.56691,28.792772,L2989,0.00877,L2989_3,L2989,200,1877.439231373484,552.7988005872949,2430.238031960779,1,0.011847716937365211
Leak_726,24.724766,28.351034,L1582,0.00606,L1582,L1582,75,2025.4435980910584,160.46319655109673,2185.906794642155,1,0.012969919044087116
Leak_727,30.451033,28.053612,L1585,0.00484,L1585,L1585,63,2095.8280740477007,142.95177389694783,2238.7798479446487,1,0.012530759458606976
Leak_594,28.443882,27.744696,L1491,0.00505,L1491,L1491,63,2083.54076506289,143.18468990236653,2226.7254549652566,1,0.012459863698771542
Leak_1138,28.033792,27.563261,L19,0.00508,L19,L19,32,2081.791325687642,118.07712359036051,2199.868449278002,1,0.012529504226105324
Leak_2423,17.60859,27.514711,L2989,0.00836,L2989_4,L2989,200,1899.116422758246,551.8061276849387,2450.9225504431847,1,0.011226267176426923
Leak_2690,45.482475,27.490808,L3181,0.00312,L3181,L3181,75,2199.2331630534545,156.41160743244416,2355.644770485899,1,0.01167018424482905
Leak_1894,56.77646,27.470707,L2514,0.00249,L2514,L2514,75,2238.3718241490506,155.03509132506287,2393.4069154741132,1,0.011477658379814432
Leak_474,40.73256,27.396698,L1383,0.00347,L1383,L1383,63,2177.785941092133,141.12698624523685,2318.9129273373696,1,0.011814457401599985
Leak_1541,44.122353,27.384632,L2210,0.00319,L2210,L2210,110,2194.9268875824137,223.02588947480479,2417.9527770572186,1,0.011325544638603037
Leak_127,25.34761,27.271822,L1102,0.00557,L1102,L1102,75,2053.4241922154156,159.94863013017883,2213.3728223455946,1,0.01232138648327986
Leak_270,27.250912,27.133825,L1224,0.00528,L1224,L1224,75,2070.165875904344,159.6223131964064,2229.7881891007505,1,0.012168790486358617
Leak_2691,45.55191,27.003647,L3181,0.00306,L3181_1,L3181,75,2202.9309800639467,156.29310034563238,2359.224080409579,1,0.011445986447331405
Leak_259,13.945839,26.931648,L1213,0.01059,L1213,L1213,75,1784.1618218405788,163.86985047941045,1948.0316723199892,1,0.013825056664669395
Leak_2540,28.60466,26.462582,L3068,0.0049,L3068_2,L3068,100,2092.3100388603,204.3311372837144,2296.6411761440145,1,0.01152229695670235
Leak_2419,14.316421,26.353777,L2989,0.00995,L2989,L2989,200,1816.4221912982307,555.416073874801,2371.8382651730317,1,0.011111118881388028
Leak_2801,23.389095,26.241398,L338,0.00583,L338,L338,75,2038.5295463895352,160.22705736575102,2198.756603755286,1,0.011934653345826446
Leak_1393,28.044079,25.710438,L21,0.00474,L21,L21,100,2101.7046159743913,204.0710412838005,2305.775657258192,1,0.011150450692688203
Leak_3223,36.952583,25.630545,L69,0.00359,L69,L69,63,2170.4808597393553,141.31342209275354,2311.794281832109,1,0.011086862210837916
Leak_2539,28.873835,25.410877,L3068,0.00466,L3068_1,L3068,100,2106.4177110099117,203.9376819370876,2310.3553929469995,1,0.010998687606831812
Leak_556,35.463947,24.961325,L1460,0.00364,L1460_1,L1460,350,2167.4443126146766,1495.309478772495,3662.7537913871715,1,0.00681490651937023
Leak_2259,30.205526,24.873886,L284,0.00428,L284,L284,75,2128.9496528165264,158.3408635640576,2287.290516380584,1,0.010874825882528886
Leak_2538,29.240461,24.583328,L3068,0.00445,L3068,L3068,100,2118.8399326915096,203.576414598096,2322.4163472896057,1,0.010585237343752114
Leak_2542,26.790945,24.426188,L3068,0.00484,L3068_4,L3068,100,2095.8280740477007,204.2346103240652,2300.062684371766,1,0.010619792095766514
Leak_784,30.478016,24.318047,L1623,0.00419,L1623,L1623,75,2134.321371464407,158.21116255773387,2292.532534022141,1,0.010607503365354359
Leak_756,15.967426,24.29501,L1598,0.00818,L1598_1,L1598,63,1908.7121304000195,145.82954469012742,2054.541675090147,1,0.011825026431732577
Leak_3351,40.59628,23.878838,L81,0.00304,L81,L81,250,2204.1649668968475,787.6867646628442,2991.851731559692,1,0.007981290427450716
Leak_840,30.166737,23.640572,L1683,0.00413,L1683,L1683,63,2137.91004501019,142.0818397072602,2279.9918847174504,1,0.010368708657560838
Leak_1547,59.232513,23.44844,L2216,0.00203,L2216,L2216,63,2267.3885196217702,138.18702172112634,2405.5755413428965,1,0.009747538644605555
Leak_3474,32.724648,23.360971,L905,0.00369,L905,L905,63,2164.412013681545,141.4640852228538,2305.876098904399,1,0.010131061014902434
Leak_317,21.57554,22.828642,L1261,0.00567,L1261,L1261,110,2047.6826463925072,228.02673283903601,2275.709379231543,1,0.010031439910481109
Leak_1784,20.151073,22.818314,L2418,0.00603,L2418,L2418,63,2027.14568549008,144.15728866866246,2171.3029741587425,1,0.01050904174599292
Leak_1962,35.40398,22.451632,L2580,0.00332,L2580,L2580,160,2186.9518770362806,370.65220714064804,2557.6040841769286,1,0.008778384303075487
Leak_271,21.979649,22.243265,L1224,0.00541,L1224_1,L1224,75,2062.644169925897,159.77075456791007,2222.414924493807,1,0.010008601412287502
Leak_3514,13.21982,22.241879,L927,0.00882,L927,L927,110,1874.8126554816927,231.86828107433905,2106.6809365560316,1,0.010557782207818405
Leak_649,15.909163,22.164425,L1530,0.00742,L1530,L1530,63,1949.7647755060416,145.29480307156774,2095.0595785776095,1,0.010579376893562253
Leak_1846,43.48271,22.13024,L2478,0.00261,L2478_1,L2478,110,2230.8635158416814,221.28114295691236,2452.144658798594,1,0.009024850718854754
Leak_2719,8.11299,22.028416,L3208,0.01528,L3208,L3208,110,1564.597711124954,236.64614955187824,1801.2438606768324,1,0.01222955767446962
Leak_808,6.7640686,21.977139,L1645,0.01834,L1645_1,L1645,50,1436.1253204892928,136.133288350461,1572.2586088397538,1,0.013978068490593357
Leak_740,22.143198,21.958351,L1588,0.00526,L1588_3,L1588,125,2071.32549345746,265.79036887755785,2337.115862335018,1,0.009395491036253234
Leak_1050,4.6284266,21.730434,L1846,0.02714,L1846,L1846,125,1122.489220369542,282.4675543583833,1404.9567747279252,1,0.01546697721140409
Leak_2541,27.475864,21.498575,L3068,0.00415,L3068_3,L3068,100,2136.7131505467128,203.02958766468615,2339.742738211399,1,0.00918843548885453
Leak_1204,4.114112,21.354794,L1940,0.02779,L1940,L1940,40,1102.2447005027493,130.22511853426008,1232.4698190370093,1,0.01732682879429012
Leak_3246,26.184792,21.0988,L711,0.00418,L711,L711,60,2134.9190651216245,138.6928917914684,2273.611956913093,1,0.009279860002067262
Leak_3504,20.123907,21.071848,L920,0.00545,L920_1,L920,110,2060.335301663161,227.6826579755784,2288.0179596387393,1,0.009209651448267697
Leak_1829,44.173454,20.984373,L2461,0.00245,L2461,L2461,110,2240.880205023178,220.73110500897795,2461.611310032156,1,0.008524649284446637
Leak_1882,67.26396,20.8623,L2504,0.00159,L2504_1,L2504,75,2295.4955298549908,152.29763308951314,2447.793162944504,1,0.008522901848335509
Leak_1548,58.5801,20.676725,L2216,0.00181,L2216_1,L2216,63,2281.398740079493,137.5579815970157,2418.956721676509,1,0.008547786408201136
Leak_3291,29.57407,20.649206,L762,0.00362,L762,L762,63,2168.6584213484575,141.35905724926522,2310.017478597723,1,0.008938982649617852
Leak_958,24.3201,20.381834,L1790,0.00445,L1790,L1790,63,2118.8399326915096,142.4910770226551,2261.331009714165,1,0.009013202376209247
Leak_3579,18.04881,20.332289,L99,0.00589,L99,L99,60,2035.1076919141801,140.5278204317771,2175.635512345957,1,0.00934544808939132
Leak_216,19.830868,20.240229,L1178,0.00548,L1178,L1178,75,2058.6053466925728,159.8492137981016,2218.4545604906743,1,0.00912357143275335
Leak_1898,50.82995,20.00536,L2520,0.00203,L2520,L2520,75,2267.3885196217702,153.78858807277544,2421.1771076945456,1,0.008262658516834973
Leak_3342,38.027924,20.00002,L80,0.00272,L80_1,L80,75,2224.003026789474,155.5742795239406,2379.5773063134147,1,0.008404862082195416
Leak_1845,44.377132,19.989817,L2478,0.00231,L2478,L2478,110,2249.681695076775,220.2195118374407,2469.901206914216,1,0.008093366896493726
Leak_2041,20.312222,19.894093,L2648,0.00524,L2648,L2648,90,2072.4857605782686,184.87071335209507,2257.356473930364,1,0.008813004410054979
Leak_3341,37.483963,19.855852,L80,0.00274,L80,L80,75,2222.7579337530606,155.61898978403352,2378.376923537094,1,0.008348488387427593
Leak_1422,13.418407,19.70842,L2117,0.00799,L2117,L2117,63,1918.8935374633593,145.70066792771982,2064.594205391079,1,0.009545904831245754
Leak_490,56.068245,19.594393,L1396,0.0018,L1396,L1396,75,2282.0376211658936,153.0547168779642,2435.092338043858,1,0.008046673413719372
Leak_318,19.746548,19.483332,L1261,0.00531,L1261_1,L1261,110,2068.427666718649,227.45639231205098,2295.8840590307,1,0.008486200164882683
Leak_2266,22.121155,19.28679,L2849,0.00463,L2849,L2849,110,2108.1878452394526,226.26493144017942,2334.452776679632,1,0.008261803811345694
Leak_1870,51.770844,19.24042,L2495,0.00191,L2495_1,L2495,110,2275.0197583492936,218.5662880122995,2493.586046361593,1,0.00771596368847636
Leak_2859,26.680403,19.23888,L393,0.00373,L393,L393,32,2161.9892292387713,116.68051762266116,2278.6697468614325,1,0.008443031371250584
Leak_1092,14.940901,19.228815,L1871,0.00695,L1871,L1871,63,1975.5932586114989,144.93595792907888,2120.5292165405776,1,0.009067932159928058
Leak_1100,9.320369,19.19902,L1875,0.01146,L1875_2,L1875,160,1741.2247368084393,388.52611299771416,2129.7508498061534,1,0.009014679058580798
Leak_173,23.874878,19.139755,L1147,0.00415,L1147,L1147,63,2136.7131505467128,142.10833151237392,2278.8214820590865,1,0.008398970871438876
Leak_144,21.09478,18.99726,L1122,0.00466,L1122,L1122,200,2106.4177110099117,539.6887436627806,2646.106454672692,1,0.00717932534666845
Leak_2341,17.583965,18.779589,L2903,0.0057,L2903,L2903,63,2045.9633151897394,143.84865621509098,2189.8119714048303,1,0.008575890964416067
Leak_535,53.452347,18.50294,L1444,0.00178,L1444_1,L1444,75,2283.3159201240483,152.98652708244572,2436.302447206494,1,0.007594680720145789
Leak_466,43.07304,18.287678,L1377,0.00219,L1377,L1377,110,2257.2533388103047,219.75569117909916,2477.009029989404,1,0.007382967741934638
Leak_1055,14.112355,18.254232,L1849,0.00695,L1849,L1849,63,1975.5932586114989,144.93595792907888,2120.5292165405776,1,0.00860833808099852
Leak_3358,27.199131,18.101526,L814,0.00345,L814,L814,60,2179.0058427597314,137.66593125130274,2316.6717740110344,1,0.007813591231802076
Leak_462,41.596996,18.06168,L1371,0.00224,L1371_1,L1371,110,2254.0953952122863,219.95196532704992,2474.0473605393363,1,0.0073004584019565775
Leak_2921,19.496586,18.002636,L440,0.00481,L440,L440,32,2097.5893092451233,117.83020310308214,2215.4195123482054,1,0.008126061838612626
Leak_536,51.66938,17.983927,L1444,0.00179,L1444_2,L1444,75,2282.6766811640446,153.02071721784495,2435.6973983818893,1,0.007383481537985211
Leak_3429,34.26696,17.932331,L87,0.00271,L87_1,L87,63,2224.625834826031,139.77135993894203,2364.3971947649734,1,0.00758431414354118
Leak_2619,20.697178,17.911896,L3124,0.0045,L3124,L3124,200,2115.8756322801987,538.9643654076349,2654.8399976878336,1,0.006746883340447274
Leak_1091,35.14645,17.860865,L187,0.00263,L187,L187,100,2229.614582006923,199.45600170275523,2429.070583709678,1,0.007352962387780887
Leak_1869,50.939663,17.840313,L2495,0.0018,L2495,L2495,110,2282.0376211658936,218.05055555216816,2500.0881767180617,1,0.007135873495943319
Leak_2029,24.078135,17.313602,L2638,0.00382,L2638,L2638,90,2156.5478753665325,182.6359915482026,2339.183866914735,1,0.007401556881608255
Leak_1881,66.9892,17.24879,L2504,0.00132,L2504,L2504,75,2312.9152395970045,151.1618651682702,2464.0771047652747,1,0.007000101866783871
Leak_2380,28.623053,17.167826,L295,0.00311,L295,L295,200,2199.8490345570963,531.3043809721412,2731.1534155292375,1,0.006285925060539227
Leak_1493,2.84651,17.116186,L2173,0.03779,L2173_1,L2173,63,833.0586237457134,154.22168027654695,987.2803040222603,1,0.01733670374283275
Leak_1378,21.391731,17.043287,L2086,0.00423,L2086_2,L2086,125,2131.9322696751096,263.57543044749445,2395.507700122604,1,0.00711468691014827
Leak_1970,35.06161,16.94016,L2592,0.00253,L2592_1,L2592,110,2235.8662510888335,221.01047283393987,2456.876723922773,1,0.006894998266048636
Leak_1789,37.933083,16.90902,L2423,0.00233,L2423,L2423,160,2248.4222260117845,365.54356369648434,2613.965789708269,1,0.00646872255818695
Leak_534,55.28135,16.88052,L1444,0.00157,L1444,L1444,75,2296.7813673526057,152.22037986548077,2449.0017472180866,1,0.006892816587868333
Leak_2279,6.6165032,16.854586,L2859,0.01442,L2859,L2859,63,1602.730500210534,148.93843844633528,1751.6689386568694,1,0.00962201548227865
Leak_3079,19.75373,16.817696,L557,0.00444,L557,L557,63,2119.4332909389414,142.47874002534027,2261.9120309642817,1,0.007435167852441275
Leak_2875,25.574968,16.815792,L410,0.0034,L410,L410,32,2182.0585873622017,116.2617081179767,2298.320295480178,1,0.007316557277421154
Leak_737,20.321016,16.497404,L1588,0.00432,L1588,L1588,125,2126.5665639842305,263.78940838483595,2390.3559723690664,1,0.006901651590478498
Leak_1817,39.48542,16.456478,L2450,0.00215,L2450_3,L2450,75,2259.7828788277607,154.13909145796404,2413.921970285725,1,0.006817319831157843
Leak_1998,24.834871,16.402899,L2614,0.00349,L2614,L2614,63,2176.5667223782234,141.15850238367088,2317.7252247618944,1,0.007077154191190743
Leak_1875,33.401627,16.321161,L250,0.00254,L250,L250,63,2235.240296176306,139.41609485638827,2374.656391032694,1,0.006873062280410107
Leak_1909,41.865368,16.290758,L2530,0.00203,L2530,L2530,160,2267.3885196217702,363.55501837947696,2630.9435380012474,1,0.006191983179278265
Leak_304,20.362057,16.258951,L1248,0.00428,L1248,L1248,75,2128.9496528165264,158.3408635640576,2287.290516380584,1,0.00710838919266889
Leak_2089,10.285159,16.238775,L2684,0.00882,L2684,L2684,90,1874.8126554816927,188.55222856594605,2063.364884047639,1,0.007870045370473106
Leak_280,26.644304,16.115652,L1229,0.00321,L1229,L1229,75,2193.6980726256684,156.58516196786945,2350.2832345935376,1,0.0068568978611370035
Leak_3503,16.368626,16.10574,L920,0.00514,L920,L920,110,2078.296852439915,227.17348164228542,2305.4703340822,1,0.006985880215161172
Leak_1835,47.15872,16.099367,L2465,0.00176,L2465_1,L2465,110,2284.5949351300947,217.85516360963928,2502.450098739734,1,0.006433441829601909
Leak_1220,47.630795,16.06299,L1945,0.00174,L1945_2,L1945,75,2285.8746665851313,152.84781831149124,2438.7224848966225,1,0.006586641279636844
Leak_2533,3.6317334,16.010376,L3061,0.02725,L3061,L3061,75,1119.0372722997108,169.63798783417442,1288.6752601338853,1,0.012423902647823877
Leak_1244,25.09855,15.984457,L1969,0.00339,L1969_2,L1969,50,2182.6696493113436,127.74548454744327,2310.4151338587867,1,0.006918435038682613
Leak_439,36.610706,15.923798,L1349,0.00225,L1349,L1349,50,2253.4643368539196,125.70896800719399,2379.1733048611136,1,0.0066929960818266
Leak_1218,46.91838,15.821062,L1945,0.00174,L1945,L1945,75,2285.8746665851313,152.84781831149124,2438.7224848966225,1,0.006487438478955653
Leak_3305,29.14538,15.809985,L770,0.00281,L770_1,L770,80,2218.4055948883206,163.39393115540088,2381.7995260437215,1,0.006637832020685951
Leak_706,24.230629,15.809913,L1569,0.00345,L1569,L1569,110,2179.0058427597314,223.70713828336693,2402.7129810430984,1,0.006580025498807592
Leak_461,41.22508,15.74171,L1371,0.00197,L1371,L1371,110,2271.2009338660205,218.83521384775509,2490.036147713776,1,0.006321879995043733
Leak_1969,35.624115,15.720725,L2592,0.00231,L2592,L2592,110,2249.681695076775,220.2195118374407,2469.901206914216,1,0.006364920595002279
Leak_1938,35.39283,15.684147,L2559,0.00232,L2559_1,L2559,110,2249.051872381446,220.25706945751583,2469.308941838962,1,0.006351634101087045
Leak_3123,28.15908,15.679508,L604,0.00289,L604,L604,75,2213.441927738453,155.94426693533637,2369.3861946737898,1,0.006617540122616957
Leak_3360,24.027317,15.651111,L816,0.00338,L816,L816,32,2183.2808823817873,116.2350344165705,2299.515916798358,1,0.00680626323774271
Leak_2664,23.13271,15.511799,L3160,0.00349,L3160,L3160,110,2176.5667223782234,223.8073650477228,2400.374087425946,1,0.006462242256279619
Leak_2876,24.93624,15.4728365,L410,0.00321,L410_1,L410,32,2193.6980726256684,116.00171998934768,2309.699792615016,1,0.006699068226926422
Leak_146,17.738754,15.467758,L1122,0.00452,L1122_2,L1122,200,2114.6910736334994,539.0563088778954,2653.747382511395,1,0.005828647549742622
Leak_1880,57.120674,15.447658,L2502,0.00139,L2502_1,L2502,63,2308.386365473879,136.11013358132843,2444.496499055207,1,0.006319361713593998
Leak_281,25.49995,15.400151,L1229,0.00321,L1229_1,L1229,75,2193.6980726256684,156.58516196786945,2350.2832345935376,1,0.006552466113902188
Leak_760,12.796867,15.358412,L1601,0.00653,L1601,L1601,110,1998.9633823248237,229.25456188912696,2228.2179442139504,1,0.006892688315710708
Leak_1219,47.229614,15.286022,L1945,0.00167,L1945_1,L1945,75,2290.3593745096996,152.59722321080142,2442.956597720501,1,0.006257181237088917
Leak_518,43.060158,15.273662,L1423,0.00183,L1423,L1423,90,2280.1215144416055,177.4327037408114,2457.554218182417,1,0.006214984597475374
Leak_251,24.503212,15.271161,L1209,0.00332,L1209,L1209,200,2186.9518770362806,532.6591321160307,2719.6110091523115,1,0.00561520049301708
Leak_3306,28.575323,15.267646,L773,0.00277,L773,L773,63,2220.89160105818,139.89144779599988,2360.78304885418,1,0.00646719563802642
Leak_476,41.09271,15.134348,L1385,0.0019,L1385_1,L1385,63,2275.65685307073,137.82409384387125,2413.480946914601,1,0.006270755083025286
Leak_454,43.349487,15.129095,L1367,0.0018,L1367,L1367,110,2282.0376211658936,218.05055555216816,2500.0881767180617,1,0.006051424593101772
Leak_2430,7.4264374,15.03386,L2995,0.01151,L2995,L2995,110,1738.7887277811078,234.18272797906843,1972.9714557601762,1,0.007619907608248458
Leak_527,54.16383,14.967293,L1436,0.00142,L1436,L1436,63,2306.4481350976066,136.2272296956904,2442.675364793297,1,0.006127417912904316
Leak_3072,18.691765,14.964968,L552,0.00417,L552,L552,60,2135.516926156497,138.6800761972767,2274.1970023537738,1,0.0065803304252764925
Leak_2660,20.78996,14.91259,L3158,0.00374,L3158,L3158,110,2161.3839569966526,224.40888947605362,2385.792846472706,1,0.0062505804093188995
Leak_1987,36.262253,14.899619,L2602,0.00215,L2602,L2602,110,2259.7828788277607,219.59541796751043,2479.378296795271,1,0.006009417409895287
Leak_1836,46.929245,14.837202,L2465,0.00163,L2465_2,L2465,110,2292.926014058999,217.18799584016725,2510.1140098991664,1,0.005910967395755693
Leak_2761,24.207909,14.81911,L324,0.00318,L324,L324,150,2195.5415531601016,335.7231533963308,2531.2647065564324,1,0.005854429162743368
Leak_3169,25.127098,14.723876,L643,0.00305,L643,L643,63,2203.5478871013192,140.41950564144793,2343.967392742767,1,0.006281604447671819
Leak_493,58.68178,14.700229,L1399,0.00129,L1399,L1399,110,2314.8589046232896,215.15400600019095,2530.0129106234804,1,0.005810337421352701
Leak_1778,34.494564,14.698636,L2414,0.0022,L2414,L2414,75,2256.6213963515106,154.27939472225407,2410.9007910737646,1,0.006096740317732532
Leak_956,27.612583,14.626868,L1789,0.0028,L1789_1,L1789,50,2219.026835424506,126.79548787855498,2345.822323303061,1,0.00623528393548166
Leak_257,16.992382,14.592329,L1211,0.00465,L1211_1,L1211,75,2107.0075905482763,158.84688262048607,2265.8544731687625,1,0.006440099837860023
Leak_3499,19.93512,14.551567,L918,0.0038,L918,L918,63,2157.7558803865745,141.6251694961208,2299.381049882695,1,0.00632847134161564
Leak_1417,12.190508,14.481284,L2113,0.0065,L2113,L2113,75,2000.6432169977647,160.89096494422373,2161.5341819419887,1,0.00669953973549014
Leak_1947,35.72775,14.470652,L2565,0.00212,L2565_1,L2565,160,2261.681893920653,364.1808773000531,2625.862771220706,1,0.005510817924373034
Leak_1063,13.319657,14.435087,L1853,0.00584,L1853_1,L1853,75,2037.9588380194466,160.237516534047,2198.1963545534936,1,0.006566786981553158
