,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L213,1.200533e-10,9.458745e-11,1.9645086e-10,1.1496013e-09,1.8189894e-10,2.910383e-11,2.910383e-11,6.184564e-11,6.184564e-11,9.895302e-10
L214,2.2618042e-07,1.8419087e-07,3.6898564e-07,5.061098e-05,1.8189894e-10,2.5465852e-11,2.910383e-11,6.548362e-11,5.820766e-11,9.895302e-10
L274,6.771734e-08,4.292815e-10,2.910383e-10,1.834269e-08,1.4915713e-10,7.6397555e-11,2.5465852e-11,5.820766e-11,5.820766e-11,2.1791493e-09
L311,2.7824717e-07,4.1384774e-05,6.511982e-09,5.853508e-09,1.5279511e-10,2.5465852e-11,3.274181e-11,6.184564e-11,6.184564e-11,9.713403e-10
L3118,4.292815e-10,8.367351e-11,1.3460522e-10,9.749783e-10,1.4551915e-10,2.1827873e-11,3.274181e-11,5.4569682e-11,6.548362e-11,9.495125e-10
L319,4.4633634e-07,3.849011e-05,1.2551027e-09,2.294546e-07,2.148954e-08,4.9112714e-10,1.5279511e-10,1.0877557e-09,3.274181e-11,1.09172106e-07
L360,5.980619e-07,4.6034984e-07,1.8496503e-06,3.138157e-06,5.1542156e-07,4.5831257e-08,6.557093e-08,5.976908e-07,7.1658724e-07,2.4840483e-06
L361,3.1737363e-07,2.0674634e-08,1.0035001e-07,4.4968328e-07,8.327697e-08,5.9299055e-10,4.7293724e-10,4.6966306e-09,5.3878466e-09,1.8079663e-07
L362,4.7641515e-07,3.15762e-07,1.2805249e-06,3.437928e-05,1.0571966e-08,6.2937033e-10,5.020411e-10,4.947651e-09,5.671609e-09,1.283006e-07
L363,2.4446126e-07,1.5486876e-08,5.4798875e-08,2.8416616e-07,2.579327e-08,5.493348e-10,4.5474735e-10,4.634785e-09,4.0636223e-09,1.3590761e-07
L366,4.328249e-07,2.1037704e-07,5.066992e-05,8.181814e-09,5.311449e-10,6.1118044e-10,4.4383341e-10,1.0040822e-09,1.2369128e-10,5.7971192e-08
L372,3.0001684e-07,9.62973e-08,1.4929537e-07,1.0836011e-06,1.6271952e-07,2.1980668e-08,2.757588e-08,5.896436e-08,6.3068e-08,9.1217225e-07
L378,1.456567e-05,6.4028427e-10,8.5128704e-10,8.20728e-09,5.493348e-10,6.2937033e-10,3.7471182e-10,1.0804797e-09,8.367351e-11,5.996844e-08
L379,8.033312e-07,6.148184e-10,8.112693e-10,7.912604e-09,5.311449e-10,6.039045e-10,3.5288394e-10,1.029548e-09,7.2759576e-11,3.7442078e-08
L408,5.798938e-09,8.367351e-11,1.4551915e-10,9.422365e-10,1.6734703e-10,1.0913936e-11,2.1827873e-11,4.7293724e-11,6.91216e-11,6.87578e-10
L425,8.792631e-08,3.8926373e-10,6.475602e-10,1.9070285e-08,1.4915713e-10,1.4551915e-11,4.0017767e-11,5.4569682e-11,5.820766e-11,1.3969839e-09
L427,1.2086093e-07,6.7887995e-06,1.3460522e-10,9.531504e-10,1.5279511e-10,1.0913936e-11,4.7293724e-11,4.3655746e-11,6.548362e-11,1.3860699e-09
L56,3.0163937e-07,4.773028e-09,5.820766e-11,5.8477235e-07,7.539711e-08,5.7843863e-10,5.5661076e-10,9.604264e-10,3.274181e-11,1.7244383e-07
L636,3.3396645e-08,9.458745e-11,2.0008883e-10,2.932211e-09,1.4188117e-10,3.6379788e-11,3.6379788e-11,1.9281288e-10,5.820766e-11,1.4770194e-09
L663,5.261707e-06,6.6211214e-10,2.9467628e-10,3.4597178e-09,1.5279511e-10,4.3655746e-11,4.3655746e-11,6.548362e-11,5.820766e-11,9.677024e-10
L723,7.211929e-08,6.148184e-10,3.237801e-10,2.2118911e-08,6.511982e-10,4.0017767e-10,4.3291948e-10,7.0940587e-10,3.637979e-12,3.263267e-09
L759,8.088682e-08,1.07116975e-05,1.3096724e-10,1.4697434e-09,1.5643309e-10,1.0913936e-11,7.2759576e-11,4.7293724e-11,6.91216e-11,1.3060344e-09
L760,1.5643309e-10,1.4551915e-10,1.3096724e-10,1.4624675e-09,1.6370905e-10,1.4551915e-11,6.548362e-11,5.820766e-11,5.4569682e-11,1.3096724e-09
L764,1.4359102e-08,9.458745e-11,1.382432e-10,9.968062e-10,1.5643309e-10,2.1827873e-11,6.548362e-11,5.0931703e-11,6.184564e-11,1.3060344e-09
L765,6.361006e-08,9.458745e-11,1.4551915e-10,9.968062e-10,1.5643309e-10,1.4551915e-11,6.91216e-11,4.7293724e-11,6.184564e-11,1.3133103e-09
L804,1.1208613e-08,9.458745e-11,1.3460522e-10,1.0186341e-09,1.4915713e-10,2.1827873e-11,6.184564e-11,5.4569682e-11,6.184564e-11,1.3351382e-09
L982,1.0250369e-07,1.8244464e-08,8.1854523e-10,7.2941475e-09,4.7293724e-10,5.820766e-10,5.12955e-10,9.822543e-10,2.910383e-11,1.45118975e-08
L983,1.1222437e-07,3.6379788e-10,2.7273927e-08,7.3305273e-09,4.802132e-10,5.8935257e-10,5.275069e-10,9.822543e-10,0.0,1.2183591e-08
L1139,6.004484e-08,7.6397555e-11,3.929017e-10,9.495125e-10,1.6007107e-10,1.4551915e-11,3.6379788e-11,4.7293724e-11,6.91216e-11,8.58563e-10
L1684,1.1868542e-06,1.7374987e-08,8.4078056e-07,2.1635642e-06,2.7066562e-07,4.6107743e-07,2.5474583e-07,7.7280856e-07,5.6727564e-05,1.8553692e-09
L644,6.419359e-07,3.756213e-07,7.534618e-07,5.5205674e-06,5.53031e-07,1.2364762e-07,1.4124089e-07,6.172777e-07,2.1357846e-07,8.632161e-05
L1929,3.715999e-06,1.2735691e-06,3.5722733e-06,7.670853e-06,2.7732895e-06,2.3111643e-06,1.23059e-06,2.5745176e-06,1.174958e-06,1.49369225e-05
L3179,9.849609e-07,8.520146e-09,9.478463e-07,2.871544e-06,9.446376e-08,4.545218e-07,1.4046964e-07,6.494229e-07,8.49941e-07,4.184032e-06
L1791,1.1253796e-06,3.7915015e-08,1.1695665e-06,1.994762e-06,5.1279494e-07,6.190312e-07,2.785673e-07,8.845018e-07,1.2695091e-07,5.0605595e-06
L2007,7.709139e-06,3.9493898e-08,5.7189027e-08,6.619084e-07,5.5937562e-08,9.429641e-09,9.400537e-09,2.3239409e-08,2.1434971e-08,5.420152e-07
L2327,1.2922406e-05,7.6854485e-07,3.6050915e-07,6.4268825e-05,2.5083136e-07,4.8286165e-07,8.041534e-07,1.8077408e-06,2.0227162e-07,4.4746994e-06
L393,6.9230737e-09,8.731149e-11,1.4551915e-10,9.640644e-10,1.6007107e-10,1.0913936e-11,2.910383e-11,5.4569682e-11,6.184564e-11,9.968062e-10
L59,5.663569e-07,2.0943844e-08,5.2132236e-08,1.1701595e-06,2.5637928e-07,6.4173946e-09,2.059096e-09,8.381903e-09,8.938514e-09,3.7528298e-07
L75,2.3342e-07,1.9007712e-07,3.1577656e-07,2.2255917e-06,3.0294177e-07,5.4220436e-08,6.1889295e-08,1.3075623e-07,1.2025703e-07,2.2496606e-06
L809,3.4760888e-07,1.8966239e-07,2.9792864e-07,2.1326923e-06,3.3267133e-07,3.8526196e-08,1.07516826e-07,1.11082045e-07,1.3643876e-07,2.9933435e-06
L106,4.1329622e-07,2.3050234e-07,3.3593096e-07,2.5674453e-06,3.2565003e-07,6.1387254e-08,7.375638e-08,1.5791011e-07,1.2935925e-07,2.379158e-06
L13,4.7632057e-08,9.458745e-11,1.3096724e-10,1.4915713e-09,1.4915713e-10,2.1827873e-11,6.184564e-11,5.4569682e-11,5.820766e-11,1.3387762e-09
L1343,2.1100277e-10,9.458745e-11,1.6007107e-10,1.3060344e-09,1.5279511e-10,2.1827873e-11,3.274181e-11,6.548362e-11,2.2919266e-10,9.749783e-10
L1344,7.716153e-09,9.822543e-11,1.6007107e-10,1.3023964e-09,1.5643309e-10,2.1827873e-11,3.274181e-11,6.184564e-11,2.3283064e-10,9.749783e-10
L1345,3.2961543e-06,4.2963075e-07,7.120543e-07,5.8004516e-06,6.8111694e-07,1.13563146e-07,1.3477984e-07,2.8405339e-07,1.02591e-06,4.331814e-06
L1353,3.5880497e-05,1.967419e-07,3.2203388e-07,2.2573222e-06,3.0854426e-07,5.4278644e-08,6.327173e-08,1.337321e-07,1.2306555e-07,2.283181e-06
L1355,6.7328074e-07,1.9657455e-07,3.2170647e-07,2.2550812e-06,3.082314e-07,5.421316e-08,6.3220796e-08,1.3361569e-07,1.2294186e-07,2.2808963e-06
L147,8.0573955e-07,3.152818e-07,3.2190874e-06,3.539346e-06,4.9817027e-07,8.5448846e-08,9.933137e-08,2.1301094e-07,1.9959407e-07,3.2785465e-06
L165,3.2096403e-05,3.9170496e-05,1.5024561e-06,4.14456e-05,9.562355e-07,5.2002724e-07,1.5711412e-06,3.5002595e-06,3.3690594e-07,2.4547684e-05
L167,3.234818e-07,2.9159128e-07,3.833702e-07,2.9227813e-06,3.7006248e-07,6.907794e-08,8.293864e-08,1.7601269e-07,1.4715624e-07,
L171,3.2111537e-05,3.9174338e-05,1.5194528e-06,4.1316496e-05,9.7265e-07,5.1700044e-07,1.5674159e-06,3.492576e-06,3.434252e-07,2.4426728e-05
L18,2.1531014e-07,1.2583041e-07,1.910521e-07,1.3847748e-06,2.1328742e-07,2.4985638e-08,7.971539e-08,7.162453e-08,8.670031e-08,1.9144645e-06
L182,1.3261888e-07,1.1505472e-07,1.677181e-07,1.2496166e-06,1.6179547e-07,3.0304363e-08,3.6641723e-08,7.781637e-08,6.43704e-08,1.1586235e-06
L1863,9.0578396e-07,1.2434612e-07,8.4313797e-07,1.3870012e-06,2.059096e-07,3.901805e-07,1.9613071e-07,8.077186e-07,1.49681e-07,2.8494833e-06
L1865,7.463677e-08,8.20728e-09,2.6382622e-08,2.6338967e-09,1.580338e-08,5.0931703e-10,5.894981e-08,6.3009793e-09,7.0853275e-08,8.4983185e-09
L19,7.79386e-07,5.541806e-07,8.973875e-07,0.00016768821,1.5279511e-10,1.8189894e-11,3.274181e-11,4.3655746e-11,6.91216e-11,7.203198e-10
L2015,9.635551e-07,3.7155405e-07,6.7523797e-07,5.0377857e-06,6.038754e-07,9.183714e-08,1.1078373e-07,2.3558096e-07,2.371089e-07,6.245653e-05
L2027,2.5781628e-07,1.2855162e-07,2.3978646e-07,1.4367761e-06,2.1343294e-07,3.236346e-08,3.905734e-08,8.312054e-08,8.370989e-08,1.2716046e-06
L2035,1.4732359e-07,2.1427695e-09,1.902663e-09,1.0957592e-08,5.2386895e-10,5.820766e-10,4.292815e-10,9.677024e-10,1.1641532e-10,6.80011e-08
L2080,9.095544e-06,7.5189746e-08,8.898496e-08,2.1687301e-06,4.2554166e-07,1.3096724e-08,1.2325472e-08,3.3338438e-08,1.8757419e-08,9.344949e-07
L231,5.636248e-07,1.12821e-05,0.00013293826,1.767819e-05,3.951427e-07,6.928167e-07,6.4686174e-07,1.4842662e-06,8.343777e-07,1.9989762e-05
L270,2.8739305e-07,2.1435699e-07,3.44211e-07,2.41807e-06,3.3275137e-07,1.595181e-07,6.2267645e-08,1.306471e-07,1.2604141e-07,4.8847432e-06
L288,3.0887895e-07,1.5024852e-07,2.365341e-07,1.7156344e-06,2.2992754e-07,,,,,
L301,1.2732926e-10,9.458745e-11,1.6007107e-10,1.3169483e-09,1.5279511e-10,2.5465852e-11,3.274181e-11,6.548362e-11,6.548362e-11,9.786163e-10
L3135,5.2156247e-07,3.12255e-07,4.6476634e-07,3.3797332e-06,4.786343e-07,9.191717e-08,1.14770955e-07,2.3625034e-07,1.7729326e-07,
L333,1.2399978e-06,6.061746e-07,8.91363e-07,6.8357767e-06,9.784417e-07,1.770677e-07,2.20316e-07,4.550384e-07,3.4054392e-07,5.901963e-05
L334,1.0286167e-06,7.553026e-07,1.1358352e-06,7.92116e-06,1.122622e-06,2.2383756e-07,5.7946236e-05,3.7113205e-07,2.7888746e-07,4.9469287e-05
L350,2.163928e-06,1.1532189e-05,0.00045105483,8.5863285e-06,3.3703982e-06,2.0480365e-06,1.0363292e-06,0.000110604684,1.7260376e-05,0.0001364433
L351,1.8459832e-07,3.2232492e-09,3.1614036e-09,8.412826e-08,5.6024874e-10,6.511982e-10,4.8748916e-10,1.0586518e-09,1.382432e-10,9.539144e-08
L37,1.3460522e-10,1.0186341e-10,2.1464075e-10,1.5243131e-09,1.4915713e-10,3.274181e-11,3.6379788e-11,1.9645086e-10,5.820766e-11,1.4697434e-09
L382,5.9299055e-07,9.487849e-09,6.024493e-09,3.682071e-07,1.4842954e-09,1.713488e-07,1.4115358e-09,2.910383e-09,3.4924597e-10,1.5676778e-07
L410,1.0737858e-06,6.808841e-07,1.097942e-06,7.4177806e-06,1.23278e-06,1.1725933e-07,1.8937862e-07,4.0512532e-07,5.0794915e-07,0.000102245
L432,1.6096237e-07,2.6120688e-09,1.7680577e-09,3.682726e-08,3.6961865e-09,6.330083e-10,5.7843863e-10,1.0586518e-09,7.275958e-12,7.5589924e-08
L438,9.043724e-07,2.9334478e-07,4.8580114e-07,5.6113568e-06,7.60534e-07,3.5681296e-08,7.6885044e-08,1.6118429e-07,2.3079338e-07,
L439,1.1892116e-06,5.8276055e-07,9.522337e-07,1.0301475e-05,1.2767559e-06,6.9645466e-08,1.6349077e-07,3.3824472e-07,4.6684e-07,7.091643e-06
L440,1.0242074e-06,4.6261994e-07,7.6433935e-07,8.437972e-06,1.0529475e-06,5.727634e-08,1.322478e-07,2.7217902e-07,3.6797428e-07,0.00011935616
L634,1.3460522e-10,9.458745e-11,2.1827873e-10,1.5133992e-09,1.4915713e-10,2.910383e-11,4.0017767e-11,1.891749e-10,5.820766e-11,1.6407284e-09
L638,4.92917e-07,3.7984864e-07,7.851777e-07,5.610651e-06,5.670445e-07,1.2559758e-07,1.447188e-07,6.734481e-07,2.2005406e-07,0.00010420694
L692,3.0494266e-07,2.2832683e-07,3.51356e-07,2.1692467e-06,3.366149e-07,7.773633e-08,8.268398e-08,1.5245314e-07,1.301305e-07,
L708,2.4268957e-07,1.384542e-07,2.1166488e-07,1.3671015e-06,2.493107e-07,3.7704012e-08,5.2008545e-08,8.584175e-08,8.500501e-08,1.2622404e-06
L752,1.6606646e-07,4.282288e-05,4.656613e-10,2.924935e-09,5.3842086e-10,7.2759576e-11,1.891749e-10,1.891749e-10,1.7462298e-10,3.2159733e-09
L757,8.122879e-08,1.0711417e-05,4.2200554e-10,4.3801265e-09,4.656613e-10,4.3655746e-11,2.1827873e-10,1.6007107e-10,1.7462298e-10,3.914465e-09
L790,3.7749123e-07,2.3748726e-07,3.5464473e-07,7.3064686e-05,1.6007107e-10,1.0913936e-11,6.548362e-11,5.820766e-11,5.820766e-11,1.4588295e-09
L794,4.9752998e-08,4.2346073e-08,6.525079e-08,4.698668e-07,7.364724e-08,8.134521e-09,2.6935595e-08,2.3879693e-08,3.0297088e-08,6.3850894e-07
L795,2.1557207e-07,1.2601959e-07,1.9129948e-07,1.3867975e-06,2.1356391e-07,2.5029294e-08,7.983181e-08,7.171184e-08,8.6816726e-08,1.9172148e-06
L812,1.3460522e-10,8.731149e-11,1.3460522e-10,9.640644e-10,1.5279511e-10,1.8189894e-11,5.0931703e-11,4.7293724e-11,6.184564e-11,1.6298145e-09
L816,1.6603008e-07,1.1532393e-09,8.112693e-10,7.905328e-09,5.0567905e-10,5.820766e-10,1.2732926e-10,9.749783e-10,0.0,
L817,1.0551594e-07,4.110916e-10,7.4942363e-10,7.4760464e-09,4.9112714e-10,5.4205884e-10,1.2732926e-10,9.240466e-10,0.0,2.8245267e-08
L998,3.5697303e-07,1.1485827e-07,1.8954597e-07,1.3624158e-06,2.1666347e-07,2.0845619e-08,4.2222382e-08,7.070048e-08,9.130599e-08,1.2540477e-06
L1779,2.7209462e-05,2.2507447e-06,1.1431257e-05,5.487236e-06,0.0001739806,9.870104e-05,3.8793834e-05,2.3064844e-05,1.1671218e-06,1.458358e-05
L1940,3.3464457e-06,2.741057e-06,3.969035e-06,2.3427448e-05,3.483001e-06,2.445595e-07,6.7055225e-07,1.3939571e-06,2.212997e-06,1.8356805e-05
L2018,3.8275903e-07,1.7369894e-07,3.2022217e-07,2.2933455e-06,2.860179e-07,4.3350155e-08,5.2561518e-08,1.1135853e-07,1.1236989e-07,1.8522915e-06
L217,2.1891174e-07,1.7691491e-07,3.8897997e-07,2.03558e-06,3.1823583e-07,4.9330993e-08,5.3842086e-08,1.1326483e-07,1.1063821e-07,1.7850689e-06
L219,8.4767817e-07,2.5733607e-07,2.9687275e-05,2.7106289e-05,1.16819865e-05,1.108303e-06,1.8739956e-07,4.300091e-07,4.5626075e-07,1.5151774e-05
L2201,5.8856385e-06,3.8518046e-06,5.8586593e-06,3.8507336e-05,6.514543e-06,3.2573007e-07,9.514624e-07,1.941633e-06,3.114692e-06,2.6253576e-05
L263,1.9225263e-07,1.7202547e-07,2.770539e-07,2.6172638e-06,2.703091e-07,1.293738e-07,5.0582457e-08,1.06134394e-07,1.02372724e-07,4.2850806e-06
L624,9.1797847e-07,6.604387e-07,1.4812395e-06,1.0210017e-05,9.886862e-07,2.1239975e-07,2.4834299e-07,1.4075486e-06,3.8661528e-07,0.00021614484
L86,2.313638e-06,2.0306907e-06,2.923247e-06,0.00061890716,1.5643309e-10,2.5465852e-11,3.274181e-11,7.6397555e-11,6.184564e-11,1.1314114e-09
L888,1.5254409e-07,1.0713848e-08,2.1827873e-09,1.3953468e-07,4.656613e-10,6.511982e-10,2.5465852e-11,9.094947e-10,1.4551915e-11,8.6674845e-08
L2623,1.655778e-05,3.63664e-06,1.2935197e-05,2.7719565e-05,6.6475477e-06,5.6852587e-06,2.4756882e-06,1.1355907e-05,9.505311e-07,3.328806e-05
L471,1.4621764e-07,3.929017e-10,7.6033757e-10,6.897608e-09,4.656613e-10,5.3842086e-10,4.5474735e-10,8.731149e-10,2.5465852e-11,6.679329e-08
L1349,3.3563992e-07,2.754532e-07,4.524045e-07,3.1897944e-06,4.3428736e-07,7.8143785e-08,8.838833e-08,1.8680294e-07,1.7217826e-07,3.0402007e-06
L1563,2.9187795e-06,1.2150849e-08,2.3713364e-06,4.814443e-06,1.4587131e-06,1.3124809e-06,4.9051596e-07,1.8047867e-06,2.3584289e-07,
L1789,2.457833e-06,8.1417966e-08,2.5516783e-06,4.3517357e-06,1.1166121e-06,1.348948e-06,6.091286e-07,1.9295694e-06,2.7837814e-07,1.1556011e-05
L1969,7.2448165e-07,2.7692295e-07,3.617024e-06,,,,,,,
L2070,2.6569614e-07,1.4706893e-07,2.5788904e-07,1.627639e-06,2.4608744e-07,3.6379788e-08,4.4536137e-08,9.455107e-08,9.643554e-08,1.3999452e-06
L2074,4.338508e-07,1.7709681e-07,3.1049422e-07,1.9644067e-06,2.9496732e-07,4.4543413e-08,5.302718e-08,1.147273e-07,1.1528027e-07,1.7198035e-06
L233,2.5113695e-07,2.1742744e-07,3.4147524e-07,2.4192268e-06,3.2861863e-07,6.148184e-08,6.5454515e-08,1.3818499e-07,1.287408e-07,2.2855675e-06
L29,6.083719e-07,7.494236e-08,2.2463792e-07,5.720067e-07,3.092282e-08,4.7002686e-09,3.4924597e-09,5.1179086e-08,5.1921234e-08,
L1002,1.3867975e-06,5.819078e-06,6.4607593e-07,2.0919659e-05,5.2156975e-07,4.3425243e-06,6.18631e-07,1.4713441e-06,5.318725e-07,8.292623e-05
L1128,1.111257e-07,3.3105607e-10,8.6947693e-10,7.57791e-09,4.838512e-10,6.039045e-10,5.311449e-10,1.0186341e-09,3.274181e-11,3.9981387e-08
L1273,8.253928e-05,1.4142599e-05,7.8182784e-05,0.00013590162,6.097462e-05,5.0206785e-05,1.4481135e-05,6.0075545e-05,1.3140729e-05,0.00029907492
L131,3.6590063e-07,2.587767e-07,3.8040162e-07,2.8222348e-06,3.6771962e-07,6.920891e-08,8.321513e-08,1.7777347e-07,1.4613033e-07,2.6355337e-06
L31,7.7238656e-07,1.1115888e-05,4.6864196e-05,6.555143e-06,6.68806e-08,7.7432196e-07,2.7159695e-07,2.1970089e-05,2.2001681e-05,
L420,1.3934186e-07,1.0196527e-07,1.6346894e-07,1.0925069e-06,1.8038554e-07,1.9987056e-08,3.2538082e-08,6.110349e-08,7.278868e-08,8.585994e-07
L747,1.05501385e-10,1.1641532e-10,1.5643309e-10,9.822543e-10,1.70985e-10,2.5465852e-11,6.184564e-11,6.548362e-11,5.820766e-11,1.0732037e-09
L783,3.0684896e-07,1.923836e-07,2.7786155e-07,2.0178486e-06,3.1047966e-07,3.7740392e-08,1.3632234e-07,1.05043e-07,1.2431701e-07,2.6432754e-06
L866,4.6373316e-08,1.880835e-09,2.0736479e-10,5.7189027e-09,4.2200554e-10,4.765752e-10,1.8189894e-11,7.712515e-10,3.637979e-12,
L1043,1.0573218e-05,3.5355333e-07,9.662268e-06,1.6611622e-05,4.392641e-06,5.17047e-06,2.5390473e-06,7.4317213e-06,1.1662778e-06,7.175142e-05
L1036,1.4022808e-05,0.00026746577,0.00021234422,6.9167e-05,1.3345038e-05,2.2163382e-05,6.441376e-06,2.5347108e-06,4.180125e-06,9.160116e-05
L105,3.2078533e-06,8.4057683e-07,1.5410769e-06,3.49959e-05,1.1723314e-06,4.8812944e-07,8.601928e-07,1.9035069e-06,5.5259443e-07,
L1143,1.7305138e-07,2.4006295e-07,7.5102434e-07,1.5124948e-05,3.3628748e-07,2.561428e-07,1.6833656e-07,2.863526e-07,3.4815457e-08,3.4886216e-05
L1150,1.589791e-05,5.1666284e-06,8.04977e-06,6.791018e-05,1.2363191e-05,4.878966e-07,1.1177035e-06,2.3840694e-06,4.096655e-06,3.7673162e-05
L1348,2.7563656e-06,8.1566395e-07,1.3520475e-06,1.1013646e-05,1.2932578e-06,2.1560118e-07,2.5588088e-07,5.393522e-07,3.7384627e-05,6.829039e-06
L14,9.767828e-07,6.37857e-06,5.7704165e-07,4.084577e-06,6.539922e-07,6.510527e-08,1.6877311e-07,2.1664891e-07,2.7019996e-07,7.6565484e-05
L168,8.906471e-06,9.821844e-06,1.8767896e-06,0.00013375707,8.4692147e-07,4.1665044e-07,9.3277777e-07,2.061599e-06,3.640307e-07,1.4398829e-05
L1783,1.9731e-05,6.321166e-05,2.1383748e-05,3.0588126e-06,2.4957932e-05,1.512724e-05,4.53135e-06,1.669093e-05,2.7182978e-07,4.3504173e-05
L1784,2.6156777e-05,6.162061e-05,2.4954323e-05,1.0042917e-05,2.8394046e-05,1.8246123e-05,5.349284e-06,2.0199805e-05,3.259629e-08,8.404022e-06
L1996,3.6354177e-06,1.2353412e-06,2.3969915e-06,1.6301987e-05,2.4921028e-06,3.0291267e-07,3.6123674e-07,7.713679e-07,7.750932e-07,1.2756151e-05
L2000,1.7662242e-06,6.991904e-07,1.3572571e-06,8.772389e-06,1.2993405e-06,1.7223647e-07,2.0803418e-07,4.421163e-07,4.4505578e-07,7.1722898e-06
L2013,4.442234e-06,1.0032672e-06,1.7742277e-06,1.4432822e-05,1.7318525e-06,2.46102e-07,2.910383e-07,6.284099e-07,6.270129e-07,5.524303e-05
L2022,3.7158607e-06,1.2419187e-06,2.2089807e-06,1.7482205e-05,2.1229498e-06,3.061723e-07,3.6205165e-07,7.818453e-07,7.7998266e-07,5.269237e-05
L2069,3.9715087e-07,2.3142638e-07,4.0652958e-07,2.5603367e-06,3.8729922e-07,5.7087163e-08,7.02712e-08,1.485605e-07,1.5189289e-07,2.9745577e-05
L207,2.868881e-06,6.07688e-07,1.0081567e-06,9.369513e-06,1.5479745e-06,1.6501872e-07,1.6222475e-07,3.5663834e-07,3.351597e-07,6.7048823e-06
L208,7.0396345e-07,1.3101962e-06,2.7651346e-05,1.3485464e-05,6.412278e-05,1.2679084e-06,1.891749e-08,7.3661795e-08,1.0934309e-07,2.0821608e-05
L2088,2.939708e-05,6.06142e-05,2.6538852e-05,1.3003708e-05,3.0920026e-05,1.9947067e-05,5.694572e-06,2.1681655e-05,3.335299e-07,1.5238766e-05
L225,1.6690465e-06,1.0005897e-07,3.068283e-05,2.3130386e-05,1.1102413e-05,1.0131625e-06,2.9616058e-07,6.6362554e-07,6.8178633e-07,1.1526863e-05
L23,9.3647395e-07,8.584975e-07,2.0125954e-06,3.528991e-05,7.5961e-07,1.5890691e-07,2.1390588e-07,4.0405212e-07,4.3665932e-07,9.530828e-06
L236,2.6263879e-06,5.949987e-06,1.6657286e-06,4.9449853e-05,1.2098462e-06,9.749783e-07,1.9592117e-06,4.372443e-06,6.040209e-07,1.8934312e-05
L24,1.8748251e-06,1.7855491e-06,4.356203e-06,4.4401168e-05,1.8767023e-06,3.75745e-07,4.982867e-07,9.928335e-07,9.813812e-07,
L240,2.8260984e-06,5.782349e-06,1.917826e-06,1.8212479e-05,1.2809178e-06,9.619398e-07,1.9435538e-06,4.3391483e-06,6.322516e-07,1.843134e-05
L244,3.123621e-05,4.313886e-06,4.320289e-06,3.5051722e-05,3.5825651e-06,5.5669807e-07,1.4714897e-06,3.3405377e-06,1.5504193e-06,0.0002894284
